date,Dave deBronkart,Robert Hammond,Matt Cutts,Simon Lewis,Iraola,isPartial
2004-01-01,0,0,0,30,18,False
2004-02-01,0,12,0,20,48,False
2004-03-01,0,20,0,35,15,False
2004-04-01,0,35,0,43,15,False
2004-05-01,0,17,0,17,13,False
2004-06-01,0,17,83,47,15,False
2004-07-01,0,16,0,37,14,False
2004-08-01,0,16,0,39,16,False
2004-09-01,0,13,0,31,22,False
2004-10-01,0,14,0,18,21,False
2004-11-01,0,15,9,18,27,False
2004-12-01,0,26,0,23,17,False
2005-01-01,0,20,7,25,25,False
2005-02-01,0,18,0,39,20,False
2005-03-01,0,15,13,35,15,False
2005-04-01,0,15,7,22,20,False
2005-05-01,0,19,0,17,21,False
2005-06-01,0,15,0,13,24,False
2005-07-01,0,22,7,37,20,False
2005-08-01,0,19,15,19,17,False
2005-09-01,0,15,9,19,23,False
2005-10-01,0,13,45,24,22,False
2005-11-01,0,16,49,13,22,False
2005-12-01,0,7,48,25,18,False
2006-01-01,0,14,37,23,14,False
2006-02-01,0,10,100,32,18,False
2006-03-01,0,15,41,19,30,False
2006-04-01,0,12,30,28,19,False
2006-05-01,0,19,38,20,19,False
2006-06-01,0,13,36,20,21,False
2006-07-01,0,7,47,16,26,False
2006-08-01,0,10,46,18,16,False
2006-09-01,0,10,43,20,14,False
2006-10-01,0,15,30,11,22,False
2006-11-01,0,13,31,30,20,False
2006-12-01,0,12,20,33,17,False
2007-01-01,0,8,38,32,22,False
2007-02-01,0,13,20,22,19,False
2007-03-01,0,10,29,26,31,False
2007-04-01,0,7,38,17,20,False
2007-05-01,0,8,37,30,20,False
2007-06-01,0,12,31,26,22,False
2007-07-01,0,7,33,19,18,False
2007-08-01,0,10,31,24,14,False
2007-09-01,0,11,36,14,26,False
2007-10-01,0,11,30,30,19,False
2007-11-01,0,12,24,35,17,False
2007-12-01,0,6,18,26,23,False
2008-01-01,2,10,26,25,15,False
2008-02-01,0,13,19,35,23,False
2008-03-01,2,7,25,43,20,False
2008-04-01,0,9,26,70,21,False
2008-05-01,0,7,19,36,22,False
2008-06-01,0,7,25,36,19,False
2008-07-01,0,8,27,34,12,False
2008-08-01,0,9,20,31,26,False
