date,Nina Tandon,Rebecca MacKinnon,Maajid Nawaz,Tim Harford,Iraola,isPartial
2004-01-01,0,0,15,30,23,False
2004-02-01,0,30,0,15,60,False
2004-03-01,0,0,0,0,18,False
2004-04-01,0,14,0,0,19,False
2004-05-01,0,0,0,0,17,False
2004-06-01,0,0,0,0,19,False
2004-07-01,0,0,0,0,17,False
2004-08-01,0,0,0,0,20,False
2004-09-01,11,11,0,11,28,False
2004-10-01,0,0,0,0,26,False
2004-11-01,0,11,0,11,34,False
2004-12-01,0,11,0,0,21,False
2005-01-01,0,0,0,0,31,False
2005-02-01,0,10,0,0,24,False
2005-03-01,0,8,0,0,19,False
2005-04-01,0,0,0,0,24,False
2005-05-01,0,8,0,0,27,False
2005-06-01,0,0,0,0,29,False
2005-07-01,0,8,0,8,25,False
2005-08-01,0,16,0,8,21,False
2005-09-01,0,0,0,0,29,False
2005-10-01,7,7,0,7,27,False
2005-11-01,0,7,0,10,27,False
2005-12-01,0,0,0,11,22,False
2006-01-01,6,8,0,10,17,False
2006-02-01,0,6,6,12,22,False
2006-03-01,0,5,5,15,38,False
2006-04-01,0,0,8,9,24,False
2006-05-01,0,0,0,13,24,False
2006-06-01,0,0,0,14,27,False
2006-07-01,0,5,0,11,32,False
2006-08-01,5,5,0,8,20,False
2006-09-01,0,0,0,16,17,False
2006-10-01,4,4,0,7,27,False
2006-11-01,0,0,0,11,25,False
2006-12-01,0,4,4,12,22,False
2007-01-01,4,4,0,13,27,False
2007-02-01,0,0,0,14,24,False
2007-03-01,0,3,0,14,39,False
2007-04-01,0,4,0,17,25,False
2007-05-01,0,0,0,12,25,False
2007-06-01,0,3,3,15,27,False
2007-07-01,0,3,3,6,22,False
2007-08-01,0,0,5,11,17,False
2007-09-01,0,0,24,11,32,False
2007-10-01,0,3,6,10,24,False
2007-11-01,3,4,5,11,21,False
2007-12-01,0,3,7,10,28,False
2008-01-01,0,4,2,18,18,False
2008-02-01,0,0,0,41,29,False
2008-03-01,2,3,2,31,25,False
2008-04-01,0,3,7,20,27,False
2008-05-01,0,3,5,16,27,False
2008-06-01,0,0,2,14,24,False
2008-07-01,0,5,4,14,15,False
2008-08-01,0,0,2,10,32,False
2008-09-01,2,4,3,11,35,False
2008-10-01,0,2,2,12,30,False
2008-11-01,0,2,2,11,31,False
2008-12-01,2,3,0,12,25,False
2009-01-01,0,3,5,14,30,False
2009-02-01,0,3,3,10,35,False
2009-03-01,0,3,3,10,24,False
2009-04-01,0,6,2,10,32,False
2009-05-01,2,2,3,11,39,False
2009-06-01,0,2,2,8,27,False
2009-07-01,0,2,2,8,26,False
2009-08-01,2,2,0,13,32,False
2009-09-01,0,0,2,11,38,False
2009-10-01,0,1,3,12,28,False
2009-11-01,1,1,2,10,36,False
2009-12-01,0,3,2,7,27,False
2010-01-01,0,6,4,10,35,False
2010-02-01,0,1,3,9,18,False
2010-03-01,0,4,1,8,26,False
2010-04-01,0,2,3,7,27,False
2010-05-01,1,3,3,10,24,False
2010-06-01,0,2,2,4,29,False
2010-07-01,1,3,3,8,20,False
2010-08-01,0,2,5,13,27,False
2010-09-01,0,2,2,8,32,False
2010-10-01,0,1,4,6,34,False
2010-11-01,0,3,3,9,42,False
2010-12-01,0,2,4,7,34,False
2011-01-01,0,2,4,10,28,False
2011-02-01,1,2,3,5,38,False
2011-03-01,2,3,2,6,46,False
2011-04-01,1,1,3,7,34,False
2011-05-01,1,3,3,14,31,False
2011-06-01,0,1,2,16,33,False
2011-07-01,6,5,9,20,28,False
2011-08-01,2,2,3,11,42,False
2011-09-01,1,1,2,11,34,False
2011-10-01,2,2,2,15,32,False
2011-11-01,1,2,2,14,28,False
2011-12-01,0,2,2,10,27,False
2012-01-01,2,4,1,11,25,False
2012-02-01,1,5,1,9,30,False
2012-03-01,1,2,1,9,54,False
2012-04-01,2,2,2,10,34,False
2012-05-01,1,2,2,9,41,False
2012-06-01,1,2,5,10,32,False
2012-07-01,1,2,4,8,23,False
2012-08-01,1,2,7,9,24,False
2012-09-01,1,2,3,11,26,False
2012-10-01,2,2,5,10,25,False
2012-11-01,2,2,2,8,27,False
2012-12-01,11,1,4,9,23,False
2013-01-01,3,1,3,8,24,False
2013-02-01,2,1,1,9,25,False
2013-03-01,3,1,2,8,23,False
2013-04-01,1,2,3,8,25,False
2013-05-01,2,1,11,6,21,False
2013-06-01,1,2,5,7,23,False
2013-07-01,1,1,9,5,23,False
2013-08-01,0,2,4,6,24,False
2013-09-01,3,1,9,15,30,False
2013-10-01,1,1,32,10,26,False
2013-11-01,2,1,15,8,24,False
2013-12-01,2,2,5,8,25,False
2014-01-01,1,1,46,10,22,False
2014-02-01,2,1,13,10,25,False
2014-03-01,2,2,16,11,28,False
2014-04-01,1,1,11,11,22,False
2014-05-01,1,1,10,8,25,False
2014-06-01,1,1,19,7,21,False
2014-07-01,2,1,14,7,26,False
2014-08-01,1,1,14,4,34,False
2014-09-01,1,1,15,8,35,False
2014-10-01,1,1,23,6,27,False
2014-11-01,3,1,11,6,26,False
2014-12-01,0,1,11,6,22,False
2015-01-01,1,1,50,5,21,False
2015-02-01,1,1,37,7,26,False
2015-03-01,1,1,29,6,37,False
2015-04-01,1,1,56,6,38,False
2015-05-01,1,1,24,6,100,False
2015-06-01,1,1,17,6,44,False
2015-07-01,1,1,21,6,50,False
2015-08-01,1,0,19,5,34,False
2015-09-01,1,1,26,7,30,False
2015-10-01,1,1,25,6,24,False
2015-11-01,2,1,65,6,23,False
2015-12-01,1,1,56,4,20,False
2016-01-01,2,1,37,6,24,False
2016-02-01,1,2,28,6,23,False
2016-03-01,2,1,29,5,26,False
2016-04-01,1,1,22,6,18,False
2016-05-01,1,1,21,6,32,False
2016-06-01,1,1,32,6,26,False
2016-07-01,1,1,31,5,28,False
2016-08-01,1,1,22,7,18,False
2016-09-01,1,2,22,6,25,False
2016-10-01,1,2,25,9,24,False
2016-11-01,1,0,21,9,33,False
2016-12-01,1,0,18,11,19,False
2017-01-01,1,0,26,9,18,False
2017-02-01,1,1,31,12,21,False
2017-03-01,1,1,22,9,18,False
2017-04-01,2,1,23,7,19,False
2017-05-01,1,1,32,6,24,False
2017-06-01,1,0,81,7,19,False
2017-07-01,1,0,31,7,20,False
2017-08-01,1,0,24,9,18,False
2017-09-01,1,1,23,9,18,False
2017-10-01,1,1,16,7,16,False
2017-11-01,2,1,19,8,14,False
2017-12-01,0,2,15,6,14,False
2018-01-01,1,1,13,6,19,False
2018-02-01,1,2,13,7,17,False
2018-03-01,1,1,18,6,14,False
2018-04-01,0,1,57,3,16,False
2018-05-01,1,1,39,4,17,False
2018-06-01,1,1,33,5,17,False
2018-07-01,1,0,23,4,16,False
2018-08-01,1,0,25,8,17,False
2018-09-01,2,0,22,5,18,False
2018-10-01,1,1,19,5,20,False
2018-11-01,2,1,18,4,17,False
2018-12-01,1,1,17,5,16,False
2019-01-01,1,1,17,6,16,False
2019-02-01,2,0,56,6,19,False
2019-03-01,1,0,31,5,15,False
2019-04-01,1,0,23,6,19,False
2019-05-01,1,1,20,7,16,False
2019-06-01,1,1,14,5,17,False
2019-07-01,1,0,12,5,24,False
2019-08-01,1,1,13,4,20,False
2019-09-01,2,0,11,6,17,False
2019-10-01,0,0,12,4,16,False
2019-11-01,1,0,17,11,16,False
2019-12-01,0,0,19,14,19,False
2020-01-01,1,0,22,6,28,False
2020-02-01,1,1,18,7,54,False
2020-03-01,1,1,13,7,21,False
2020-04-01,0,1,20,8,17,False
2020-05-01,0,1,20,7,14,False
2020-06-01,0,1,23,9,16,False
2020-07-01,1,1,32,7,34,False
2020-08-01,0,1,17,6,27,False
2020-09-01,1,0,14,13,19,False
2020-10-01,1,1,14,8,21,False
