date,Jessica Green,Dyan deNapoli,Jeremy Gilley,Lucianne Walkowicz,Iraola,isPartial
2004-01-01,67,0,0,0,18,False
2004-02-01,59,0,12,0,47,False
2004-03-01,63,0,0,0,15,False
2004-04-01,64,0,0,0,15,False
2004-05-01,33,0,0,10,13,False
2004-06-01,42,0,0,0,15,False
2004-07-01,41,0,0,0,14,False
2004-08-01,41,0,10,0,16,False
2004-09-01,72,0,9,0,22,False
2004-10-01,68,0,0,0,21,False
2004-11-01,65,0,9,0,27,False
2004-12-01,75,0,0,0,17,False
2005-01-01,75,0,7,0,24,False
2005-02-01,95,0,8,0,19,False
2005-03-01,66,0,0,0,15,False
2005-04-01,65,0,7,0,19,False
2005-05-01,50,0,0,0,21,False
2005-06-01,76,0,0,0,23,False
2005-07-01,95,0,6,0,19,False
2005-08-01,93,0,6,0,17,False
2005-09-01,100,0,11,0,23,False
2005-10-01,85,0,5,0,21,False
2005-11-01,74,0,0,0,21,False
2005-12-01,68,0,0,0,17,False
2006-01-01,56,0,0,0,14,False
2006-02-01,53,0,5,0,17,False
2006-03-01,63,0,4,0,29,False
2006-04-01,55,0,0,0,19,False
2006-05-01,50,0,12,0,18,False
2006-06-01,41,0,4,0,21,False
2006-07-01,50,0,0,0,25,False
2006-08-01,49,0,4,0,15,False
2006-09-01,38,0,6,0,14,False
2006-10-01,46,0,3,0,21,False
2006-11-01,47,0,0,0,20,False
2006-12-01,46,0,0,0,17,False
2007-01-01,56,0,0,0,22,False
2007-02-01,47,0,0,0,19,False
2007-03-01,39,0,0,0,31,False
2007-04-01,49,0,3,0,20,False
2007-05-01,41,0,0,0,19,False
2007-06-01,49,0,3,0,21,False
2007-07-01,52,2,0,0,17,False
2007-08-01,47,2,2,0,13,False
2007-09-01,38,0,2,0,25,False
2007-10-01,36,0,2,0,19,False
2007-11-01,44,0,4,0,16,False
2007-12-01,47,0,0,0,22,False
2008-01-01,50,0,0,0,14,False
2008-02-01,42,0,0,0,23,False
2008-03-01,47,0,2,0,20,False
2008-04-01,46,2,0,0,21,False
2008-05-01,48,0,2,0,21,False
2008-06-01,48,2,2,0,19,False
2008-07-01,52,0,2,0,12,False
2008-08-01,52,0,4,0,25,False
2008-09-01,42,0,5,0,28,False
2008-10-01,32,0,3,1,24,False
2008-11-01,41,0,2,0,24,False
2008-12-01,45,0,2,0,20,False
2009-01-01,46,1,2,0,24,False
2009-02-01,46,0,1,0,27,False
2009-03-01,49,1,3,0,19,False
2009-04-01,48,0,3,0,25,False
2009-05-01,51,0,2,0,31,False
2009-06-01,39,1,3,3,21,False
2009-07-01,38,0,1,0,21,False
2009-08-01,56,0,1,1,25,False
2009-09-01,39,0,11,0,30,False
2009-10-01,43,0,3,0,22,False
2009-11-01,42,0,1,0,28,False
2009-12-01,40,1,1,0,21,False
2010-01-01,45,0,2,0,27,False
2010-02-01,43,0,4,0,14,False
2010-03-01,52,0,2,0,20,False
2010-04-01,43,0,2,0,22,False
2010-05-01,46,0,3,0,19,False
2010-06-01,40,1,2,1,23,False
2010-07-01,45,0,2,0,16,False
2010-08-01,43,0,3,0,21,False
2010-09-01,40,0,8,0,25,False
2010-10-01,38,0,2,0,27,False
2010-11-01,42,1,3,0,33,False
2010-12-01,42,0,3,0,27,False
2011-01-01,55,0,13,0,22,False
2011-02-01,51,0,5,0,30,False
2011-03-01,36,0,1,0,36,False
2011-04-01,34,1,1,0,27,False
2011-05-01,47,0,2,0,25,False
2011-06-01,45,0,2,0,26,False
2011-07-01,38,0,3,1,22,False
2011-08-01,47,1,6,5,33,False
2011-09-01,41,0,14,2,27,False
2011-10-01,42,1,4,2,25,False
2011-11-01,41,1,3,2,22,False
2011-12-01,41,0,1,1,21,False
2012-01-01,48,0,4,0,20,False
2012-02-01,41,0,4,2,24,False
2012-03-01,54,0,2,1,43,False
2012-04-01,52,0,4,1,27,False
2012-05-01,48,0,2,4,32,False
2012-06-01,58,1,2,3,25,False
2012-07-01,68,1,1,2,18,False
2012-08-01,63,1,4,3,19,False
2012-09-01,61,0,5,1,20,False
2012-10-01,54,1,2,4,20,False
2012-11-01,46,0,2,4,21,False
2012-12-01,68,0,2,1,18,False
2013-01-01,61,0,4,3,18,False
2013-02-01,56,1,4,4,19,False
2013-03-01,54,0,1,4,18,False
2013-04-01,64,0,2,2,20,False
2013-05-01,56,1,2,1,16,False
2013-06-01,55,0,1,1,18,False
2013-07-01,55,1,0,2,18,False
2013-08-01,51,0,2,2,19,False
2013-09-01,58,0,4,1,24,False
2013-10-01,55,0,1,1,20,False
2013-11-01,48,0,1,1,19,False
2013-12-01,49,0,1,1,19,False
2014-01-01,52,0,4,1,17,False
2014-02-01,45,0,3,2,20,False
2014-03-01,61,0,1,1,22,False
2014-04-01,51,0,1,2,17,False
2014-05-01,56,0,2,1,19,False
2014-06-01,76,0,1,1,16,False
2014-07-01,81,0,2,1,20,False
2014-08-01,90,0,1,2,26,False
2014-09-01,80,0,4,2,28,False
2014-10-01,63,1,2,1,22,False
2014-11-01,57,0,1,1,20,False
2014-12-01,58,0,0,1,17,False
2015-01-01,63,0,2,3,17,False
2015-02-01,57,0,2,3,21,False
2015-03-01,48,0,1,2,29,False
2015-04-01,49,0,1,3,29,False
2015-05-01,52,0,0,5,79,False
2015-06-01,61,0,1,1,35,False
2015-07-01,53,0,1,2,39,False
2015-08-01,55,0,1,3,27,False
2015-09-01,48,0,3,2,23,False
2015-10-01,49,0,1,2,19,False
2015-11-01,64,0,1,2,18,False
2015-12-01,48,0,1,5,16,False
2016-01-01,46,0,1,4,19,False
2016-02-01,41,0,0,1,18,False
2016-03-01,46,0,1,2,20,False
2016-04-01,44,0,1,2,14,False
2016-05-01,45,0,5,1,25,False
2016-06-01,43,0,1,1,20,False
2016-07-01,46,0,1,1,22,False
2016-08-01,41,0,1,2,14,False
2016-09-01,37,0,3,1,20,False
2016-10-01,45,1,1,2,19,False
2016-11-01,37,0,1,2,26,False
2016-12-01,41,0,1,2,15,False
2017-01-01,41,0,1,2,14,False
2017-02-01,37,0,1,2,16,False
2017-03-01,40,1,1,2,14,False
2017-04-01,33,1,1,2,15,False
2017-05-01,34,1,1,1,19,False
2017-06-01,42,0,1,1,15,False
2017-07-01,40,0,1,1,16,False
2017-08-01,35,0,0,2,14,False
2017-09-01,34,0,1,1,14,False
2017-10-01,38,0,1,1,13,False
2017-11-01,34,0,0,1,11,False
2017-12-01,35,0,1,1,11,False
2018-01-01,44,0,1,1,15,False
2018-02-01,36,0,0,1,13,False
2018-03-01,39,0,1,1,11,False
2018-04-01,34,0,1,0,13,False
2018-05-01,38,0,1,1,13,False
2018-06-01,38,0,0,1,14,False
2018-07-01,75,0,1,1,12,False
2018-08-01,86,0,1,1,14,False
2018-09-01,67,0,1,1,14,False
2018-10-01,52,0,1,1,16,False
2018-11-01,39,0,0,4,13,False
2018-12-01,39,0,1,2,12,False
2019-01-01,39,0,1,1,12,False
2019-02-01,36,1,1,1,15,False
2019-03-01,35,0,1,1,12,False
2019-04-01,43,1,1,1,15,False
2019-05-01,35,0,1,1,12,False
2019-06-01,39,0,1,1,13,False
2019-07-01,53,0,1,1,19,False
2019-08-01,52,0,0,1,15,False
2019-09-01,48,0,1,1,14,False
2019-10-01,41,0,1,1,13,False
2019-11-01,41,1,0,1,13,False
2019-12-01,35,0,1,1,15,False
2020-01-01,42,0,2,1,22,False
2020-02-01,39,0,1,1,42,False
2020-03-01,29,0,1,1,17,False
2020-04-01,35,0,1,8,13,False
2020-05-01,33,0,0,6,11,False
2020-06-01,33,0,1,3,13,False
2020-07-01,41,0,0,3,27,False
2020-08-01,40,0,1,2,21,False
2020-09-01,37,0,1,1,15,False
2020-10-01,46,0,1,1,17,False
