date,Aparna Rao,Ben Kacyra,Allan Jones,Charlie Todd,Iraola,isPartial
2004-01-01,15,0,25,15,23,False
2004-02-01,0,0,30,25,60,False
2004-03-01,0,0,28,18,18,False
2004-04-01,0,0,29,14,19,False
2004-05-01,13,0,54,12,17,False
2004-06-01,0,0,37,12,19,False
2004-07-01,13,0,39,20,17,False
2004-08-01,36,0,40,18,20,False
2004-09-01,0,0,26,11,28,False
2004-10-01,0,0,49,11,26,False
2004-11-01,0,0,34,11,34,False
2004-12-01,11,10,21,11,21,False
2005-01-01,9,0,37,18,31,False
2005-02-01,10,0,39,26,24,False
2005-03-01,8,0,16,12,19,False
2005-04-01,9,0,33,12,24,False
2005-05-01,0,0,27,16,27,False
2005-06-01,0,0,19,28,29,False
2005-07-01,0,0,30,16,25,False
2005-08-01,16,0,40,11,21,False
2005-09-01,7,0,31,7,29,False
2005-10-01,13,0,36,20,27,False
2005-11-01,7,0,25,13,27,False
2005-12-01,7,0,44,9,22,False
2006-01-01,9,0,29,19,17,False
2006-02-01,6,0,22,6,22,False
2006-03-01,5,0,44,14,38,False
2006-04-01,6,0,31,13,24,False
2006-05-01,8,0,32,13,24,False
2006-06-01,5,0,34,13,27,False
2006-07-01,5,0,21,16,32,False
2006-08-01,0,0,23,13,20,False
2006-09-01,0,5,17,16,17,False
2006-10-01,4,0,26,16,27,False
2006-11-01,4,0,23,14,25,False
2006-12-01,4,0,20,11,22,False
2007-01-01,4,0,27,15,27,False
2007-02-01,8,0,22,9,24,False
2007-03-01,0,0,29,17,39,False
2007-04-01,0,0,34,16,25,False
2007-05-01,6,0,26,8,25,False
2007-06-01,6,0,19,10,27,False
2007-07-01,3,0,26,12,22,False
2007-08-01,6,0,23,10,17,False
2007-09-01,3,0,25,4,32,False
2007-10-01,3,0,24,6,24,False
2007-11-01,0,0,28,15,21,False
2007-12-01,3,0,15,37,28,False
2008-01-01,2,0,32,43,18,False
2008-02-01,5,0,27,42,29,False
2008-03-01,2,0,20,21,25,False
2008-04-01,2,0,20,19,27,False
2008-05-01,2,0,25,11,27,False
2008-06-01,2,0,21,15,24,False
2008-07-01,2,0,32,19,15,False
2008-08-01,2,2,19,17,32,False
2008-09-01,2,0,28,18,35,False
2008-10-01,3,2,27,17,30,False
2008-11-01,2,0,22,11,31,False
