date,Thomas Suarez,Cynthia Kenyon,Robin Ince,Gabe Zichermann,Iraola,isPartial
2004-01-01,0,15,15,0,23,False
2004-02-01,15,22,0,0,60,False
2004-03-01,0,19,19,0,18,False
2004-04-01,0,14,22,0,19,False
2004-05-01,12,13,25,12,17,False
2004-06-01,12,0,0,0,19,False
2004-07-01,0,17,13,0,17,False
2004-08-01,0,12,18,0,20,False
2004-09-01,11,0,22,0,28,False
2004-10-01,0,40,11,0,26,False
2004-11-01,11,11,11,0,34,False
2004-12-01,10,11,10,0,21,False
2005-01-01,9,9,18,0,31,False
2005-02-01,0,0,13,0,24,False
2005-03-01,0,24,14,0,19,False
2005-04-01,0,9,9,0,24,False
2005-05-01,8,8,8,0,27,False
2005-06-01,8,8,8,0,29,False
2005-07-01,17,8,8,0,25,False
2005-08-01,0,8,8,0,21,False
2005-09-01,7,0,11,0,29,False
2005-10-01,0,7,7,0,27,False
2005-11-01,0,7,14,7,27,False
2005-12-01,7,13,7,0,22,False
2006-01-01,6,6,14,0,17,False
2006-02-01,0,6,9,6,22,False
2006-03-01,0,5,20,0,38,False
2006-04-01,6,6,8,0,24,False
2006-05-01,10,5,5,5,24,False
2006-06-01,0,0,11,0,27,False
2006-07-01,5,5,21,0,32,False
2006-08-01,0,12,8,0,20,False
2006-09-01,5,6,9,5,17,False
2006-10-01,4,9,8,0,27,False
2006-11-01,4,6,12,0,25,False
2006-12-01,0,0,4,0,22,False
2007-01-01,4,5,7,0,27,False
2007-02-01,4,7,18,0,24,False
2007-03-01,0,3,9,0,39,False
2007-04-01,4,9,7,0,25,False
2007-05-01,3,6,9,0,25,False
2007-06-01,3,3,7,0,27,False
2007-07-01,5,6,14,3,22,False
2007-08-01,3,3,8,0,17,False
2007-09-01,4,6,18,0,32,False
2007-10-01,0,8,10,0,24,False
2007-11-01,3,7,9,0,21,False
2007-12-01,3,6,7,0,28,False
2008-01-01,2,2,6,0,18,False
2008-02-01,5,4,7,0,29,False
2008-03-01,2,0,7,2,25,False
2008-04-01,2,7,10,0,27,False
