date,Monika Bulaj,Quyen Nguyen,Pavan Sukhdev,Homaro Cantu + Ben Roche,Iraola,isPartial
2004-01-01,0,30,0,0,23,False
2004-02-01,0,15,0,15,60,False
2004-03-01,0,19,0,19,18,False
2004-04-01,0,0,0,14,19,False
2004-05-01,0,12,0,12,17,False
2004-06-01,0,12,0,0,19,False
2004-07-01,0,13,0,13,17,False
2004-08-01,0,12,0,18,20,False
2004-09-01,0,0,0,0,28,False
2004-10-01,0,0,0,11,26,False
2004-11-01,11,11,0,0,34,False
2004-12-01,0,11,0,21,21,False
2005-01-01,0,14,0,0,31,False
2005-02-01,0,10,0,20,24,False
2005-03-01,0,16,0,12,19,False
2005-04-01,0,0,0,9,24,False
2005-05-01,0,8,0,16,27,False
2005-06-01,0,16,0,8,29,False
2005-07-01,0,8,0,16,25,False
2005-08-01,0,8,0,0,21,False
2005-09-01,0,11,0,7,29,False
2005-10-01,7,7,0,7,27,False
2005-11-01,0,10,0,13,27,False
2005-12-01,0,0,0,9,22,False
2006-01-01,6,6,0,6,17,False
2006-02-01,0,6,0,0,22,False
2006-03-01,0,7,0,7,38,False
2006-04-01,0,8,0,9,24,False
2006-05-01,0,5,0,10,24,False
2006-06-01,0,12,0,5,27,False
2006-07-01,0,5,0,5,32,False
2006-08-01,5,5,0,7,20,False
2006-09-01,5,5,0,8,17,False
2006-10-01,4,6,4,4,27,False
2006-11-01,0,4,0,12,25,False
2006-12-01,0,10,0,6,22,False
2007-01-01,4,4,0,17,27,False
2007-02-01,4,6,0,5,24,False
2007-03-01,3,7,0,5,39,False
2007-04-01,0,4,0,6,25,False
2007-05-01,0,9,0,5,25,False
2007-06-01,3,10,0,6,27,False
2007-07-01,3,5,3,9,22,False
2007-08-01,0,4,0,4,17,False
2007-09-01,3,4,0,12,32,False
2007-10-01,0,10,3,3,24,False
2007-11-01,0,5,0,8,21,False
2007-12-01,0,12,3,5,28,False
2008-01-01,2,12,0,8,18,False
2008-02-01,0,11,0,12,29,False
2008-03-01,0,9,0,12,25,False
2008-04-01,2,14,2,8,27,False
2008-05-01,5,16,6,6,27,False
2008-06-01,0,10,2,11,24,False
2008-07-01,0,22,2,7,15,False
2008-08-01,3,8,0,5,32,False
2008-09-01,2,12,3,6,35,False
2008-10-01,2,19,5,4,30,False
2008-11-01,2,12,2,6,31,False
2008-12-01,0,16,2,8,25,False
2009-01-01,4,13,2,7,30,False
2009-02-01,6,16,0,4,35,False
2009-03-01,3,21,2,3,24,False
2009-04-01,2,27,4,3,32,False
2009-05-01,0,21,2,6,39,False
2009-06-01,2,31,0,3,27,False
2009-07-01,2,21,2,5,26,False
2009-08-01,3,26,2,7,32,False
2009-09-01,3,37,2,3,38,False
2009-10-01,0,31,3,7,28,False
2009-11-01,2,35,3,3,36,False
2009-12-01,2,45,2,6,27,False
2010-01-01,0,33,1,4,35,False
2010-02-01,1,21,2,1,18,False
2010-03-01,0,42,3,6,26,False
2010-04-01,1,40,2,9,27,False
2010-05-01,0,40,2,9,24,False
2010-06-01,1,28,2,7,29,False
2010-07-01,0,42,3,6,20,False
2010-08-01,1,36,4,4,27,False
2010-09-01,1,47,3,5,32,False
2010-10-01,2,49,4,3,34,False
2010-11-01,1,55,4,5,42,False
2010-12-01,1,57,4,3,34,False
2011-01-01,3,47,2,4,28,False
2011-02-01,1,33,3,4,38,False
2011-03-01,0,57,1,5,46,False
2011-04-01,1,70,1,4,34,False
2011-05-01,2,65,2,4,31,False
2011-06-01,2,62,2,9,33,False
2011-07-01,1,56,1,3,28,False
2011-08-01,4,58,2,6,42,False
2011-09-01,1,76,1,5,34,False
2011-10-01,2,51,2,3,32,False
2011-11-01,4,56,2,8,28,False
2011-12-01,4,60,4,6,27,False
2012-01-01,4,35,2,10,25,False
