date,Mike deGruy,Aleph Molinari,Nancy Duarte,Neil Burgess,Iraola,isPartial
2004-01-01,0,0,15,15,23,False
2004-02-01,0,0,0,15,60,False
2004-03-01,0,0,0,18,18,False
2004-04-01,0,0,0,0,19,False
2004-05-01,0,0,0,13,17,False
2004-06-01,0,0,0,12,19,False
2004-07-01,13,0,0,13,17,False
2004-08-01,0,0,0,0,20,False
2004-09-01,0,0,0,0,28,False
2004-10-01,0,0,0,11,26,False
2004-11-01,0,0,0,0,34,False
2004-12-01,0,0,10,10,21,False
2005-01-01,0,0,0,18,31,False
2005-02-01,0,0,0,0,24,False
2005-03-01,8,0,0,0,19,False
2005-04-01,0,0,18,9,24,False
2005-05-01,0,0,0,12,27,False
2005-06-01,0,0,0,0,29,False
2005-07-01,0,0,0,8,25,False
2005-08-01,8,0,8,8,21,False
2005-09-01,7,0,7,7,29,False
2005-10-01,0,0,0,14,27,False
2005-11-01,7,0,0,7,27,False
2005-12-01,0,0,0,7,22,False
2006-01-01,0,0,0,23,17,False
2006-02-01,0,0,0,12,22,False
2006-03-01,0,0,0,17,38,False
2006-04-01,0,0,5,8,24,False
2006-05-01,5,0,5,8,24,False
2006-06-01,5,0,0,16,27,False
2006-07-01,5,0,5,8,32,False
2006-08-01,0,0,0,20,20,False
2006-09-01,5,0,5,5,17,False
2006-10-01,0,0,4,4,27,False
2006-11-01,4,0,4,12,25,False
2006-12-01,0,0,4,6,22,False
2007-01-01,7,4,0,5,27,False
2007-02-01,0,0,0,8,24,False
2007-03-01,0,0,3,7,39,False
2007-04-01,0,0,0,6,25,False
2007-05-01,3,0,3,6,25,False
2007-06-01,3,0,0,13,27,False
2007-07-01,3,0,3,6,22,False
2007-08-01,3,0,0,6,17,False
2007-09-01,0,0,3,4,32,False
2007-10-01,4,0,3,5,24,False
2007-11-01,0,0,3,4,21,False
2007-12-01,3,0,3,5,28,False
2008-01-01,2,0,0,6,18,False
2008-02-01,2,0,2,3,29,False
2008-03-01,0,0,6,5,25,False
2008-04-01,0,0,3,5,27,False
2008-05-01,2,0,4,3,27,False
2008-06-01,0,0,2,2,24,False
2008-07-01,0,0,2,4,15,False
2008-08-01,0,0,2,2,32,False
2008-09-01,4,0,4,4,35,False
2008-10-01,2,0,4,6,30,False
2008-11-01,0,0,5,0,31,False
2008-12-01,0,0,2,5,25,False
2009-01-01,4,0,4,3,30,False
2009-02-01,2,0,3,3,35,False
2009-03-01,2,0,4,3,24,False
2009-04-01,3,0,3,3,32,False
2009-05-01,0,0,4,3,39,False
2009-06-01,2,0,5,2,27,False
2009-07-01,2,0,3,2,26,False
2009-08-01,2,0,2,3,32,False
2009-09-01,2,0,4,4,38,False
2009-10-01,0,0,6,4,28,False
2009-11-01,1,0,3,3,36,False
2009-12-01,1,0,7,3,27,False
2010-01-01,1,0,6,6,35,False
2010-02-01,1,1,5,3,18,False
2010-03-01,1,0,3,1,26,False
2010-04-01,4,0,4,4,27,False
2010-05-01,2,0,5,3,24,False
2010-06-01,2,0,4,3,29,False
2010-07-01,2,1,3,3,20,False
2010-08-01,2,0,3,3,27,False
2010-09-01,1,0,5,3,32,False
2010-10-01,0,0,7,5,34,False
2010-11-01,1,0,5,4,42,False
2010-12-01,1,0,5,3,34,False
2011-01-01,0,1,5,3,28,False
2011-02-01,1,0,5,2,38,False
2011-03-01,0,0,8,2,46,False
2011-04-01,1,1,7,3,34,False
2011-05-01,0,0,6,2,31,False
2011-06-01,1,0,7,2,33,False
2011-07-01,1,0,9,1,28,False
2011-08-01,1,1,6,1,42,False
2011-09-01,0,0,8,4,34,False
2011-10-01,0,1,7,2,32,False
2011-11-01,0,0,7,3,28,False
2011-12-01,1,0,2,2,27,False
2012-01-01,0,0,5,2,25,False
2012-02-01,66,2,21,5,30,False
2012-03-01,5,1,9,2,54,False
2012-04-01,4,0,11,2,34,False
2012-05-01,5,1,7,2,41,False
2012-06-01,2,1,9,2,32,False
2012-07-01,2,0,7,3,23,False
2012-08-01,5,0,8,4,24,False
2012-09-01,1,1,7,3,26,False
2012-10-01,2,0,7,1,25,False
2012-11-01,1,0,11,2,27,False
2012-12-01,1,0,10,3,23,False
2013-01-01,25,0,7,4,24,False
2013-02-01,12,1,10,2,25,False
2013-03-01,7,0,8,3,23,False
2013-04-01,4,1,7,3,25,False
2013-05-01,2,1,8,2,21,False
2013-06-01,3,1,11,3,23,False
2013-07-01,2,1,12,2,23,False
2013-08-01,3,0,7,3,24,False
2013-09-01,1,0,8,4,30,False
2013-10-01,1,1,10,2,26,False
2013-11-01,3,0,9,2,24,False
2013-12-01,1,0,6,2,25,False
2014-01-01,1,0,10,2,22,False
2014-02-01,2,0,8,3,25,False
2014-03-01,5,0,10,3,28,False
2014-04-01,3,0,11,3,22,False
2014-05-01,1,1,8,3,25,False
2014-06-01,1,1,8,3,21,False
2014-07-01,2,1,11,3,26,False
2014-08-01,2,0,8,3,34,False
2014-09-01,1,0,9,5,35,False
2014-10-01,1,1,8,4,27,False
2014-11-01,1,0,8,4,26,False
2014-12-01,1,0,6,2,22,False
2015-01-01,1,0,7,4,21,False
2015-02-01,1,1,7,4,26,False
2015-03-01,1,0,10,2,37,False
2015-04-01,4,1,9,5,38,False
2015-05-01,1,0,8,2,100,False
2015-06-01,1,0,7,3,44,False
2015-07-01,1,1,6,4,50,False
2015-08-01,0,0,6,4,34,False
2015-09-01,1,0,8,3,30,False
2015-10-01,1,0,8,2,24,False
2015-11-01,2,0,7,2,23,False
2015-12-01,2,0,5,3,20,False
2016-01-01,1,0,6,2,24,False
2016-02-01,1,0,6,2,23,False
2016-03-01,1,0,9,3,26,False
2016-04-01,2,0,6,3,18,False
2016-05-01,2,0,7,2,32,False
2016-06-01,1,0,7,3,26,False
2016-07-01,1,1,5,5,28,False
2016-08-01,1,0,4,1,18,False
2016-09-01,1,0,5,2,25,False
2016-10-01,1,1,10,3,24,False
2016-11-01,1,0,4,3,33,False
2016-12-01,0,0,4,2,19,False
2017-01-01,1,0,5,2,18,False
2017-02-01,1,0,7,2,21,False
2017-03-01,0,0,6,2,18,False
2017-04-01,1,0,5,2,19,False
2017-05-01,1,0,5,1,24,False
2017-06-01,1,0,5,2,19,False
2017-07-01,1,0,5,3,20,False
2017-08-01,1,0,5,1,18,False
2017-09-01,1,0,5,2,18,False
2017-10-01,0,0,7,5,16,False
2017-11-01,0,0,7,3,14,False
2017-12-01,1,0,6,3,14,False
2018-01-01,1,0,6,2,19,False
2018-02-01,1,0,6,4,17,False
2018-03-01,1,0,5,2,14,False
2018-04-01,1,0,5,2,16,False
2018-05-01,2,0,5,2,17,False
2018-06-01,1,0,4,2,17,False
2018-07-01,1,0,3,2,16,False
2018-08-01,1,0,6,1,17,False
2018-09-01,0,0,6,3,18,False
2018-10-01,0,0,5,2,20,False
2018-11-01,2,0,5,4,17,False
2018-12-01,2,0,4,2,16,False
2019-01-01,1,0,5,2,16,False
2019-02-01,1,0,6,3,19,False
2019-03-01,1,0,6,2,15,False
2019-04-01,1,0,4,2,19,False
2019-05-01,1,0,4,1,16,False
2019-06-01,1,1,5,2,17,False
2019-07-01,1,0,5,1,24,False
2019-08-01,1,0,4,2,20,False
2019-09-01,1,0,6,1,17,False
2019-10-01,1,0,8,3,16,False
2019-11-01,1,0,6,1,16,False
2019-12-01,1,0,4,2,19,False
2020-01-01,2,0,5,1,28,False
