date,Stephen Coleman,Sheikha Al Mayassa,Erik Johansson,Drew Dudley,Iraola,isPartial
2004-01-01,15,0,30,15,23,False
2004-02-01,15,0,0,0,60,False
2004-03-01,37,0,28,0,18,False
2004-04-01,36,0,15,0,19,False
2004-05-01,25,0,12,0,17,False
2004-06-01,25,0,25,0,19,False
2004-07-01,19,0,19,13,17,False
2004-08-01,18,0,12,0,20,False
2004-09-01,33,0,22,0,28,False
2004-10-01,15,0,11,11,26,False
2004-11-01,34,0,15,11,34,False
2004-12-01,16,0,21,0,21,False
2005-01-01,18,0,18,9,31,False
2005-02-01,20,0,10,0,24,False
2005-03-01,16,0,8,0,19,False
2005-04-01,12,0,36,0,24,False
2005-05-01,16,0,16,0,27,False
2005-06-01,24,0,13,0,29,False
2005-07-01,0,0,8,8,25,False
2005-08-01,8,0,8,8,21,False
2005-09-01,7,0,14,0,29,False
2005-10-01,14,0,20,7,27,False
2005-11-01,13,0,24,7,27,False
2005-12-01,15,0,13,0,22,False
2006-01-01,8,6,15,6,17,False
2006-02-01,14,0,6,0,22,False
2006-03-01,14,0,12,0,38,False
2006-04-01,19,0,17,0,24,False
2006-05-01,10,0,10,0,24,False
2006-06-01,8,0,11,0,27,False
2006-07-01,13,0,9,0,32,False
2006-08-01,7,0,13,0,20,False
2006-09-01,8,0,13,0,17,False
2006-10-01,11,0,7,4,27,False
2006-11-01,7,0,17,4,25,False
2006-12-01,12,0,13,0,22,False
2007-01-01,17,0,16,0,27,False
2007-02-01,13,0,13,4,24,False
2007-03-01,3,0,10,3,39,False
2007-04-01,9,0,10,4,25,False
2007-05-01,14,0,7,0,25,False
2007-06-01,14,0,8,0,27,False
2007-07-01,10,0,6,3,22,False
2007-08-01,8,0,12,0,17,False
2007-09-01,15,0,12,3,32,False
2007-10-01,6,0,8,4,24,False
2007-11-01,9,0,11,0,21,False
2007-12-01,5,0,12,3,28,False
2008-01-01,10,0,7,0,18,False
2008-02-01,10,0,8,2,29,False
2008-03-01,11,0,7,2,25,False
2008-04-01,8,2,16,2,27,False
2008-05-01,7,2,3,2,27,False
2008-06-01,4,0,9,0,24,False
2008-07-01,11,0,7,2,15,False
2008-08-01,6,0,10,2,32,False
2008-09-01,6,2,7,2,35,False
2008-10-01,9,2,9,2,30,False
2008-11-01,11,2,9,2,31,False
2008-12-01,6,0,12,0,25,False
2009-01-01,13,2,7,2,30,False
2009-02-01,8,2,7,0,35,False
2009-03-01,12,2,15,2,24,False
2009-04-01,8,2,21,2,32,False
2009-05-01,8,2,19,2,39,False
2009-06-01,7,0,20,2,27,False
2009-07-01,17,0,14,2,26,False
2009-08-01,10,0,29,0,32,False
2009-09-01,7,2,30,2,38,False
2009-10-01,9,3,27,1,28,False
2009-11-01,8,1,33,2,36,False
2009-12-01,5,1,18,3,27,False
2010-01-01,8,0,18,1,35,False
2010-02-01,7,0,25,6,18,False
2010-03-01,8,0,24,1,26,False
2010-04-01,8,1,27,0,27,False
2010-05-01,13,1,51,1,24,False
2010-06-01,10,1,23,1,29,False
2010-07-01,7,1,25,2,20,False
2010-08-01,6,0,22,1,27,False
2010-09-01,7,0,21,2,32,False
2010-10-01,8,2,20,1,34,False
2010-11-01,7,2,25,1,42,False
2010-12-01,7,1,20,1,34,False
2011-01-01,6,1,21,2,28,False
2011-02-01,7,0,22,2,38,False
2011-03-01,12,1,13,2,46,False
2011-04-01,6,1,21,2,34,False
2011-05-01,9,0,20,1,31,False
2011-06-01,7,1,34,1,33,False
2011-07-01,7,0,21,1,28,False
2011-08-01,7,0,17,2,42,False
2011-09-01,7,1,19,3,34,False
2011-10-01,6,2,16,1,32,False
2011-11-01,6,2,22,2,28,False
2011-12-01,4,1,16,1,27,False
2012-01-01,4,1,26,1,25,False
2012-02-01,8,6,77,4,30,False
2012-03-01,6,2,33,2,54,False
2012-04-01,4,3,36,3,34,False
2012-05-01,7,3,36,3,41,False
2012-06-01,6,3,20,4,32,False
2012-07-01,4,2,21,3,23,False
2012-08-01,5,1,18,2,24,False
2012-09-01,6,1,31,4,26,False
2012-10-01,6,2,21,3,25,False
2012-11-01,7,2,33,2,27,False
2012-12-01,7,1,26,2,23,False
