date,Avi Rubin,Jeffrey Kluger,Kevin Allocca,Paul Snelgrove,Iraola,isPartial
2004-01-01,0,0,0,15,23,False
2004-02-01,0,0,0,0,60,False
2004-03-01,19,19,0,0,18,False
2004-04-01,19,0,0,0,19,False
2004-05-01,25,0,0,0,17,False
2004-06-01,13,0,0,0,19,False
2004-07-01,0,13,0,13,17,False
2004-08-01,12,0,0,0,20,False
2004-09-01,26,11,0,0,28,False
2004-10-01,17,11,0,11,26,False
2004-11-01,19,0,0,0,34,False
2004-12-01,0,0,0,0,21,False
2005-01-01,9,0,0,0,31,False
2005-02-01,10,20,0,0,24,False
2005-03-01,8,0,0,0,19,False
2005-04-01,0,0,0,0,24,False
2005-05-01,8,16,0,0,27,False
2005-06-01,8,8,0,0,29,False
2005-07-01,25,8,0,0,25,False
2005-08-01,12,8,0,0,21,False
2005-09-01,10,0,0,0,29,False
2005-10-01,10,7,0,0,27,False
2005-11-01,0,7,0,7,27,False
2005-12-01,7,7,0,0,22,False
2006-01-01,0,0,0,0,17,False
2006-02-01,6,6,0,6,22,False
2006-03-01,0,5,0,0,38,False
2006-04-01,0,11,0,0,24,False
2006-05-01,8,5,0,5,24,False
2006-06-01,0,0,0,0,27,False
2006-07-01,5,0,0,0,32,False
2006-08-01,5,5,0,5,20,False
2006-09-01,7,5,0,0,17,False
2006-10-01,9,4,0,0,27,False
2006-11-01,10,6,0,4,25,False
2006-12-01,4,4,0,0,22,False
2007-01-01,4,5,0,0,27,False
2007-02-01,4,8,0,4,24,False
2007-03-01,3,0,0,0,39,False
2007-04-01,4,7,0,0,25,False
2007-05-01,3,6,3,0,25,False
2007-06-01,3,5,0,0,27,False
2007-07-01,3,3,0,6,22,False
2007-08-01,6,3,0,3,17,False
2007-09-01,6,4,0,0,32,False
2007-10-01,4,4,0,5,24,False
2007-11-01,3,5,0,3,21,False
2007-12-01,5,0,0,0,28,False
2008-01-01,0,0,0,5,18,False
2008-02-01,2,5,0,0,29,False
2008-03-01,2,3,0,0,25,False
2008-04-01,0,3,0,0,27,False
2008-05-01,2,0,0,0,27,False
2008-06-01,5,3,0,0,24,False
2008-07-01,2,0,0,0,15,False
2008-08-01,2,5,0,2,32,False
2008-09-01,4,2,2,4,35,False
2008-10-01,2,4,0,2,30,False
2008-11-01,2,2,0,0,31,False
2008-12-01,2,2,0,0,25,False
2009-01-01,2,2,0,2,30,False
2009-02-01,3,3,0,0,35,False
2009-03-01,2,5,0,0,24,False
2009-04-01,2,3,0,0,32,False
2009-05-01,2,2,0,0,39,False
2009-06-01,0,2,0,0,27,False
2009-07-01,2,2,0,0,26,False
2009-08-01,2,3,2,2,32,False
2009-09-01,2,2,2,2,38,False
2009-10-01,1,2,3,0,28,False
2009-11-01,1,2,0,2,36,False
2009-12-01,1,0,0,1,27,False
2010-01-01,3,1,0,1,35,False
2010-02-01,2,1,0,0,18,False
2010-03-01,1,3,1,0,26,False
2010-04-01,1,2,1,0,27,False
2010-05-01,1,2,0,0,24,False
2010-06-01,1,1,0,1,29,False
2010-07-01,1,6,1,2,20,False
2010-08-01,2,5,2,0,27,False
2010-09-01,1,3,1,0,32,False
2010-10-01,2,4,1,0,34,False
2010-11-01,3,2,0,1,42,False
2010-12-01,2,3,1,0,34,False
2011-01-01,0,3,0,0,28,False
2011-02-01,1,2,0,0,38,False
