date,Noel Bairey Merz,Taylor Wilson,Billy Collins,Jer Thorp,Iraola,isPartial
2004-01-01,0,26,54,0,7,False
2004-02-01,0,18,62,0,19,False
2004-03-01,0,27,100,0,6,False
2004-04-01,0,26,96,0,6,False
2004-05-01,0,21,98,0,5,False
2004-06-01,0,24,39,0,6,False
2004-07-01,0,19,26,0,5,False
2004-08-01,0,23,74,0,6,False
2004-09-01,0,22,70,0,9,False
2004-10-01,0,20,68,0,8,False
2004-11-01,0,18,62,0,11,False
2004-12-01,3,22,57,0,7,False
2005-01-01,3,23,43,0,10,False
2005-02-01,0,16,50,0,8,False
2005-03-01,0,20,71,0,6,False
2005-04-01,0,20,70,0,8,False
2005-05-01,0,22,49,0,8,False
2005-06-01,3,16,32,0,9,False
2005-07-01,0,29,36,0,8,False
2005-08-01,0,28,31,0,7,False
2005-09-01,0,27,45,0,9,False
2005-10-01,4,15,61,0,9,False
2005-11-01,0,19,69,0,9,False
2005-12-01,0,22,34,0,7,False
2006-01-01,2,16,48,0,5,False
2006-02-01,3,18,51,0,7,False
2006-03-01,2,17,61,0,12,False
2006-04-01,0,19,61,0,8,False
2006-05-01,0,23,67,0,7,False
2006-06-01,0,21,35,0,8,False
2006-07-01,3,18,41,0,10,False
2006-08-01,0,22,29,0,6,False
2006-09-01,0,20,31,0,5,False
2006-10-01,1,17,46,0,9,False
2006-11-01,0,16,40,0,8,False
2006-12-01,0,18,59,0,7,False
2007-01-01,0,18,39,0,9,False
2007-02-01,0,12,50,0,7,False
2007-03-01,1,15,55,0,12,False
2007-04-01,0,17,54,0,8,False
2007-05-01,0,15,81,0,8,False
2007-06-01,1,13,30,0,8,False
2007-07-01,0,18,27,0,7,False
2007-08-01,0,21,29,0,5,False
2007-09-01,1,20,38,0,10,False
2007-10-01,0,18,40,0,7,False
2007-11-01,0,20,45,0,7,False
2007-12-01,0,14,34,0,9,False
2008-01-01,0,22,32,0,6,False
2008-02-01,0,20,43,0,9,False
2008-03-01,0,29,44,0,8,False
2008-04-01,0,23,66,0,8,False
2008-05-01,0,16,43,0,9,False
2008-06-01,0,19,25,0,8,False
2008-07-01,0,23,23,0,5,False
2008-08-01,0,18,24,0,10,False
2008-09-01,0,23,27,0,11,False
2008-10-01,1,19,36,0,10,False
2008-11-01,0,21,30,0,10,False
2008-12-01,0,16,32,0,8,False
2009-01-01,1,18,31,0,9,False
2009-02-01,0,15,43,1,11,False
2009-03-01,0,19,33,0,8,False
2009-04-01,0,20,44,1,10,False
2009-05-01,0,24,40,1,12,False
2009-06-01,0,17,28,0,8,False
2009-07-01,0,19,46,0,8,False
2009-08-01,0,20,82,0,10,False
2009-09-01,0,31,33,1,12,False
2009-10-01,0,19,31,0,9,False
2009-11-01,0,19,28,1,11,False
2009-12-01,0,20,29,0,8,False
2010-01-01,0,20,28,0,11,False
2010-02-01,0,20,34,0,6,False
2010-03-01,0,18,34,0,8,False
2010-04-01,0,19,43,0,9,False
2010-05-01,0,19,33,0,7,False
2010-06-01,0,16,23,0,9,False
2010-07-01,0,20,19,0,6,False
2010-08-01,0,18,31,0,9,False
2010-09-01,0,20,32,1,10,False
2010-10-01,0,15,30,1,11,False
2010-11-01,0,17,43,1,13,False
2010-12-01,0,17,29,0,11,False
2011-01-01,0,19,28,0,9,False
2011-02-01,0,15,32,1,12,False
2011-03-01,0,17,39,1,14,False
2011-04-01,0,18,44,0,11,False
2011-05-01,0,17,39,1,10,False
2011-06-01,0,17,24,0,10,False
2011-07-01,0,19,18,0,9,False
2011-08-01,0,16,20,0,13,False
2011-09-01,0,31,29,1,11,False
2011-10-01,0,18,29,0,10,False
2011-11-01,0,14,29,0,9,False
2011-12-01,0,16,25,0,9,False
2012-01-01,0,18,24,0,8,False
2012-02-01,0,27,27,1,10,False
2012-03-01,1,30,33,2,17,False
2012-04-01,0,27,33,1,11,False
2012-05-01,0,24,27,1,13,False
2012-06-01,0,22,19,1,10,False
2012-07-01,0,16,16,0,7,False
2012-08-01,0,19,17,0,8,False
2012-09-01,0,19,27,0,8,False
2012-10-01,0,20,25,0,8,False
2012-11-01,0,20,26,0,8,False
2012-12-01,1,19,20,1,7,False
2013-01-01,0,20,26,0,7,False
2013-02-01,1,18,27,1,8,False
2013-03-01,0,26,27,1,7,False
2013-04-01,0,21,33,1,8,False
2013-05-01,0,29,29,0,7,False
2013-06-01,0,24,17,1,7,False
2013-07-01,0,18,19,1,7,False
2013-08-01,0,25,18,0,8,False
2013-09-01,0,22,22,1,10,False
2013-10-01,0,20,35,0,8,False
2013-11-01,0,17,38,0,8,False
2013-12-01,0,17,26,0,8,False
2014-01-01,0,18,26,0,7,False
2014-02-01,0,17,25,1,8,False
2014-03-01,0,18,26,0,9,False
2014-04-01,0,17,30,1,7,False
2014-05-01,0,15,23,0,8,False
2014-06-01,0,15,15,0,7,False
2014-07-01,0,17,16,0,8,False
2014-08-01,0,20,15,0,11,False
2014-09-01,0,15,22,0,11,False
2014-10-01,0,17,22,1,9,False
2014-11-01,0,20,18,1,8,False
2014-12-01,0,17,17,0,7,False
2015-01-01,0,18,22,0,7,False
2015-02-01,0,18,25,0,8,False
2015-03-01,0,17,20,0,12,False
2015-04-01,0,16,25,0,12,False
2015-05-01,0,17,20,0,32,False
2015-06-01,0,24,15,0,14,False
2015-07-01,0,18,13,0,16,False
2015-08-01,0,22,12,0,11,False
2015-09-01,0,22,19,0,9,False
2015-10-01,0,20,17,0,8,False
2015-11-01,0,20,18,0,7,False
2015-12-01,0,22,16,0,6,False
2016-01-01,0,18,17,0,8,False
2016-02-01,0,18,20,0,7,False
2016-03-01,0,15,18,0,8,False
2016-04-01,0,16,23,0,6,False
2016-05-01,0,16,18,0,10,False
2016-06-01,0,15,13,0,8,False
2016-07-01,0,17,11,0,9,False
2016-08-01,0,15,12,0,6,False
2016-09-01,0,15,17,0,8,False
2016-10-01,0,13,18,0,8,False
2016-11-01,0,14,16,0,10,False
2016-12-01,0,14,16,0,6,False
2017-01-01,0,14,18,0,6,False
2017-02-01,0,15,18,0,7,False
2017-03-01,0,14,19,0,6,False
2017-04-01,0,14,21,0,6,False
2017-05-01,0,16,18,0,8,False
2017-06-01,0,15,11,0,6,False
2017-07-01,0,16,11,0,6,False
2017-08-01,0,17,11,0,6,False
2017-09-01,0,15,19,0,6,False
2017-10-01,0,15,15,0,5,False
2017-11-01,0,17,16,0,4,False
2017-12-01,0,16,14,0,4,False
2018-01-01,0,17,17,1,6,False
2018-02-01,0,13,16,0,5,False
2018-03-01,0,12,16,0,4,False
2018-04-01,0,12,17,0,5,False
2018-05-01,0,13,15,0,5,False
2018-06-01,0,12,10,0,5,False
2018-07-01,0,12,10,0,5,False
2018-08-01,0,12,19,0,6,False
2018-09-01,0,16,21,0,6,False
2018-10-01,0,14,15,0,6,False
2018-11-01,0,11,23,0,5,False
2018-12-01,0,10,16,0,5,False
2019-01-01,0,12,17,0,5,False
2019-02-01,0,14,16,0,6,False
2019-03-01,0,13,17,0,5,False
2019-04-01,0,14,20,0,6,False
2019-05-01,0,13,16,0,5,False
2019-06-01,0,12,15,0,5,False
2019-07-01,0,12,15,0,8,False
2019-08-01,0,13,12,0,6,False
2019-09-01,0,13,15,0,5,False
2019-10-01,0,11,13,0,5,False
2019-11-01,0,11,13,0,5,False
2019-12-01,0,12,14,0,6,False
2020-01-01,0,13,17,0,9,False
2020-02-01,0,14,15,0,17,False
2020-03-01,0,11,16,0,7,False
2020-04-01,0,12,19,0,5,False
2020-05-01,0,12,19,0,4,False
2020-06-01,0,12,12,0,5,False
2020-07-01,0,12,13,0,11,False
2020-08-01,0,13,13,0,8,False
2020-09-01,0,14,16,0,6,False
2020-10-01,0,11,17,0,7,False
