date,Peter Saul,Donald Sadoway,Regina Dugan,Leymah Gbowee,Iraola,isPartial
2004-01-01,20,0,0,0,23,False
2004-02-01,30,0,0,0,60,False
2004-03-01,0,0,0,0,18,False
2004-04-01,14,0,0,0,19,False
2004-05-01,29,0,13,0,17,False
2004-06-01,25,0,0,0,19,False
2004-07-01,13,0,0,0,17,False
2004-08-01,12,0,0,0,20,False
2004-09-01,17,0,0,0,28,False
2004-10-01,11,0,0,0,26,False
2004-11-01,19,11,0,0,34,False
2004-12-01,16,0,0,0,21,False
2005-01-01,15,0,9,0,31,False
2005-02-01,10,0,0,0,24,False
2005-03-01,14,8,0,0,19,False
2005-04-01,18,0,0,0,24,False
2005-05-01,32,0,0,0,27,False
2005-06-01,8,0,0,0,29,False
2005-07-01,16,8,0,0,25,False
2005-08-01,24,0,0,0,21,False
2005-09-01,19,0,0,0,29,False
2005-10-01,27,7,0,0,27,False
2005-11-01,9,0,0,0,27,False
2005-12-01,11,7,0,0,22,False
2006-01-01,15,0,0,0,17,False
2006-02-01,6,0,6,0,22,False
2006-03-01,12,5,0,0,37,False
2006-04-01,17,0,0,0,24,False
2006-05-01,15,0,0,0,23,False
2006-06-01,8,0,0,0,27,False
2006-07-01,8,5,0,0,32,False
2006-08-01,5,0,0,0,20,False
2006-09-01,9,5,0,0,17,False
2006-10-01,10,0,0,0,27,False
2006-11-01,17,4,0,0,25,False
2006-12-01,11,9,0,0,22,False
2007-01-01,5,0,0,0,27,False
2007-02-01,20,0,4,0,24,False
2007-03-01,9,0,0,0,39,False
2007-04-01,12,0,0,0,25,False
2007-05-01,9,3,0,0,25,False
2007-06-01,3,3,0,0,27,False
2007-07-01,5,3,0,0,22,False
2007-08-01,6,3,0,0,17,False
2007-09-01,11,3,0,0,32,False
2007-10-01,8,0,0,0,24,False
2007-11-01,10,0,0,0,21,False
2007-12-01,11,3,0,0,28,False
2008-01-01,14,0,0,0,18,False
2008-02-01,8,2,0,0,29,False
2008-03-01,10,0,0,0,25,False
2008-04-01,11,0,0,0,27,False
2008-05-01,13,2,2,2,27,False
2008-06-01,8,2,2,0,24,False
2008-07-01,9,2,2,0,15,False
2008-08-01,11,0,0,4,32,False
2008-09-01,6,0,0,0,35,False
2008-10-01,14,2,2,2,30,False
2008-11-01,8,2,0,3,31,False
2008-12-01,9,2,0,2,25,False
2009-01-01,10,2,0,0,30,False
2009-02-01,11,3,0,2,35,False
2009-03-01,8,4,2,0,24,False
2009-04-01,7,0,0,0,31,False
2009-05-01,10,0,4,2,39,False
2009-06-01,5,2,3,4,27,False
2009-07-01,8,3,13,8,26,False
2009-08-01,8,2,3,2,32,False
2009-09-01,8,0,4,2,38,False
2009-10-01,10,2,3,3,28,False
2009-11-01,9,3,4,1,36,False
2009-12-01,8,0,3,2,27,False
2010-01-01,6,1,4,0,35,False
2010-02-01,9,1,3,1,18,False
2010-03-01,9,0,2,3,26,False
2010-04-01,11,0,8,2,27,False
2010-05-01,6,1,3,3,24,False
2010-06-01,7,3,4,1,29,False
2010-07-01,4,2,2,1,20,False
2010-08-01,5,2,1,1,27,False
2010-09-01,4,3,1,3,32,False
2010-10-01,5,1,1,1,34,False
