date,Sherry Turkle,Chip Kidd,Jack Choi,Lucy McRae,Iraola,isPartial
2004-01-01,30,30,0,0,23,False
2004-02-01,25,30,0,0,60,False
2004-03-01,37,18,0,0,18,False
2004-04-01,29,24,0,0,19,False
2004-05-01,21,38,0,0,17,False
2004-06-01,13,37,0,0,19,False
2004-07-01,13,26,0,0,17,False
2004-08-01,24,24,24,0,20,False
2004-09-01,11,37,0,0,28,False
2004-10-01,17,40,0,0,26,False
2004-11-01,17,19,11,0,34,False
2004-12-01,32,21,10,0,21,False
2005-01-01,19,19,0,0,31,False
2005-02-01,20,29,20,0,24,False
2005-03-01,12,16,8,0,19,False
2005-04-01,9,23,9,0,24,False
2005-05-01,28,16,0,0,27,False
2005-06-01,8,20,0,0,29,False
2005-07-01,12,21,0,8,25,False
2005-08-01,8,24,0,0,21,False
2005-09-01,14,26,0,0,29,False
2005-10-01,20,23,0,0,27,False
2005-11-01,11,49,7,0,27,False
2005-12-01,7,42,0,0,22,False
2006-01-01,17,31,6,0,17,False
2006-02-01,8,30,0,0,22,False
2006-03-01,12,24,5,0,38,False
2006-04-01,19,11,6,0,24,False
2006-05-01,10,19,5,0,24,False
2006-06-01,16,34,5,5,27,False
2006-07-01,11,20,0,0,32,False
2006-08-01,0,15,0,0,20,False
2006-09-01,12,25,0,0,17,False
2006-10-01,16,19,4,0,27,False
2006-11-01,19,21,0,0,25,False
2006-12-01,9,22,9,4,22,False
2007-01-01,6,18,4,4,27,False
2007-02-01,14,9,4,4,24,False
2007-03-01,5,26,0,0,39,False
2007-04-01,10,14,4,4,25,False
2007-05-01,6,12,0,0,25,False
2007-06-01,11,10,3,3,27,False
2007-07-01,3,10,3,0,22,False
2007-08-01,6,5,0,0,17,False
2007-09-01,5,10,3,3,32,False
2007-10-01,7,11,3,0,24,False
2007-11-01,8,15,0,3,21,False
2007-12-01,6,19,3,3,28,False
2008-01-01,6,12,2,0,18,False
2008-02-01,7,34,2,2,29,False
2008-03-01,5,16,2,2,25,False
2008-04-01,5,17,2,2,27,False
2008-05-01,7,14,2,2,27,False
2008-06-01,3,10,0,2,24,False
2008-07-01,2,15,0,2,15,False
2008-08-01,6,13,2,0,32,False
2008-09-01,6,15,2,0,35,False
2008-10-01,3,14,4,2,30,False
2008-11-01,7,15,3,3,31,False
2008-12-01,6,12,3,2,25,False
2009-01-01,5,12,2,2,30,False
2009-02-01,8,15,2,0,35,False
2009-03-01,8,13,3,2,24,False
2009-04-01,9,11,2,2,32,False
2009-05-01,7,16,3,2,39,False
2009-06-01,7,13,5,2,27,False
2009-07-01,3,9,2,0,26,False
2009-08-01,5,8,2,2,32,False
2009-09-01,7,12,2,3,38,False
2009-10-01,6,14,1,3,28,False
2009-11-01,7,13,2,2,36,False
2009-12-01,4,8,3,2,27,False
2010-01-01,6,6,3,1,35,False
2010-02-01,8,7,3,2,18,False
2010-03-01,7,15,3,2,26,False
2010-04-01,7,12,3,2,27,False
2010-05-01,6,6,4,3,24,False
2010-06-01,6,6,3,2,29,False
2010-07-01,7,7,2,12,20,False
2010-08-01,2,7,2,5,27,False
2010-09-01,8,13,3,2,32,False
2010-10-01,7,7,2,3,34,False
2010-11-01,7,9,3,2,42,False
2010-12-01,5,7,2,2,34,False
2011-01-01,28,6,2,4,28,False
2011-02-01,24,7,2,4,38,False
2011-03-01,19,8,2,4,46,False
2011-04-01,13,9,4,3,34,False
2011-05-01,12,4,3,3,31,False
2011-06-01,11,5,5,2,33,False
2011-07-01,4,4,3,4,28,False
2011-08-01,10,6,2,2,42,False
2011-09-01,13,7,3,2,34,False
2011-10-01,13,7,3,4,32,False
2011-11-01,13,11,3,4,28,False
2011-12-01,8,9,2,3,27,False
2012-01-01,9,8,2,2,25,False
2012-02-01,11,6,3,2,30,False
2012-03-01,14,7,3,4,54,False
2012-04-01,35,15,6,10,34,False
2012-05-01,19,9,6,6,41,False
2012-06-01,12,7,4,5,32,False
2012-07-01,13,9,3,2,23,False
2012-08-01,11,8,4,4,24,False
2012-09-01,18,8,3,4,26,False
2012-10-01,23,11,4,4,25,False
2012-11-01,20,9,2,2,27,False
2012-12-01,14,6,3,2,23,False
2013-01-01,13,8,3,1,24,False
2013-02-01,18,8,3,4,25,False
2013-03-01,17,10,2,3,23,False
2013-04-01,20,14,2,4,25,False
2013-05-01,14,8,4,1,21,False
2013-06-01,12,11,6,2,23,False
2013-07-01,9,6,7,1,23,False
2013-08-01,13,7,6,2,24,False
2013-09-01,14,10,4,1,30,False
2013-10-01,23,14,2,3,26,False
2013-11-01,16,17,2,3,24,False
2013-12-01,17,9,2,2,25,False
2014-01-01,14,11,4,2,22,False
2014-02-01,20,10,3,4,25,False
2014-03-01,17,9,3,4,28,False
2014-04-01,17,10,3,3,22,False
2014-05-01,16,9,4,3,25,False
2014-06-01,9,8,4,2,21,False
2014-07-01,7,7,5,2,26,False
2014-08-01,8,8,3,2,34,False
2014-09-01,13,10,4,3,35,False
2014-10-01,16,9,2,3,27,False
2014-11-01,17,7,3,3,26,False
2014-12-01,10,8,2,2,22,False
2015-01-01,9,9,3,3,21,False
2015-02-01,15,11,3,1,26,False
2015-03-01,14,7,3,3,37,False
2015-04-01,13,10,2,2,38,False
2015-05-01,12,8,2,1,100,False
2015-06-01,7,11,4,2,44,False
2015-07-01,8,7,3,1,50,False
2015-08-01,9,7,4,1,34,False
2015-09-01,19,12,3,3,30,False
2015-10-01,34,10,2,1,24,False
2015-11-01,23,9,2,2,23,False
2015-12-01,16,6,2,2,20,False
2016-01-01,14,3,2,2,24,False
2016-02-01,21,12,3,2,23,False
2016-03-01,18,9,4,2,26,False
2016-04-01,17,8,3,3,18,False
2016-05-01,12,7,2,2,32,False
