date,David Kelley,Stewart Brand,Jeff Hawkins,Tierney Thys,Iraola,isPartial
2004-01-01,52,16,12,0,18,False
2004-02-01,100,12,12,0,48,False
2004-03-01,35,30,30,0,15,False
2004-04-01,54,38,12,0,15,False
2004-05-01,57,13,10,0,13,False
2004-06-01,46,10,15,0,15,False
2004-07-01,21,21,17,0,14,False
2004-08-01,74,23,29,10,16,False
2004-09-01,44,21,24,0,22,False
2004-10-01,79,21,30,0,21,False
2004-11-01,48,15,27,0,27,False
2004-12-01,67,25,39,0,17,False
2005-01-01,29,25,12,0,25,False
2005-02-01,50,10,23,0,20,False
2005-03-01,67,30,46,0,15,False
2005-04-01,68,22,34,0,19,False
2005-05-01,62,17,26,0,21,False
2005-06-01,62,36,28,0,24,False
2005-07-01,81,20,24,13,20,False
2005-08-01,34,17,27,0,17,False
2005-09-01,50,23,25,0,23,False
2005-10-01,38,18,22,5,22,False
2005-11-01,41,16,18,0,22,False
2005-12-01,44,9,19,0,18,False
2006-01-01,48,12,8,0,14,False
2006-02-01,46,8,22,0,18,False
2006-03-01,68,8,25,4,30,False
2006-04-01,37,10,19,0,19,False
2006-05-01,68,7,9,0,19,False
2006-06-01,58,21,20,0,21,False
2006-07-01,35,23,14,0,25,False
2006-08-01,42,13,9,0,16,False
2006-09-01,38,21,15,0,14,False
2006-10-01,48,16,14,0,22,False
2006-11-01,33,14,12,0,20,False
2006-12-01,37,9,12,0,17,False
2007-01-01,33,13,17,0,22,False
2007-02-01,41,26,16,0,19,False
2007-03-01,49,26,13,0,31,False
2007-04-01,40,11,15,0,20,False
2007-05-01,40,11,25,2,20,False
2007-06-01,38,18,27,3,21,False
2007-07-01,42,11,18,3,18,False
2007-08-01,58,10,15,2,14,False
2007-09-01,33,10,14,2,26,False
2007-10-01,36,12,20,2,19,False
2007-11-01,30,14,24,0,16,False
2007-12-01,31,8,16,0,23,False
2008-01-01,33,6,15,0,15,False
2008-02-01,36,13,11,0,23,False
