date,William Noel,Dalia Mogahed,Sebastian Deterding,Quixotic Fusion,Iraola,isPartial
2004-01-01,23,0,0,0,23,False
2004-02-01,20,0,0,0,60,False
2004-03-01,37,0,0,0,18,False
2004-04-01,0,0,0,0,19,False
2004-05-01,25,0,0,0,17,False
2004-06-01,0,0,0,0,19,False
2004-07-01,33,0,0,0,17,False
2004-08-01,36,0,0,0,20,False
2004-09-01,26,0,0,0,28,False
2004-10-01,19,0,0,0,26,False
2004-11-01,11,0,0,0,34,False
2004-12-01,11,0,0,0,21,False
2005-01-01,28,0,0,0,31,False
2005-02-01,20,0,0,0,24,False
2005-03-01,16,0,0,0,19,False
2005-04-01,21,0,0,0,24,False
2005-05-01,19,0,0,0,27,False
2005-06-01,24,0,0,0,29,False
2005-07-01,16,0,0,0,25,False
2005-08-01,24,0,0,0,21,False
2005-09-01,14,0,0,0,29,False
2005-10-01,18,0,0,0,27,False
2005-11-01,20,0,0,0,27,False
2005-12-01,20,0,0,0,22,False
2006-01-01,8,6,0,0,17,False
2006-02-01,21,0,0,0,22,False
2006-03-01,12,0,0,0,38,False
2006-04-01,14,0,0,0,24,False
2006-05-01,12,0,0,0,24,False
2006-06-01,5,0,5,5,27,False
2006-07-01,12,0,0,5,32,False
2006-08-01,11,0,0,0,20,False
2006-09-01,11,0,5,5,17,False
2006-10-01,16,4,0,0,27,False
2006-11-01,15,0,0,0,25,False
2006-12-01,7,0,4,0,22,False
2007-01-01,10,0,0,0,27,False
2007-02-01,16,0,0,0,24,False
2007-03-01,3,3,3,0,39,False
2007-04-01,14,0,0,0,25,False
2007-05-01,10,0,3,0,25,False
2007-06-01,10,0,0,3,27,False
2007-07-01,7,0,0,0,22,False
2007-08-01,10,0,3,0,17,False
2007-09-01,11,3,3,0,32,False
2007-10-01,10,0,0,0,24,False
2007-11-01,9,3,0,0,21,False
2007-12-01,17,0,0,0,28,False
2008-01-01,11,2,0,0,18,False
2008-02-01,10,0,0,0,29,False
2008-03-01,12,5,0,0,25,False
2008-04-01,12,5,0,0,27,False
2008-05-01,7,3,0,2,27,False
2008-06-01,6,5,0,2,24,False
2008-07-01,16,2,0,2,15,False
2008-08-01,10,2,0,0,32,False
2008-09-01,6,6,0,0,35,False
2008-10-01,8,4,2,2,30,False
2008-11-01,12,2,0,2,31,False
2008-12-01,18,3,0,0,25,False
2009-01-01,8,4,0,0,30,False
2009-02-01,8,2,2,0,35,False
2009-03-01,6,2,0,0,24,False
2009-04-01,12,29,0,0,32,False
2009-05-01,8,14,2,2,39,False
2009-06-01,9,18,0,2,27,False
2009-07-01,7,3,0,2,26,False
2009-08-01,9,5,2,2,32,False
2009-09-01,8,3,0,2,38,False
2009-10-01,7,15,0,1,28,False
2009-11-01,12,4,1,1,36,False
2009-12-01,15,4,0,0,27,False
2010-01-01,9,3,0,1,35,False
2010-02-01,8,3,1,0,18,False
2010-03-01,9,3,0,4,26,False
2010-04-01,8,7,0,0,27,False
2010-05-01,10,3,0,1,24,False
2010-06-01,9,4,0,2,29,False
2010-07-01,12,4,0,1,20,False
2010-08-01,6,4,1,1,27,False
2010-09-01,7,3,0,2,32,False
2010-10-01,7,2,0,2,34,False
2010-11-01,11,2,1,0,42,False
2010-12-01,17,2,1,0,34,False
2011-01-01,8,1,1,2,28,False
2011-02-01,9,3,0,1,38,False
2011-03-01,7,2,1,1,46,False
2011-04-01,9,3,2,1,34,False
2011-05-01,7,1,1,1,31,False
2011-06-01,8,4,1,3,33,False
2011-07-01,9,2,1,2,28,False
2011-08-01,12,4,1,1,42,False
2011-09-01,7,2,0,2,34,False
2011-10-01,8,3,2,2,32,False
2011-11-01,12,3,2,1,28,False
2011-12-01,15,2,1,1,27,False
2012-01-01,10,1,1,2,25,False
2012-02-01,8,2,2,2,30,False
2012-03-01,7,3,1,1,54,False
2012-04-01,5,2,1,1,34,False
2012-05-01,7,3,1,1,41,False
2012-06-01,8,3,3,4,32,False
2012-07-01,8,3,1,2,23,False
2012-08-01,6,1,1,3,24,False
2012-09-01,7,3,1,2,26,False
2012-10-01,7,2,1,2,25,False
2012-11-01,9,2,1,1,27,False
2012-12-01,14,1,1,1,23,False
2013-01-01,8,1,2,1,24,False
2013-02-01,8,1,0,1,25,False
2013-03-01,4,1,1,1,23,False
2013-04-01,9,1,1,2,25,False
2013-05-01,5,1,1,2,21,False
2013-06-01,6,1,1,2,23,False
2013-07-01,6,2,1,1,23,False
2013-08-01,7,2,1,1,24,False
2013-09-01,6,2,1,1,30,False
2013-10-01,7,1,1,3,26,False
2013-11-01,9,2,1,1,24,False
2013-12-01,15,3,1,2,25,False
2014-01-01,8,2,1,1,22,False
2014-02-01,6,1,1,1,25,False
2014-03-01,9,1,1,1,28,False
2014-04-01,7,3,1,1,22,False
2014-05-01,5,3,1,1,25,False
2014-06-01,7,5,1,1,21,False
2014-07-01,6,1,1,1,26,False
2014-08-01,9,2,1,1,34,False
2014-09-01,7,2,1,1,35,False
2014-10-01,5,2,1,1,27,False
2014-11-01,10,2,2,1,26,False
2014-12-01,14,1,1,0,22,False
2015-01-01,7,1,1,1,21,False
2015-02-01,8,2,1,0,26,False
2015-03-01,7,2,0,0,37,False
2015-04-01,5,2,0,1,38,False
2015-05-01,7,1,0,1,100,False
2015-06-01,6,1,0,1,44,False
2015-07-01,6,1,1,0,50,False
2015-08-01,6,3,0,1,34,False
2015-09-01,5,1,1,0,30,False
2015-10-01,6,1,0,1,24,False
2015-11-01,8,4,0,1,23,False
2015-12-01,18,7,1,0,20,False
2016-01-01,5,31,0,1,24,False
2016-02-01,4,14,1,0,23,False
2016-03-01,5,8,0,0,26,False
