date,Giles Duley,Michael Anti,Stephen Ritz,Daphne Koller,Iraola,isPartial
2004-01-01,0,43,0,9,14,False
2004-02-01,0,37,0,14,37,False
2004-03-01,0,34,0,0,11,False
2004-04-01,0,9,9,18,12,False
2004-05-01,0,46,0,8,10,False
2004-06-01,0,71,0,15,11,False
2004-07-01,0,77,8,8,11,False
2004-08-01,0,74,0,7,12,False
2004-09-01,0,52,7,14,17,False
2004-10-01,0,70,0,26,16,False
2004-11-01,0,53,0,7,21,False
2004-12-01,0,26,7,6,13,False
2005-01-01,0,34,0,0,19,False
2005-02-01,0,20,0,9,15,False
2005-03-01,0,20,0,5,12,False
2005-04-01,0,17,6,6,15,False
2005-05-01,0,31,5,10,16,False
2005-06-01,0,21,0,0,18,False
2005-07-01,0,15,0,5,15,False
2005-08-01,0,21,0,5,13,False
2005-09-01,0,24,0,4,18,False
2005-10-01,0,17,4,4,17,False
2005-11-01,0,18,4,4,17,False
2005-12-01,4,15,8,12,14,False
2006-01-01,0,28,5,5,11,False
2006-02-01,0,25,4,0,13,False
2006-03-01,0,15,0,5,23,False
2006-04-01,0,18,3,3,15,False
2006-05-01,0,12,0,4,14,False
2006-06-01,0,11,0,8,16,False
2006-07-01,0,9,0,5,20,False
2006-08-01,0,15,3,9,12,False
2006-09-01,0,11,0,4,11,False
2006-10-01,0,10,4,3,17,False
2006-11-01,0,14,0,3,15,False
2006-12-01,0,14,0,8,13,False
2007-01-01,0,12,0,3,17,False
2007-02-01,0,10,2,4,15,False
2007-03-01,0,6,4,5,24,False
2007-04-01,0,14,0,7,15,False
2007-05-01,0,15,2,4,15,False
2007-06-01,0,49,3,3,16,False
2007-07-01,0,100,2,3,14,False
2007-08-01,0,34,3,4,10,False
2007-09-01,0,29,3,2,20,False
2007-10-01,0,33,2,4,14,False
2007-11-01,0,48,3,2,13,False
2007-12-01,0,40,3,5,17,False
2008-01-01,0,32,3,1,11,False
2008-02-01,0,19,2,2,18,False
2008-03-01,0,24,3,1,16,False
2008-04-01,0,20,3,2,16,False
2008-05-01,0,27,1,14,17,False
2008-06-01,0,15,1,4,15,False
2008-07-01,0,11,2,3,9,False
2008-08-01,0,14,1,2,20,False
2008-09-01,0,15,3,1,22,False
2008-10-01,0,19,1,3,19,False
2008-11-01,0,25,2,3,19,False
2008-12-01,1,16,0,2,15,False
2009-01-01,0,17,1,2,18,False
2009-02-01,0,20,1,3,21,False
2009-03-01,0,15,2,2,15,False
2009-04-01,1,15,2,2,19,False
2009-05-01,0,11,2,2,24,False
2009-06-01,1,59,1,3,16,False
2009-07-01,0,90,1,2,16,False
2009-08-01,0,36,1,2,20,False
2009-09-01,1,27,1,2,24,False
2009-10-01,0,21,1,3,17,False
2009-11-01,0,20,1,4,22,False
2009-12-01,1,20,1,2,16,False
2010-01-01,0,16,1,3,21,False
2010-02-01,0,17,1,1,11,False
2010-03-01,1,15,1,2,16,False
2010-04-01,0,18,1,2,17,False
2010-05-01,0,17,2,1,14,False
2010-06-01,1,14,1,2,18,False
2010-07-01,1,13,1,2,13,False
2010-08-01,0,11,1,1,17,False
2010-09-01,0,16,1,2,20,False
2010-10-01,0,12,1,2,21,False
2010-11-01,0,15,1,1,26,False
2010-12-01,0,16,1,2,21,False
2011-01-01,0,13,1,1,17,False
2011-02-01,8,10,1,1,23,False
2011-03-01,2,14,1,1,28,False
2011-04-01,1,9,1,2,21,False
2011-05-01,1,9,1,1,19,False
2011-06-01,2,12,1,2,20,False
2011-07-01,1,10,1,1,17,False
2011-08-01,1,9,1,1,26,False
2011-09-01,1,10,1,1,21,False
2011-10-01,2,10,1,1,19,False
2011-11-01,2,13,1,3,17,False
2011-12-01,1,9,1,2,17,False
2012-01-01,1,13,1,3,16,False
2012-02-01,0,11,2,2,18,False
2012-03-01,1,10,1,4,33,False
2012-04-01,0,10,1,4,21,False
2012-05-01,0,10,0,3,25,False
2012-06-01,1,12,1,2,20,False
2012-07-01,1,10,1,3,14,False
2012-08-01,1,18,2,20,15,False
2012-09-01,3,15,1,9,16,False
2012-10-01,1,13,1,6,15,False
