date,Margaret Heffernan,Max Little,Pam Warhurst,Kirby Ferguson,Iraola,isPartial
2004-01-01,0,60,0,0,22,False
2004-02-01,45,50,0,0,60,False
2004-03-01,0,18,0,0,18,False
2004-04-01,14,48,0,0,19,False
2004-05-01,21,70,0,0,17,False
2004-06-01,0,37,0,0,18,False
2004-07-01,0,32,0,13,17,False
2004-08-01,0,68,0,12,20,False
2004-09-01,16,33,0,0,27,False
2004-10-01,0,41,0,0,26,False
2004-11-01,11,49,0,0,34,False
2004-12-01,10,80,0,0,21,False
2005-01-01,0,88,0,0,30,False
2005-02-01,10,52,0,0,24,False
2005-03-01,8,35,0,0,19,False
2005-04-01,18,33,0,0,24,False
2005-05-01,8,71,0,0,26,False
2005-06-01,8,34,0,0,29,False
2005-07-01,8,53,0,0,24,False
2005-08-01,8,36,0,0,21,False
2005-09-01,0,40,0,0,29,False
2005-10-01,0,40,0,0,27,False
2005-11-01,13,69,0,0,27,False
2005-12-01,0,44,0,0,22,False
2006-01-01,0,44,0,0,17,False
2006-02-01,6,38,0,6,22,False
2006-03-01,0,51,0,0,37,False
2006-04-01,0,35,0,0,24,False
2006-05-01,0,47,0,0,23,False
2006-06-01,5,25,0,5,26,False
2006-07-01,0,37,0,0,32,False
2006-08-01,0,43,0,0,19,False
2006-09-01,0,43,0,0,17,False
2006-10-01,0,48,0,4,27,False
2006-11-01,0,62,0,0,25,False
2006-12-01,4,44,4,4,21,False
2007-01-01,7,42,0,4,27,False
2007-02-01,12,33,0,4,23,False
2007-03-01,5,29,0,3,39,False
2007-04-01,0,33,0,0,25,False
2007-05-01,6,46,0,0,25,False
2007-06-01,5,41,0,0,27,False
2007-07-01,8,47,0,0,22,False
2007-08-01,6,38,0,0,17,False
2007-09-01,4,40,3,0,32,False
2007-10-01,0,56,0,3,23,False
2007-11-01,9,32,0,0,20,False
2007-12-01,14,44,0,3,28,False
2008-01-01,6,37,2,2,18,False
2008-02-01,2,41,0,2,29,False
2008-03-01,0,51,0,2,25,False
2008-04-01,3,43,0,0,26,False
2008-05-01,4,52,0,2,27,False
2008-06-01,7,48,0,2,24,False
2008-07-01,3,55,0,2,15,False
2008-08-01,2,50,2,2,32,False
2008-09-01,0,40,0,2,35,False
2008-10-01,3,63,2,2,30,False
2008-11-01,2,61,0,0,31,False
2008-12-01,3,57,0,2,25,False
2009-01-01,3,56,0,2,30,False
2009-02-01,4,50,0,2,34,False
2009-03-01,2,41,0,0,24,False
2009-04-01,3,55,0,3,31,False
2009-05-01,2,35,0,3,39,False
2009-06-01,2,55,0,0,27,False
2009-07-01,2,59,0,0,26,False
2009-08-01,2,63,0,2,32,False
2009-09-01,2,52,0,0,38,False
2009-10-01,2,47,0,1,28,False
2009-11-01,1,58,0,1,36,False
2009-12-01,1,56,1,1,26,False
2010-01-01,4,50,0,0,34,False
2010-02-01,3,50,1,1,18,False
2010-03-01,2,52,0,0,26,False
2010-04-01,2,42,0,1,27,False
2010-05-01,6,51,1,1,23,False
2010-06-01,1,46,0,4,29,False
2010-07-01,2,47,0,0,20,False
2010-08-01,2,52,0,1,27,False
2010-09-01,0,50,0,2,32,False
2010-10-01,1,47,0,1,34,False
2010-11-01,2,52,1,0,42,False
2010-12-01,4,57,1,0,34,False
2011-01-01,2,52,0,1,28,False
2011-02-01,6,55,0,2,37,False
2011-03-01,2,55,0,1,45,False
2011-04-01,2,54,0,1,34,False
2011-05-01,2,47,1,1,31,False
2011-06-01,2,53,2,2,32,False
2011-07-01,3,51,0,3,27,False
2011-08-01,2,57,0,2,42,False
2011-09-01,2,50,0,2,34,False
2011-10-01,1,45,1,2,31,False
2011-11-01,2,50,0,1,28,False
2011-12-01,1,61,0,2,27,False
2012-01-01,3,59,1,1,25,False
2012-02-01,2,54,0,3,30,False
2012-03-01,1,49,0,1,54,False
2012-04-01,1,50,1,3,34,False
2012-05-01,2,62,1,1,40,False
2012-06-01,3,52,0,1,32,False
2012-07-01,1,66,1,2,23,False
2012-08-01,7,69,4,5,24,False
2012-09-01,5,50,2,3,26,False
2012-10-01,2,54,2,2,25,False
2012-11-01,2,52,1,3,26,False
2012-12-01,2,62,1,2,23,False
2013-01-01,1,55,1,3,23,False
2013-02-01,3,55,1,2,24,False
2013-03-01,2,56,1,1,23,False
2013-04-01,3,53,2,2,25,False
2013-05-01,3,52,1,1,21,False
2013-06-01,2,58,1,3,23,False
2013-07-01,2,58,1,2,23,False
2013-08-01,4,61,1,2,24,False
2013-09-01,4,47,0,2,30,False
2013-10-01,2,58,1,2,26,False
2013-11-01,3,50,1,2,24,False
2013-12-01,2,55,1,1,24,False
2014-01-01,3,56,1,3,22,False
2014-02-01,3,52,1,2,25,False
2014-03-01,6,57,1,2,28,False
2014-04-01,2,54,1,2,22,False
2014-05-01,5,59,1,1,25,False
2014-06-01,2,55,1,1,21,False
2014-07-01,2,60,1,1,25,False
2014-08-01,3,62,1,2,33,False
2014-09-01,3,49,1,2,35,False
2014-10-01,3,51,1,1,27,False
2014-11-01,3,49,1,2,26,False
2014-12-01,2,57,1,1,22,False
2015-01-01,3,52,1,1,21,False
2015-02-01,3,62,1,3,26,False
2015-03-01,3,58,0,2,36,False
2015-04-01,5,63,1,2,37,False
2015-05-01,7,97,1,2,99,False
2015-06-01,10,73,1,1,44,False
2015-07-01,8,74,1,1,50,False
2015-08-01,7,77,1,1,34,False
2015-09-01,5,72,0,1,30,False
2015-10-01,11,74,0,1,24,False
2015-11-01,5,61,1,1,23,False
2015-12-01,5,69,0,1,20,False
2016-01-01,5,70,1,0,24,False
2016-02-01,5,67,1,1,23,False
2016-03-01,4,62,1,1,25,False
2016-04-01,3,63,0,1,18,False
2016-05-01,5,60,0,1,32,False
2016-06-01,5,62,0,1,25,False
2016-07-01,4,62,0,2,27,False
2016-08-01,3,60,0,1,18,False
2016-09-01,4,60,0,1,25,False
2016-10-01,8,55,1,1,24,False
2016-11-01,4,56,0,1,33,False
2016-12-01,3,67,0,0,19,False
2017-01-01,4,52,0,1,18,False
2017-02-01,4,53,1,1,21,False
2017-03-01,5,70,0,3,18,False
2017-04-01,4,66,1,2,19,False
2017-05-01,3,56,1,1,24,False
2017-06-01,4,58,0,1,19,False
2017-07-01,4,62,0,1,20,False
2017-08-01,3,62,0,1,18,False
2017-09-01,5,62,0,2,17,False
2017-10-01,4,65,0,1,16,False
2017-11-01,5,63,0,2,14,False
2017-12-01,2,60,0,1,14,False
2018-01-01,4,55,0,3,19,False
2018-02-01,3,60,1,3,17,False
2018-03-01,4,63,0,2,13,False
2018-04-01,7,60,0,1,16,False
2018-05-01,3,65,0,3,17,False
2018-06-01,4,61,0,1,17,False
2018-07-01,3,67,1,26,15,False
2018-08-01,3,65,0,33,17,False
2018-09-01,4,64,0,16,18,False
2018-10-01,4,66,1,6,20,False
2018-11-01,4,76,1,13,17,False
2018-12-01,3,69,0,16,16,False
2019-01-01,3,70,0,5,16,False
2019-02-01,4,67,0,3,18,False
2019-03-01,4,78,0,5,15,False
2019-04-01,2,74,0,6,19,False
2019-05-01,3,71,0,4,16,False
2019-06-01,2,73,0,4,17,False
2019-07-01,2,78,0,5,24,False
2019-08-01,6,76,0,5,19,False
2019-09-01,5,67,0,4,17,False
2019-10-01,6,65,0,3,16,False
2019-11-01,3,76,0,3,16,False
2019-12-01,2,75,0,6,18,False
2020-01-01,2,71,0,4,28,False
2020-02-01,5,71,0,4,53,False
2020-03-01,12,68,0,5,21,False
2020-04-01,6,84,0,5,17,False
2020-05-01,5,94,0,6,14,False
2020-06-01,5,100,1,6,16,False
2020-07-01,4,96,0,5,33,False
2020-08-01,4,89,0,4,26,False
2020-09-01,5,83,0,3,19,False
2020-10-01,5,88,0,3,21,False
