date,Vikram Patel,Leslie T. Chang,Susan Solomon,Wayne McGregor,Iraola,isPartial
2004-01-01,0,0,15,0,23,False
2004-02-01,15,0,25,15,60,False
2004-03-01,0,0,18,19,18,False
2004-04-01,14,0,0,0,19,False
2004-05-01,12,0,25,12,17,False
2004-06-01,0,0,12,0,19,False
2004-07-01,0,0,13,13,17,False
2004-08-01,0,0,24,12,20,False
2004-09-01,11,0,18,0,28,False
2004-10-01,0,0,23,23,26,False
2004-11-01,11,0,11,0,34,False
2004-12-01,21,0,21,32,21,False
2005-01-01,9,0,9,14,31,False
2005-02-01,0,0,0,0,24,False
2005-03-01,12,0,14,0,19,False
2005-04-01,9,0,0,18,24,False
2005-05-01,16,0,16,0,27,False
2005-06-01,8,8,13,8,29,False
2005-07-01,16,0,8,0,25,False
2005-08-01,8,0,0,8,21,False
2005-09-01,0,0,14,14,29,False
2005-10-01,17,0,7,9,27,False
2005-11-01,7,7,7,7,27,False
2005-12-01,10,0,13,7,22,False
2006-01-01,11,0,6,6,17,False
2006-02-01,9,0,0,6,22,False
2006-03-01,5,0,10,8,38,False
2006-04-01,8,0,9,0,24,False
2006-05-01,10,0,8,13,24,False
2006-06-01,14,0,5,5,27,False
2006-07-01,8,0,11,8,32,False
2006-08-01,5,0,12,7,20,False
2006-09-01,5,0,9,5,17,False
2006-10-01,4,0,6,4,27,False
2006-11-01,4,0,4,4,25,False
2006-12-01,7,0,9,7,22,False
2007-01-01,4,0,10,4,27,False
2007-02-01,12,0,26,5,24,False
2007-03-01,6,0,9,5,39,False
2007-04-01,5,0,8,0,25,False
2007-05-01,6,0,8,6,25,False
2007-06-01,8,0,6,6,27,False
2007-07-01,6,0,6,0,22,False
2007-08-01,3,0,6,4,17,False
2007-09-01,4,0,9,8,32,False
2007-10-01,4,0,12,8,24,False
2007-11-01,4,0,9,8,21,False
2007-12-01,0,0,7,3,28,False
2008-01-01,6,0,4,6,18,False
2008-02-01,6,0,5,5,29,False
2008-03-01,5,0,7,2,25,False
2008-04-01,5,2,5,11,27,False
2008-05-01,4,0,7,4,27,False
2008-06-01,3,0,8,5,24,False
2008-07-01,6,0,7,3,15,False
2008-08-01,2,0,4,6,32,False
2008-09-01,4,0,6,10,35,False
2008-10-01,5,4,6,5,30,False
2008-11-01,3,3,7,16,31,False
2008-12-01,5,2,4,10,25,False
2009-01-01,6,2,26,6,30,False
2009-02-01,6,2,13,3,35,False
2009-03-01,4,0,8,8,24,False
2009-04-01,3,2,4,6,32,False
2009-05-01,2,2,10,9,39,False
2009-06-01,4,2,5,7,27,False
2009-07-01,4,0,4,4,26,False
2009-08-01,4,0,3,3,32,False
2009-09-01,3,2,7,7,38,False
2009-10-01,4,0,5,8,28,False
2009-11-01,3,3,9,10,36,False
2009-12-01,3,0,9,9,27,False
2010-01-01,7,3,8,7,35,False
2010-02-01,3,1,10,10,18,False
2010-03-01,5,1,5,10,26,False
2010-04-01,2,1,5,6,27,False
2010-05-01,5,2,6,7,24,False
2010-06-01,6,1,6,5,29,False
2010-07-01,2,0,5,5,20,False
2010-08-01,4,0,3,4,27,False
2010-09-01,3,0,3,6,32,False
2010-10-01,5,1,6,6,34,False
2010-11-01,5,0,3,15,42,False
2010-12-01,5,0,5,5,34,False
2011-01-01,5,0,5,8,28,False
2011-02-01,3,0,4,22,38,False
2011-03-01,3,0,4,13,46,False
2011-04-01,5,2,3,13,34,False
2011-05-01,3,1,8,14,31,False
2011-06-01,4,0,2,15,33,False
2011-07-01,4,1,5,11,28,False
2011-08-01,2,1,4,6,42,False
2011-09-01,4,1,4,8,34,False
2011-10-01,3,1,6,8,32,False
2011-11-01,4,2,4,8,28,False
2011-12-01,2,1,4,6,27,False
2012-01-01,4,1,5,8,25,False
2012-02-01,4,1,6,12,30,False
2012-03-01,3,1,4,10,54,False
2012-04-01,4,1,3,10,34,False
2012-05-01,2,0,4,8,41,False
2012-06-01,2,2,1,9,32,False
2012-07-01,4,1,3,6,23,False
2012-08-01,6,1,2,5,24,False
2012-09-01,7,4,7,10,26,False
2012-10-01,4,1,3,6,25,False
2012-11-01,7,0,3,9,27,False
2012-12-01,4,1,3,5,23,False
2013-01-01,4,1,4,6,24,False
2013-02-01,4,1,5,5,25,False
2013-03-01,3,1,5,6,23,False
2013-04-01,7,1,4,6,25,False
2013-05-01,4,1,5,8,21,False
2013-06-01,4,1,5,7,23,False
2013-07-01,5,1,2,4,23,False
2013-08-01,5,0,3,6,24,False
2013-09-01,4,0,4,9,30,False
2013-10-01,4,1,3,13,26,False
2013-11-01,3,1,2,9,24,False
2013-12-01,3,1,4,5,25,False
2014-01-01,3,1,2,8,22,False
2014-02-01,4,1,4,10,25,False
2014-03-01,6,1,4,9,28,False
2014-04-01,5,0,2,6,22,False
2014-05-01,4,0,4,7,25,False
2014-06-01,5,1,3,5,21,False
2014-07-01,3,1,2,3,26,False
2014-08-01,4,0,3,5,34,False
2014-09-01,7,1,3,7,35,False
2014-10-01,4,1,3,7,27,False
2014-11-01,5,0,3,6,26,False
2014-12-01,6,0,3,5,22,False
2015-01-01,9,0,3,8,21,False
2015-02-01,5,0,2,5,26,False
2015-03-01,5,1,2,6,37,False
2015-04-01,12,1,3,7,38,False
2015-05-01,5,0,3,7,100,False
2015-06-01,5,1,2,6,44,False
2015-07-01,6,0,2,7,50,False
2015-08-01,5,0,2,5,34,False
2015-09-01,7,0,4,4,30,False
2015-10-01,6,0,2,8,24,False
2015-11-01,5,0,3,7,23,False
2015-12-01,6,0,3,9,20,False
2016-01-01,5,0,2,11,24,False
2016-02-01,6,1,3,9,23,False
2016-03-01,5,0,3,9,26,False
2016-04-01,5,0,2,11,18,False
2016-05-01,5,0,3,9,32,False
2016-06-01,6,0,2,7,26,False
2016-07-01,4,1,3,6,28,False
2016-08-01,8,1,3,9,18,False
2016-09-01,8,0,2,8,25,False
2016-10-01,9,0,2,6,24,False
2016-11-01,11,0,3,16,33,False
2016-12-01,9,0,2,9,19,False
2017-01-01,7,0,2,26,18,False
2017-02-01,7,0,3,18,21,False
2017-03-01,8,0,2,16,18,False
2017-04-01,6,1,3,11,19,False
2017-05-01,11,0,2,12,24,False
2017-06-01,7,0,2,9,19,False
2017-07-01,10,0,1,20,20,False
2017-08-01,8,0,3,33,18,False
2017-09-01,4,0,3,14,18,False
2017-10-01,6,0,2,11,16,False
2017-11-01,5,0,3,11,14,False
2017-12-01,7,0,2,9,14,False
2018-01-01,6,0,2,7,19,False
2018-02-01,8,1,4,11,17,False
2018-03-01,7,0,2,12,14,False
2018-04-01,8,0,3,16,16,False
2018-05-01,8,0,3,8,17,False
2018-06-01,8,0,2,9,17,False
2018-07-01,9,0,2,9,16,False
2018-08-01,13,0,3,9,17,False
2018-09-01,12,1,2,9,18,False
2018-10-01,13,0,3,17,20,False
2018-11-01,15,0,1,8,17,False
2018-12-01,10,0,1,6,16,False
2019-01-01,10,0,3,8,16,False
2019-02-01,9,0,3,10,19,False
2019-03-01,10,0,3,7,15,False
2019-04-01,10,0,3,10,19,False
2019-05-01,8,0,2,6,16,False
2019-06-01,7,0,3,7,17,False
2019-07-01,8,0,2,8,24,False
2019-08-01,12,0,1,7,20,False
2019-09-01,10,0,1,6,17,False
2019-10-01,10,0,2,7,16,False
2019-11-01,9,0,3,8,16,False
2019-12-01,11,0,3,9,19,False
2020-01-01,8,0,3,12,28,False
2020-02-01,5,0,4,7,54,False
2020-03-01,8,0,4,6,21,False
2020-04-01,6,0,2,6,17,False
2020-05-01,5,0,2,5,14,False
2020-06-01,7,0,2,7,16,False
2020-07-01,7,0,2,3,34,False
2020-08-01,6,1,2,4,27,False
2020-09-01,7,0,2,5,19,False
2020-10-01,4,0,2,4,21,False
