date,Bandi Mbubi,Ed Gavagan,Andrew McAfee,Read Montague,Iraola,isPartial
2004-01-01,0,0,0,0,23,False
2004-02-01,0,0,15,0,60,False
2004-03-01,0,0,0,0,18,False
2004-04-01,0,0,14,14,19,False
2004-05-01,0,0,0,25,17,False
2004-06-01,0,0,25,0,19,False
2004-07-01,0,0,0,13,17,False
2004-08-01,0,0,0,12,20,False
2004-09-01,0,0,0,11,28,False
2004-10-01,0,0,11,0,26,False
2004-11-01,0,0,0,0,34,False
2004-12-01,0,0,11,0,21,False
2005-01-01,0,0,9,0,31,False
2005-02-01,0,10,0,10,24,False
2005-03-01,0,0,8,0,19,False
2005-04-01,0,0,0,9,24,False
2005-05-01,0,0,0,8,27,False
2005-06-01,0,0,8,0,29,False
2005-07-01,0,0,8,8,25,False
2005-08-01,0,0,0,8,21,False
2005-09-01,0,0,7,0,29,False
2005-10-01,0,0,0,7,27,False
2005-11-01,0,0,0,10,27,False
2005-12-01,0,0,7,7,22,False
2006-01-01,0,0,0,0,17,False
2006-02-01,0,0,6,6,22,False
2006-03-01,0,0,0,5,38,False
2006-04-01,0,0,6,6,24,False
2006-05-01,0,0,5,0,24,False
2006-06-01,0,0,5,5,27,False
2006-07-01,0,0,0,0,32,False
2006-08-01,0,0,5,0,20,False
2006-09-01,0,0,5,0,17,False
2006-10-01,0,0,9,4,27,False
2006-11-01,0,0,4,4,25,False
2006-12-01,0,0,4,4,22,False
2007-01-01,0,0,4,4,27,False
2007-02-01,0,0,4,6,24,False
2007-03-01,0,0,5,7,39,False
2007-04-01,0,0,10,4,25,False
2007-05-01,0,0,3,6,25,False
2007-06-01,0,0,3,6,27,False
2007-07-01,0,0,4,3,22,False
2007-08-01,0,0,5,3,17,False
2007-09-01,0,0,3,3,32,False
2007-10-01,0,3,5,4,24,False
2007-11-01,0,0,5,3,21,False
2007-12-01,0,0,4,6,28,False
2008-01-01,0,2,3,5,18,False
2008-02-01,0,3,2,2,29,False
2008-03-01,0,0,5,5,25,False
2008-04-01,0,0,6,5,27,False
2008-05-01,0,0,5,3,27,False
2008-06-01,0,0,6,5,24,False
2008-07-01,0,2,3,2,15,False
2008-08-01,0,4,4,4,32,False
2008-09-01,0,3,4,0,35,False
