date,Bahia Shehab,Aris Venetikidis,Vicki Arroyo,Amy Cuddy,Iraola,isPartial
2004-01-01,0,0,0,0,22,False
2004-02-01,0,0,0,0,59,False
2004-03-01,0,0,0,18,18,False
2004-04-01,0,0,14,0,19,False
2004-05-01,0,0,0,0,16,False
2004-06-01,0,0,0,0,18,False
2004-07-01,0,0,0,0,17,False
2004-08-01,0,0,0,0,20,False
2004-09-01,0,0,0,0,27,False
2004-10-01,0,0,0,0,26,False
2004-11-01,0,0,0,0,34,False
2004-12-01,0,0,0,0,21,False
2005-01-01,0,0,0,0,30,False
2005-02-01,0,0,0,0,24,False
2005-03-01,0,0,0,0,19,False
2005-04-01,0,0,0,0,24,False
2005-05-01,0,0,0,0,26,False
2005-06-01,0,0,0,0,29,False
2005-07-01,0,0,0,0,24,False
2005-08-01,0,0,0,0,21,False
2005-09-01,0,0,0,0,28,False
2005-10-01,0,0,0,0,27,False
2005-11-01,0,0,0,0,27,False
2005-12-01,0,0,0,0,22,False
2006-01-01,0,0,0,0,17,False
2006-02-01,0,0,0,0,22,False
2006-03-01,0,0,0,0,37,False
2006-04-01,0,0,0,0,24,False
2006-05-01,0,0,0,0,23,False
2006-06-01,0,0,0,0,26,False
2006-07-01,0,0,0,0,31,False
2006-08-01,0,0,0,0,19,False
2006-09-01,0,0,0,5,17,False
2006-10-01,0,0,0,4,27,False
2006-11-01,0,0,0,4,25,False
2006-12-01,0,0,4,0,21,False
2007-01-01,0,0,0,4,27,False
2007-02-01,0,0,0,0,23,False
2007-03-01,0,0,0,0,38,False
2007-04-01,0,0,0,4,25,False
2007-05-01,0,3,0,0,24,False
2007-06-01,0,0,0,0,26,False
2007-07-01,0,0,0,3,22,False
2007-08-01,0,0,0,0,17,False
2007-09-01,3,0,3,3,32,False
2007-10-01,0,0,0,3,23,False
2007-11-01,0,0,0,0,20,False
2007-12-01,0,0,0,0,28,False
2008-01-01,0,2,2,0,18,False
2008-02-01,0,0,0,5,29,False
2008-03-01,0,0,2,3,25,False
2008-04-01,0,0,2,2,26,False
2008-05-01,0,0,2,0,27,False
2008-06-01,0,0,0,2,23,False
2008-07-01,0,0,0,0,15,False
2008-08-01,0,0,0,2,32,False
2008-09-01,0,0,0,2,35,False
2008-10-01,0,0,2,3,30,False
2008-11-01,0,0,0,2,30,False
2008-12-01,0,0,2,2,25,False
2009-01-01,0,0,4,0,30,False
2009-02-01,0,0,4,2,34,False
2009-03-01,0,0,2,2,24,False
2009-04-01,0,0,2,2,31,False
2009-05-01,0,0,0,3,39,False
2009-06-01,0,0,0,2,26,False
2009-07-01,0,2,0,2,26,False
2009-08-01,2,0,2,0,32,False
2009-09-01,0,0,0,2,38,False
2009-10-01,0,0,1,0,28,False
2009-11-01,0,0,1,0,36,False
2009-12-01,0,0,0,3,26,False
2010-01-01,0,0,0,1,34,False
2010-02-01,0,0,0,1,18,False
2010-03-01,0,0,0,1,26,False
2010-04-01,0,0,0,1,27,False
2010-05-01,0,0,1,0,23,False
