date,Jason McCue,Thomas P. Campbell,Tim Leberecht,Ruby Wax,Iraola,isPartial
2004-01-01,0,0,0,30,14,False
2004-02-01,0,0,0,45,36,False
2004-03-01,0,0,0,22,11,False
2004-04-01,0,0,0,17,12,False
2004-05-01,0,0,0,23,10,False
2004-06-01,0,0,7,37,11,False
2004-07-01,8,0,0,16,10,False
2004-08-01,7,7,0,15,12,False
2004-09-01,7,0,0,20,17,False
2004-10-01,0,0,0,14,16,False
2004-11-01,0,0,0,14,20,False
2004-12-01,6,0,0,17,13,False
2005-01-01,0,6,0,17,18,False
2005-02-01,0,0,0,27,15,False
2005-03-01,0,0,0,36,11,False
2005-04-01,0,0,5,26,15,False
2005-05-01,5,0,0,8,16,False
2005-06-01,5,0,0,10,18,False
2005-07-01,5,0,0,12,15,False
2005-08-01,5,0,0,14,13,False
2005-09-01,0,0,0,19,17,False
2005-10-01,4,4,4,23,16,False
2005-11-01,0,0,0,8,16,False
2005-12-01,0,0,0,16,13,False
2006-01-01,0,0,3,8,10,False
2006-02-01,0,0,0,20,13,False
2006-03-01,3,3,0,8,23,False
2006-04-01,0,0,0,9,14,False
2006-05-01,3,0,0,13,14,False
2006-06-01,3,0,3,15,16,False
2006-07-01,0,0,3,12,19,False
2006-08-01,0,0,0,10,12,False
2006-09-01,0,0,0,20,10,False
2006-10-01,0,0,0,19,16,False
2006-11-01,2,0,0,17,15,False
2006-12-01,0,3,0,10,13,False
2007-01-01,0,0,0,7,16,False
2007-02-01,2,0,0,11,14,False
2007-03-01,2,0,0,8,23,False
2007-04-01,0,0,0,10,15,False
2007-05-01,2,0,0,11,15,False
2007-06-01,0,0,0,10,16,False
2007-07-01,2,0,2,10,13,False
2007-08-01,2,0,0,8,10,False
2007-09-01,2,0,0,11,19,False
2007-10-01,0,0,0,11,14,False
2007-11-01,2,0,0,10,12,False
2007-12-01,0,0,0,11,17,False
2008-01-01,1,0,0,5,11,False
2008-02-01,0,1,0,9,17,False
2008-03-01,2,0,1,9,15,False
2008-04-01,3,0,0,8,16,False
2008-05-01,0,0,1,9,16,False
2008-06-01,1,1,0,3,14,False
2008-07-01,0,0,0,17,9,False
2008-08-01,1,1,0,9,19,False
2008-09-01,1,1,1,9,21,False
2008-10-01,2,1,0,9,18,False
2008-11-01,1,2,0,10,19,False
2008-12-01,0,0,1,14,15,False
2009-01-01,1,2,0,9,18,False
2009-02-01,0,2,0,7,21,False
2009-03-01,1,1,0,30,14,False
2009-04-01,1,0,0,48,19,False
2009-05-01,0,1,0,33,24,False
2009-06-01,1,0,0,17,16,False
2009-07-01,1,0,0,13,16,False
