date,Stephen Lawler,Bill Stone,Alan Russell,Jonathan Harris,Iraola,isPartial
2004-01-01,0,100,40,66,13,False
2004-02-01,0,93,27,27,40,False
2004-03-01,17,57,41,25,16,False
2004-04-01,13,51,13,32,19,False
2004-05-01,0,50,33,17,11,False
2004-06-01,0,27,33,22,16,False
2004-07-01,0,34,29,23,11,False
2004-08-01,0,70,27,27,16,False
2004-09-01,0,20,29,29,24,False
2004-10-01,10,70,35,40,15,False
2004-11-01,0,20,20,40,25,False
2004-12-01,0,51,28,37,19,False
2005-01-01,0,45,12,41,24,False
2005-02-01,0,56,13,34,22,False
2005-03-01,7,47,22,32,14,False
2005-04-01,0,53,20,40,24,False
2005-05-01,0,71,21,50,28,False
2005-06-01,7,71,32,25,28,False
2005-07-01,0,58,25,25,18,False
2005-08-01,0,81,24,21,14,False
2005-09-01,6,86,22,16,22,False
2005-10-01,0,30,15,27,30,False
2005-11-01,0,39,27,39,30,False
2005-12-01,0,44,26,32,23,False
2006-01-01,0,41,36,20,15,False
2006-02-01,5,50,24,29,19,False
2006-03-01,4,54,29,29,32,False
2006-04-01,5,56,17,27,20,False
2006-05-01,4,58,18,16,29,False
2006-06-01,5,35,19,24,26,False
2006-07-01,5,44,16,26,26,False
2006-08-01,4,32,19,37,17,False
2006-09-01,4,31,29,31,10,False
2006-10-01,0,32,27,23,17,False
2006-11-01,0,38,26,18,27,False
2006-12-01,4,40,19,17,21,False
2007-01-01,3,38,17,18,20,False
2007-02-01,0,30,19,19,19,False
2007-03-01,0,38,14,21,32,False
2007-04-01,0,38,19,14,24,False
2007-05-01,3,36,10,22,19,False
2007-06-01,3,30,25,18,20,False
2007-07-01,0,39,14,31,24,False
2007-08-01,0,53,16,30,16,False
2007-09-01,5,32,15,44,26,False
2007-10-01,0,43,20,35,19,False
2007-11-01,0,54,23,27,18,False
2007-12-01,2,25,25,33,24,False
2008-01-01,0,31,17,29,19,False
2008-02-01,4,48,16,30,30,False
2008-03-01,0,37,18,26,16,False
2008-04-01,0,36,16,27,25,False
2008-05-01,0,45,17,29,27,False
2008-06-01,4,30,11,26,19,False
2008-07-01,2,29,21,30,13,False
2008-08-01,0,44,20,28,29,False
2008-09-01,2,36,22,27,31,False
2008-10-01,3,55,19,34,28,False
2008-11-01,0,35,14,24,30,False
2008-12-01,0,24,6,29,23,False
2009-01-01,0,52,16,41,22,False
2009-02-01,0,36,12,33,35,False
2009-03-01,1,36,22,38,26,False
2009-04-01,0,29,19,30,32,False
2009-05-01,0,42,13,27,37,False
2009-06-01,0,37,9,23,22,False
2009-07-01,3,54,18,33,22,False
2009-08-01,1,48,16,27,29,False
2009-09-01,1,34,15,29,39,False
2009-10-01,3,38,15,25,22,False
2009-11-01,1,33,11,27,32,False
2009-12-01,3,35,16,27,22,False
2010-01-01,0,40,18,33,31,False
2010-02-01,2,35,18,32,16,False
2010-03-01,3,49,14,31,22,False
2010-04-01,0,38,15,34,27,False
2010-05-01,2,42,20,34,19,False
2010-06-01,4,34,16,30,25,False
2010-07-01,0,35,19,29,19,False
2010-08-01,1,38,17,25,23,False
2010-09-01,2,40,12,26,26,False
2010-10-01,2,39,18,21,27,False
2010-11-01,1,42,18,26,33,False
2010-12-01,0,37,18,18,34,False
2011-01-01,0,42,17,29,21,False
2011-02-01,1,34,11,29,35,False
2011-03-01,1,40,12,24,40,False
2011-04-01,1,43,11,24,27,False
2011-05-01,1,33,15,26,28,False
2011-06-01,1,39,14,17,31,False
2011-07-01,0,39,18,21,23,False
2011-08-01,0,39,19,19,32,False
2011-09-01,0,37,12,28,33,False
2011-10-01,1,33,16,28,29,False
2011-11-01,0,33,12,22,24,False
2011-12-01,1,31,10,24,23,False
2012-01-01,1,34,19,33,23,False
2012-02-01,1,36,17,18,26,False
2012-03-01,1,34,13,31,45,False
2012-04-01,1,36,13,33,31,False
2012-05-01,0,35,14,24,34,False
2012-06-01,1,36,14,23,27,False
2012-07-01,1,43,12,21,20,False
2012-08-01,1,47,16,29,19,False
2012-09-01,2,43,13,26,21,False
2012-10-01,2,38,11,27,23,False
2012-11-01,1,34,9,21,21,False
2012-12-01,0,31,11,21,21,False
2013-01-01,2,41,15,26,21,False
2013-02-01,1,31,12,22,23,False
2013-03-01,1,41,14,17,20,False
2013-04-01,1,30,14,24,20,False
2013-05-01,1,30,15,22,16,False
2013-06-01,1,31,12,22,21,False
2013-07-01,1,37,14,30,18,False
2013-08-01,1,36,12,27,20,False
2013-09-01,1,29,15,24,25,False
2013-10-01,0,32,13,21,21,False
2013-11-01,1,36,13,24,20,False
2013-12-01,1,33,18,23,22,False
2014-01-01,0,31,23,26,19,False
2014-02-01,1,35,16,30,22,False
2014-03-01,2,33,17,24,26,False
2014-04-01,1,39,10,26,18,False
2014-05-01,1,39,11,20,23,False
2014-06-01,2,31,8,21,18,False
2014-07-01,1,29,9,22,24,False
2014-08-01,2,39,12,25,29,False
2014-09-01,0,34,13,22,31,False
2014-10-01,1,31,18,20,24,False
2014-11-01,1,36,13,19,27,False
2014-12-01,1,34,14,25,20,False
2015-01-01,0,35,9,24,20,False
2015-02-01,1,38,10,23,23,False
2015-03-01,0,34,12,22,33,False
2015-04-01,1,36,12,21,35,False
2015-05-01,0,29,11,24,89,False
2015-06-01,1,30,13,29,36,False
2015-07-01,2,36,12,22,43,False
2015-08-01,1,33,10,20,33,False
2015-09-01,1,33,12,26,25,False
2015-10-01,1,38,10,24,21,False
2015-11-01,1,39,9,20,21,False
2015-12-01,0,44,10,20,17,False
2016-01-01,2,48,14,19,19,False
2016-02-01,4,47,10,25,22,False
2016-03-01,4,45,10,18,22,False
2016-04-01,2,41,11,19,17,False
2016-05-01,1,40,15,20,28,False
2016-06-01,4,58,9,19,24,False
2016-07-01,3,68,10,31,26,False
2016-08-01,2,66,10,22,16,False
2016-09-01,1,76,7,17,21,False
2016-10-01,2,87,8,16,23,False
2016-11-01,4,84,43,21,30,False
2016-12-01,2,73,29,19,15,False
2017-01-01,2,60,12,20,17,False
2017-02-01,1,96,11,17,20,False
2017-03-01,2,51,9,19,16,False
2017-04-01,1,60,10,17,16,False
2017-05-01,1,43,9,13,21,False
2017-06-01,0,57,8,14,16,False
2017-07-01,1,42,7,15,17,False
2017-08-01,1,39,11,16,17,False
2017-09-01,1,38,10,18,16,False
2017-10-01,1,44,9,22,14,False
2017-11-01,1,41,9,19,13,False
2017-12-01,1,35,8,18,12,False
2018-01-01,1,36,7,20,16,False
2018-02-01,1,36,6,24,14,False
2018-03-01,1,38,8,22,11,False
2018-04-01,0,32,9,31,14,False
2018-05-01,1,33,7,20,17,False
2018-06-01,1,33,11,21,17,False
2018-07-01,1,31,11,13,14,False
2018-08-01,2,28,9,21,15,False
2018-09-01,0,30,8,19,17,False
2018-10-01,1,27,7,21,19,False
2018-11-01,1,30,10,20,15,False
2018-12-01,1,31,8,19,13,False
2019-01-01,1,42,6,19,12,False
2019-02-01,1,33,9,17,16,False
2019-03-01,1,31,11,19,14,False
2019-04-01,0,33,8,18,18,False
2019-05-01,0,35,8,19,13,False
2019-06-01,0,34,8,16,16,False
2019-07-01,1,34,7,22,21,False
2019-08-01,1,31,7,17,17,False
2019-09-01,1,31,8,19,15,False
2019-10-01,1,36,6,16,15,False
2019-11-01,1,32,6,15,16,False
