date,Ronny Edry,Karen Thompson Walker,Hadyn Parry,Don Levy,Iraola,isPartial
2004-01-01,0,0,0,15,23,False
2004-02-01,0,0,0,15,60,False
2004-03-01,0,0,0,19,18,False
2004-04-01,0,0,0,15,19,False
2004-05-01,0,0,0,0,17,False
2004-06-01,0,0,0,12,19,False
2004-07-01,0,13,0,26,17,False
2004-08-01,0,0,0,12,20,False
2004-09-01,0,0,0,11,28,False
2004-10-01,0,0,11,23,26,False
2004-11-01,0,0,0,23,34,False
2004-12-01,0,0,0,21,21,False
2005-01-01,0,0,0,0,31,False
2005-02-01,0,0,0,0,24,False
2005-03-01,0,0,0,8,19,False
2005-04-01,0,0,0,9,24,False
2005-05-01,0,0,0,12,27,False
2005-06-01,0,0,0,16,29,False
2005-07-01,0,0,0,8,25,False
2005-08-01,0,0,0,8,21,False
2005-09-01,0,0,0,7,29,False
2005-10-01,0,0,0,10,27,False
2005-11-01,0,0,0,14,27,False
2005-12-01,0,0,0,7,22,False
2006-01-01,0,0,0,6,17,False
2006-02-01,0,0,0,14,22,False
2006-03-01,0,0,0,5,38,False
2006-04-01,0,0,0,7,24,False
2006-05-01,0,0,0,5,24,False
2006-06-01,0,5,0,5,27,False
2006-07-01,0,0,0,11,32,False
2006-08-01,0,5,0,7,20,False
2006-09-01,0,5,0,5,17,False
2006-10-01,0,0,0,9,27,False
2006-11-01,0,0,0,8,25,False
2006-12-01,0,0,0,4,22,False
2007-01-01,0,0,0,6,27,False
2007-02-01,0,0,0,4,24,False
2007-03-01,0,0,0,7,39,False
2007-04-01,0,0,0,5,25,False
2007-05-01,3,0,0,7,25,False
2007-06-01,0,0,0,8,27,False
2007-07-01,0,0,0,9,22,False
2007-08-01,0,0,0,7,17,False
2007-09-01,0,0,0,6,32,False
2007-10-01,0,0,0,6,24,False
2007-11-01,0,0,0,7,21,False
2007-12-01,0,0,0,5,28,False
2008-01-01,0,0,0,5,18,False
2008-02-01,0,0,0,6,29,False
2008-03-01,0,0,0,5,25,False
2008-04-01,0,0,0,5,27,False
2008-05-01,0,2,0,5,27,False
2008-06-01,0,0,0,5,24,False
2008-07-01,0,0,0,3,15,False
2008-08-01,0,2,0,6,32,False
2008-09-01,0,0,0,6,35,False
2008-10-01,0,0,0,6,30,False
2008-11-01,0,0,0,5,31,False
2008-12-01,0,0,0,6,25,False
2009-01-01,0,0,0,5,30,False
2009-02-01,2,0,0,5,35,False
2009-03-01,0,0,0,4,24,False
2009-04-01,0,0,0,4,32,False
2009-05-01,0,2,0,9,39,False
2009-06-01,0,0,0,8,27,False
2009-07-01,0,0,0,4,26,False
2009-08-01,0,0,0,4,32,False
2009-09-01,0,0,0,8,38,False
2009-10-01,0,0,0,7,28,False
2009-11-01,0,0,0,6,36,False
2009-12-01,0,1,0,4,27,False
2010-01-01,0,0,0,4,35,False
2010-02-01,0,1,0,8,18,False
2010-03-01,0,0,0,6,26,False
2010-04-01,0,0,0,4,27,False
2010-05-01,0,1,0,3,24,False
2010-06-01,0,0,1,10,29,False
2010-07-01,0,1,0,8,20,False
2010-08-01,0,1,0,8,27,False
2010-09-01,0,1,0,4,32,False
2010-10-01,0,1,0,4,34,False
2010-11-01,0,0,1,7,42,False
2010-12-01,0,0,0,3,34,False
