date,Sue Austin,Jarrett J. Krosoczka,Boghuma Kabisen Titanji,Andy Puddicombe,Iraola,isPartial
2004-01-01,15,0,0,0,23,False
2004-02-01,15,0,0,0,60,False
2004-03-01,19,0,0,0,18,False
2004-04-01,19,0,0,0,19,False
2004-05-01,13,0,0,0,17,False
2004-06-01,25,0,0,0,19,False
2004-07-01,13,0,0,0,17,False
2004-08-01,18,0,0,0,20,False
2004-09-01,17,0,0,0,28,False
2004-10-01,19,0,0,0,26,False
2004-11-01,23,0,0,0,34,False
2004-12-01,26,0,0,0,21,False
2005-01-01,9,0,0,0,31,False
2005-02-01,20,0,0,0,24,False
2005-03-01,29,0,0,0,19,False
2005-04-01,0,0,0,0,24,False
2005-05-01,20,8,0,0,27,False
2005-06-01,21,0,0,0,29,False
2005-07-01,16,0,0,0,25,False
2005-08-01,12,0,0,0,21,False
2005-09-01,17,0,0,0,29,False
2005-10-01,23,0,0,0,27,False
2005-11-01,10,0,0,0,27,False
2005-12-01,15,0,0,0,22,False
2006-01-01,6,0,0,0,17,False
2006-02-01,6,0,0,0,22,False
2006-03-01,10,0,0,0,38,False
2006-04-01,11,6,0,0,24,False
2006-05-01,10,5,0,0,24,False
2006-06-01,18,0,0,0,27,False
2006-07-01,18,0,0,5,32,False
2006-08-01,10,0,0,0,20,False
2006-09-01,13,0,0,0,17,False
2006-10-01,34,4,0,0,27,False
2006-11-01,18,0,0,0,25,False
2006-12-01,13,4,0,0,22,False
2007-01-01,19,4,0,0,27,False
2007-02-01,13,0,0,0,24,False
2007-03-01,9,0,0,0,39,False
2007-04-01,11,0,0,0,25,False
2007-05-01,12,0,0,0,25,False
2007-06-01,19,0,0,0,27,False
2007-07-01,14,0,0,0,22,False
2007-08-01,6,0,0,0,17,False
2007-09-01,9,0,0,0,32,False
2007-10-01,8,0,0,0,24,False
2007-11-01,12,0,0,0,21,False
2007-12-01,7,0,0,0,28,False
2008-01-01,9,0,0,0,18,False
2008-02-01,6,0,0,0,29,False
2008-03-01,10,2,0,0,25,False
2008-04-01,8,2,0,0,27,False
2008-05-01,6,0,0,0,27,False
2008-06-01,8,0,0,0,24,False
2008-07-01,9,2,0,0,15,False
2008-08-01,13,0,0,0,32,False
2008-09-01,7,0,0,0,35,False
2008-10-01,11,0,0,0,30,False
2008-11-01,13,2,0,0,31,False
2008-12-01,7,0,0,0,25,False
2009-01-01,4,0,0,0,30,False
2009-02-01,7,2,0,0,35,False
2009-03-01,8,2,0,0,24,False
2009-04-01,7,0,0,0,32,False
2009-05-01,11,2,0,0,39,False
2009-06-01,13,0,0,0,27,False
2009-07-01,14,2,0,0,26,False
2009-08-01,10,0,0,0,32,False
2009-09-01,8,2,0,0,38,False
2009-10-01,14,0,0,0,28,False
2009-11-01,27,1,0,0,36,False
2009-12-01,7,0,0,0,27,False
2010-01-01,11,1,0,0,35,False
2010-02-01,9,1,0,0,18,False
2010-03-01,8,0,0,4,26,False
2010-04-01,6,1,0,1,27,False
2010-05-01,8,1,0,3,24,False
2010-06-01,9,0,0,4,29,False
2010-07-01,5,1,0,1,20,False
2010-08-01,8,0,0,1,27,False
2010-09-01,11,0,0,0,32,False
2010-10-01,7,0,0,1,34,False
2010-11-01,7,0,0,1,42,False
2010-12-01,11,0,0,0,34,False
2011-01-01,6,1,0,3,28,False
2011-02-01,10,1,0,1,38,False
2011-03-01,5,0,0,2,46,False
2011-04-01,5,1,0,3,34,False
2011-05-01,9,1,0,0,31,False
2011-06-01,11,0,0,3,33,False
2011-07-01,10,0,0,2,28,False
2011-08-01,10,0,0,1,42,False
2011-09-01,7,0,0,1,34,False
2011-10-01,7,1,0,0,32,False
2011-11-01,7,1,0,1,28,False
2011-12-01,9,0,0,1,27,False
2012-01-01,5,2,0,2,25,False
2012-02-01,7,0,0,1,30,False
2012-03-01,7,1,0,1,54,False
2012-04-01,7,0,0,1,34,False
2012-05-01,5,0,0,1,41,False
2012-06-01,8,1,0,2,32,False
2012-07-01,11,0,0,1,23,False
2012-08-01,13,0,0,3,24,False
2012-09-01,17,1,0,2,26,False
2012-10-01,8,1,0,3,25,False
2012-11-01,6,1,0,2,27,False
2012-12-01,8,0,0,2,23,False
2013-01-01,13,5,1,17,24,False
2013-02-01,10,2,0,13,25,False
2013-03-01,7,1,0,5,23,False
2013-04-01,8,1,1,4,25,False
2013-05-01,7,1,1,3,21,False
2013-06-01,14,1,0,9,23,False
2013-07-01,10,1,0,15,23,False
2013-08-01,8,1,0,7,24,False
2013-09-01,7,1,0,10,30,False
2013-10-01,9,1,1,11,26,False
2013-11-01,5,1,0,8,24,False
2013-12-01,8,1,0,8,25,False
2014-01-01,7,1,1,12,22,False
2014-02-01,11,1,0,10,25,False
2014-03-01,16,1,1,10,28,False
2014-04-01,9,0,0,12,22,False
2014-05-01,8,2,0,9,25,False
2014-06-01,11,0,0,7,21,False
2014-07-01,12,0,0,9,26,False
2014-08-01,5,1,0,9,34,False
2014-09-01,7,1,0,10,35,False
2014-10-01,7,1,1,9,27,False
2014-11-01,6,1,0,9,26,False
2014-12-01,7,0,1,10,22,False
2015-01-01,8,1,0,14,21,False
2015-02-01,6,0,0,11,26,False
2015-03-01,7,1,0,9,37,False
2015-04-01,5,1,1,12,38,False
2015-05-01,5,0,0,13,100,False
2015-06-01,6,1,0,10,44,False
2015-07-01,9,0,0,10,50,False
2015-08-01,7,0,0,10,34,False
2015-09-01,7,0,0,11,30,False
2015-10-01,7,0,0,9,24,False
2015-11-01,5,0,0,9,23,False
2015-12-01,6,2,0,9,20,False
2016-01-01,6,0,0,12,24,False
2016-02-01,6,1,0,10,23,False
2016-03-01,6,1,0,11,26,False
2016-04-01,5,0,0,11,18,False
2016-05-01,7,0,0,7,32,False
2016-06-01,6,0,0,11,26,False
2016-07-01,12,0,1,8,28,False
2016-08-01,5,1,0,10,18,False
2016-09-01,5,0,0,11,25,False
2016-10-01,5,1,0,10,24,False
2016-11-01,5,1,0,9,33,False
2016-12-01,5,0,0,8,19,False
2017-01-01,5,1,0,12,18,False
2017-02-01,6,0,0,10,21,False
2017-03-01,6,0,0,12,18,False
2017-04-01,5,0,0,9,19,False
