date,Fahad Al-Attiya,Kid President,Zahra' Langhi,Tyler DeWitt,Iraola,isPartial
2004-01-01,0,7,0,3,5,False
2004-02-01,0,5,0,0,14,False
2004-03-01,0,12,0,4,4,False
2004-04-01,0,9,0,0,4,False
2004-05-01,0,3,0,0,4,False
2004-06-01,0,3,0,0,4,False
2004-07-01,0,7,0,0,4,False
2004-08-01,0,3,0,0,5,False
2004-09-01,0,6,0,0,6,False
2004-10-01,0,8,0,0,6,False
2004-11-01,0,6,0,0,8,False
2004-12-01,0,5,0,0,5,False
2005-01-01,0,4,0,0,7,False
2005-02-01,0,3,0,0,5,False
2005-03-01,0,2,0,0,4,False
2005-04-01,0,4,0,0,5,False
2005-05-01,0,2,0,0,6,False
2005-06-01,0,2,0,0,7,False
2005-07-01,0,3,0,0,6,False
2005-08-01,0,4,0,0,5,False
2005-09-01,0,3,0,0,6,False
2005-10-01,0,2,0,2,6,False
2005-11-01,0,5,0,0,6,False
2005-12-01,0,3,0,0,5,False
2006-01-01,0,2,0,0,4,False
2006-02-01,0,5,0,0,5,False
2006-03-01,0,3,0,1,8,False
2006-04-01,0,4,0,1,5,False
2006-05-01,0,0,0,1,5,False
2006-06-01,0,4,0,2,6,False
2006-07-01,0,1,0,0,7,False
2006-08-01,0,2,0,0,4,False
2006-09-01,0,1,0,0,4,False
2006-10-01,0,5,0,1,6,False
2006-11-01,0,3,0,1,6,False
2006-12-01,0,2,0,0,5,False
2007-01-01,0,3,0,0,6,False
2007-02-01,0,3,0,0,5,False
2007-03-01,0,3,0,1,9,False
2007-04-01,0,2,0,1,6,False
2007-05-01,0,2,0,0,6,False
2007-06-01,0,1,0,1,6,False
2007-07-01,0,3,0,1,5,False
2007-08-01,0,2,0,0,4,False
2007-09-01,0,3,0,0,7,False
2007-10-01,0,2,0,0,5,False
2007-11-01,0,2,0,1,5,False
2007-12-01,0,1,0,1,6,False
2008-01-01,0,2,0,1,4,False
2008-02-01,0,3,0,0,7,False
2008-03-01,0,2,0,1,6,False
2008-04-01,0,6,0,1,6,False
2008-05-01,0,4,0,1,6,False
2008-06-01,0,2,0,1,5,False
2008-07-01,0,2,0,2,3,False
2008-08-01,0,4,0,1,7,False
2008-09-01,0,5,0,0,8,False
2008-10-01,0,7,0,1,7,False
2008-11-01,0,6,0,1,7,False
2008-12-01,0,3,0,0,6,False
2009-01-01,0,4,0,0,7,False
2009-02-01,0,3,0,1,8,False
2009-03-01,0,5,0,0,5,False
2009-04-01,0,4,0,0,7,False
2009-05-01,0,3,0,0,9,False
2009-06-01,0,2,0,0,6,False
2009-07-01,0,2,0,1,6,False
2009-08-01,0,2,0,0,7,False
2009-09-01,0,4,0,0,9,False
2009-10-01,0,3,0,0,6,False
2009-11-01,0,3,0,0,8,False
