date,Freeman Hrabowski,Keller Rinaudo,Laura Snyder,Rose George,Iraola,isPartial
2004-01-01,0,0,12,91,19,False
2004-02-01,0,0,12,83,50,False
2004-03-01,0,0,0,76,15,False
2004-04-01,0,0,0,59,16,False
2004-05-01,0,0,16,41,14,False
2004-06-01,10,0,17,44,15,False
2004-07-01,0,0,11,39,14,False
2004-08-01,0,0,15,80,17,False
2004-09-01,0,0,0,100,23,False
2004-10-01,9,0,0,72,22,False
2004-11-01,0,0,9,56,28,False
2004-12-01,0,0,13,41,17,False
2005-01-01,8,0,0,71,25,False
2005-02-01,8,0,13,75,20,False
2005-03-01,0,0,0,67,16,False
2005-04-01,15,0,0,60,20,False
2005-05-01,7,0,7,55,22,False
2005-06-01,0,0,0,46,24,False
2005-07-01,7,0,7,79,20,False
2005-08-01,7,0,7,72,17,False
2005-09-01,6,0,12,73,24,False
2005-10-01,11,0,0,76,22,False
2005-11-01,6,0,6,57,22,False
2005-12-01,5,0,9,34,18,False
2006-01-01,7,0,13,55,14,False
2006-02-01,10,0,7,62,18,False
2006-03-01,4,0,4,65,31,False
2006-04-01,7,0,8,61,20,False
2006-05-01,7,0,8,51,19,False
2006-06-01,0,0,7,57,22,False
2006-07-01,0,0,7,51,26,False
2006-08-01,8,0,4,59,16,False
2006-09-01,4,0,12,37,14,False
2006-10-01,4,0,6,56,22,False
2006-11-01,3,0,3,48,21,False
2006-12-01,0,0,7,59,18,False
2007-01-01,3,0,3,77,23,False
2007-02-01,6,0,3,39,20,False
2007-03-01,7,0,4,40,32,False
2007-04-01,0,0,4,52,21,False
2007-05-01,3,0,6,59,20,False
2007-06-01,3,0,4,66,22,False
2007-07-01,3,0,6,48,18,False
2007-08-01,5,0,4,53,14,False
2007-09-01,2,0,5,37,26,False
2007-10-01,2,0,4,45,19,False
2007-11-01,2,0,2,48,17,False
2007-12-01,2,0,2,62,23,False
2008-01-01,5,0,6,50,15,False
2008-02-01,2,0,3,56,24,False
2008-03-01,0,0,4,53,21,False
2008-04-01,3,0,4,55,22,False
2008-05-01,3,0,0,49,22,False
2008-06-01,0,2,3,55,20,False
2008-07-01,2,0,0,49,12,False
2008-08-01,4,0,2,38,27,False
2008-09-01,3,0,4,48,29,False
2008-10-01,2,0,3,54,25,False
2008-11-01,3,0,2,57,25,False
2008-12-01,2,0,5,47,21,False
2009-01-01,1,0,2,49,25,False
2009-02-01,2,0,2,54,28,False
2009-03-01,4,0,4,55,20,False
2009-04-01,0,0,6,49,26,False
2009-05-01,1,0,2,46,32,False
2009-06-01,1,0,4,61,22,False
2009-07-01,3,0,2,43,22,False
2009-08-01,0,0,3,56,27,False
2009-09-01,1,0,3,48,32,False
2009-10-01,2,0,3,46,23,False
2009-11-01,3,0,3,49,30,False
2009-12-01,1,0,4,46,22,False
2010-01-01,2,0,2,46,29,False
2010-02-01,2,0,1,56,15,False
2010-03-01,2,0,2,47,21,False
2010-04-01,2,0,3,51,23,False
2010-05-01,3,0,2,48,19,False
2010-06-01,1,0,2,46,24,False
2010-07-01,2,0,2,45,17,False
2010-08-01,2,0,2,47,22,False
2010-09-01,1,0,1,44,26,False
2010-10-01,3,0,5,42,28,False
2010-11-01,3,0,2,49,35,False
2010-12-01,1,0,4,40,28,False
2011-01-01,2,0,2,46,23,False
2011-02-01,3,0,4,43,31,False
2011-03-01,3,0,2,40,38,False
2011-04-01,2,0,2,53,28,False
2011-05-01,2,0,4,48,26,False
2011-06-01,3,1,4,47,27,False
2011-07-01,2,0,2,48,23,False
2011-08-01,2,1,2,47,35,False
2011-09-01,1,0,2,47,28,False
2011-10-01,2,0,2,46,26,False
2011-11-01,17,0,2,51,23,False
2011-12-01,4,0,2,42,22,False
2012-01-01,3,0,1,53,21,False
2012-02-01,3,1,2,49,25,False
2012-03-01,2,0,1,49,45,False
2012-04-01,6,0,3,54,28,False
2012-05-01,3,0,2,47,33,False
2012-06-01,11,0,2,46,26,False
2012-07-01,2,0,2,45,19,False
2012-08-01,3,1,2,43,20,False
2012-09-01,4,0,2,50,21,False
2012-10-01,2,0,1,41,21,False
2012-11-01,3,0,3,39,22,False
2012-12-01,3,1,1,41,19,False
2013-01-01,2,0,3,51,19,False
2013-02-01,3,1,1,53,20,False
2013-03-01,2,0,1,43,19,False
2013-04-01,4,1,5,54,21,False
2013-05-01,5,0,1,60,17,False
2013-06-01,3,1,3,51,19,False
2013-07-01,1,0,2,56,19,False
2013-08-01,2,0,2,54,20,False
2013-09-01,3,0,2,76,25,False
2013-10-01,3,0,2,66,21,False
2013-11-01,2,0,3,58,20,False
2013-12-01,1,1,3,58,20,False
2014-01-01,3,1,2,53,18,False
2014-02-01,3,0,3,53,21,False
2014-03-01,2,0,2,56,23,False
2014-04-01,1,0,2,61,18,False
2014-05-01,2,0,2,59,20,False
2014-06-01,2,0,2,51,17,False
2014-07-01,1,0,2,59,21,False
2014-08-01,1,0,2,95,28,False
2014-09-01,3,0,2,55,29,False
2014-10-01,2,0,2,53,23,False
2014-11-01,2,1,3,50,21,False
2014-12-01,2,0,2,51,18,False
2015-01-01,2,0,2,55,18,False
2015-02-01,2,0,2,62,22,False
2015-03-01,1,0,2,58,30,False
2015-04-01,1,0,3,62,31,False
2015-05-01,1,0,3,55,82,False
2015-06-01,1,0,2,56,36,False
2015-07-01,1,0,2,53,41,False
2015-08-01,1,0,2,47,28,False
2015-09-01,1,0,3,51,25,False
2015-10-01,2,0,2,48,20,False
2015-11-01,2,0,1,50,19,False
2015-12-01,1,0,2,63,17,False
2016-01-01,2,0,2,61,20,False
2016-02-01,2,0,2,53,19,False
2016-03-01,2,0,2,53,21,False
2016-04-01,1,1,2,56,15,False
2016-05-01,1,1,2,55,26,False
2016-06-01,1,0,2,61,21,False
2016-07-01,0,1,3,48,23,False
2016-08-01,1,0,4,42,15,False
2016-09-01,1,1,2,40,21,False
2016-10-01,1,1,2,42,20,False
2016-11-01,1,0,3,42,27,False
2016-12-01,1,0,2,65,16,False
2017-01-01,1,1,3,54,15,False
2017-02-01,1,0,2,55,17,False
2017-03-01,1,0,3,44,15,False
2017-04-01,1,0,4,45,15,False
2017-05-01,1,1,4,45,20,False
2017-06-01,1,1,3,56,15,False
2017-07-01,1,0,3,64,16,False
2017-08-01,1,0,1,49,15,False
2017-09-01,2,1,1,42,15,False
2017-10-01,2,1,1,52,13,False
2017-11-01,0,1,2,55,12,False
2017-12-01,1,2,2,47,11,False
2018-01-01,1,1,2,46,16,False
2018-02-01,1,1,2,69,14,False
2018-03-01,7,0,2,41,11,False
2018-04-01,2,0,2,49,13,False
2018-05-01,1,1,1,46,14,False
2018-06-01,1,0,2,42,14,False
2018-07-01,1,1,2,42,13,False
2018-08-01,1,1,2,42,14,False
2018-09-01,1,0,1,38,15,False
2018-10-01,1,1,2,39,16,False
2018-11-01,1,0,2,45,14,False
2018-12-01,1,1,1,57,13,False
2019-01-01,1,1,1,48,13,False
2019-02-01,2,0,1,47,15,False
2019-03-01,2,1,2,41,13,False
2019-04-01,1,1,1,44,16,False
2019-05-01,1,1,2,43,13,False
2019-06-01,1,0,2,41,14,False
2019-07-01,1,1,1,46,20,False
2019-08-01,1,0,2,35,16,False
2019-09-01,1,1,4,39,14,False
2019-10-01,1,0,3,39,14,False
2019-11-01,1,1,2,40,13,False
2019-12-01,1,0,1,43,15,False
2020-01-01,1,1,1,45,23,False
2020-02-01,1,0,2,38,44,False
2020-03-01,1,0,1,36,18,False
2020-04-01,1,0,1,43,14,False
2020-05-01,1,1,2,51,11,False
2020-06-01,1,0,2,66,13,False
2020-07-01,1,0,2,45,28,False
2020-08-01,0,0,2,60,22,False
2020-09-01,1,0,1,43,16,False
2020-10-01,1,0,1,39,17,False
