date,Maria Bezaitis,Liu Bolin,Jay Silver,Sergey Brin,Iraola,isPartial
2004-01-01,0,0,6,15,9,False
2004-02-01,0,0,10,50,25,False
2004-03-01,0,0,8,38,8,False
2004-04-01,0,0,6,86,8,False
2004-05-01,0,0,5,38,7,False
2004-06-01,0,0,15,17,8,False
2004-07-01,0,0,11,25,7,False
2004-08-01,0,0,5,75,8,False
2004-09-01,0,0,9,26,11,False
2004-10-01,0,0,5,31,11,False
2004-11-01,0,0,9,20,14,False
2004-12-01,0,0,7,35,9,False
2005-01-01,0,0,6,37,13,False
2005-02-01,0,0,8,47,10,False
2005-03-01,0,3,10,36,8,False
2005-04-01,0,0,9,23,10,False
2005-05-01,0,0,8,26,11,False
2005-06-01,0,0,4,22,12,False
2005-07-01,0,0,7,26,10,False
2005-08-01,0,0,3,32,9,False
2005-09-01,0,0,7,55,12,False
2005-10-01,0,0,6,50,11,False
2005-11-01,0,0,5,53,11,False
2005-12-01,0,0,11,37,9,False
2006-01-01,0,0,6,61,7,False
2006-02-01,0,0,7,44,9,False
2006-03-01,0,0,4,47,15,False
2006-04-01,0,0,10,30,10,False
2006-05-01,0,0,8,36,10,False
2006-06-01,0,0,3,35,11,False
2006-07-01,0,0,3,31,13,False
2006-08-01,0,0,5,34,8,False
2006-09-01,0,0,5,40,7,False
2006-10-01,0,0,4,43,11,False
2006-11-01,0,0,5,31,10,False
2006-12-01,0,0,4,24,9,False
2007-01-01,0,0,5,30,11,False
2007-02-01,0,2,4,31,10,False
2007-03-01,0,1,4,27,16,False
2007-04-01,0,0,5,33,10,False
2007-05-01,1,1,4,63,10,False
2007-06-01,0,1,5,28,11,False
2007-07-01,0,0,5,30,9,False
2007-08-01,0,1,5,22,7,False
2007-09-01,0,0,6,45,13,False
2007-10-01,0,0,7,39,10,False
2007-11-01,0,1,6,54,8,False
2007-12-01,0,0,6,45,12,False
2008-01-01,0,1,7,29,8,False
2008-02-01,0,0,5,31,12,False
2008-03-01,0,1,7,24,10,False
2008-04-01,0,2,6,28,11,False
2008-05-01,0,1,4,44,11,False
2008-06-01,1,1,4,48,10,False
2008-07-01,0,1,6,25,6,False
2008-08-01,1,1,6,25,13,False
2008-09-01,0,1,6,68,15,False
2008-10-01,0,0,5,31,12,False
2008-11-01,0,1,5,31,13,False
2008-12-01,1,1,2,25,10,False
2009-01-01,0,1,7,26,12,False
2009-02-01,0,1,6,26,14,False
2009-03-01,0,1,7,39,10,False
2009-04-01,0,1,7,25,13,False
2009-05-01,1,1,7,26,16,False
2009-06-01,0,1,6,33,11,False
2009-07-01,0,11,5,23,11,False
2009-08-01,0,7,5,23,13,False
2009-09-01,0,20,3,31,16,False
2009-10-01,0,35,5,42,12,False
2009-11-01,0,29,7,48,15,False
2009-12-01,0,57,9,34,11,False
