date,Ji-Hae Park,Jackson Katz,Hendrik Poinar,Lisa Bu,Iraola,isPartial
2004-01-01,0,0,0,0,23,False
2004-02-01,0,22,0,0,60,False
2004-03-01,0,28,18,18,18,False
2004-04-01,0,29,0,0,19,False
2004-05-01,13,13,0,0,17,False
2004-06-01,0,12,0,12,19,False
2004-07-01,0,26,0,0,17,False
2004-08-01,0,12,12,0,20,False
2004-09-01,0,11,0,0,28,False
2004-10-01,0,11,0,0,26,False
2004-11-01,0,23,0,23,34,False
2004-12-01,0,11,0,0,21,False
2005-01-01,0,14,0,0,31,False
2005-02-01,0,10,10,0,24,False
2005-03-01,0,35,0,8,19,False
2005-04-01,0,32,0,9,24,False
2005-05-01,0,13,0,0,27,False
2005-06-01,0,16,0,0,29,False
2005-07-01,0,12,8,0,25,False
2005-08-01,0,16,0,0,21,False
2005-09-01,0,7,0,7,29,False
2005-10-01,0,14,0,7,27,False
2005-11-01,7,9,0,0,27,False
2005-12-01,0,17,7,7,22,False
2006-01-01,0,10,6,0,17,False
2006-02-01,0,10,0,9,22,False
2006-03-01,0,10,0,0,38,False
2006-04-01,0,22,0,5,24,False
2006-05-01,0,5,0,5,24,False
2006-06-01,0,7,5,11,27,False
2006-07-01,0,5,0,0,32,False
2006-08-01,0,7,0,5,20,False
2006-09-01,0,9,0,5,17,False
2006-10-01,0,14,0,4,27,False
2006-11-01,0,11,0,4,25,False
2006-12-01,4,13,0,4,22,False
2007-01-01,0,7,4,4,27,False
2007-02-01,0,13,0,4,24,False
2007-03-01,0,9,0,7,39,False
2007-04-01,0,7,0,4,25,False
2007-05-01,0,12,6,0,25,False
2007-06-01,0,6,0,3,27,False
2007-07-01,0,7,0,0,22,False
2007-08-01,0,6,0,9,17,False
2007-09-01,0,6,0,3,32,False
2007-10-01,3,14,0,3,24,False
2007-11-01,0,10,0,3,21,False
2007-12-01,0,5,3,3,28,False
2008-01-01,0,9,0,2,18,False
2008-02-01,0,9,0,2,29,False
2008-03-01,0,11,2,2,25,False
2008-04-01,0,8,0,4,27,False
2008-05-01,0,7,0,2,27,False
2008-06-01,0,6,0,2,24,False
2008-07-01,0,6,4,2,15,False
2008-08-01,0,5,0,2,32,False
2008-09-01,0,3,0,6,35,False
2008-10-01,0,5,0,2,30,False
2008-11-01,0,7,2,3,31,False
2008-12-01,0,5,0,3,25,False
2009-01-01,0,5,2,2,30,False
2009-02-01,0,8,0,0,35,False
2009-03-01,0,10,0,3,24,False
2009-04-01,0,8,2,2,32,False
2009-05-01,0,9,0,2,39,False
2009-06-01,0,10,0,2,27,False
2009-07-01,0,15,0,2,26,False
2009-08-01,0,5,0,2,32,False
2009-09-01,0,10,2,2,38,False
2009-10-01,0,8,1,4,28,False
2009-11-01,0,10,1,1,36,False
2009-12-01,0,10,1,3,27,False
2010-01-01,0,8,0,2,35,False
2010-02-01,0,10,0,1,18,False
2010-03-01,1,8,0,1,26,False
2010-04-01,0,12,0,1,27,False
2010-05-01,0,5,0,4,24,False
2010-06-01,0,8,0,3,29,False
2010-07-01,0,4,0,3,20,False
2010-08-01,0,6,1,1,27,False
2010-09-01,0,8,0,2,32,False
2010-10-01,0,8,1,3,34,False
2010-11-01,0,7,0,3,42,False
2010-12-01,0,6,0,2,34,False
2011-01-01,0,3,0,3,28,False
2011-02-01,1,8,0,3,38,False
2011-03-01,0,7,0,3,46,False
2011-04-01,0,7,0,4,34,False
2011-05-01,0,5,0,3,31,False
2011-06-01,0,6,0,3,33,False
2011-07-01,0,7,0,3,28,False
2011-08-01,0,5,1,2,42,False
2011-09-01,2,6,1,3,34,False
2011-10-01,0,7,2,2,32,False
2011-11-01,1,5,1,2,28,False
2011-12-01,1,7,0,2,27,False
2012-01-01,1,6,1,2,25,False
2012-02-01,0,7,1,2,30,False
2012-03-01,0,6,0,2,54,False
2012-04-01,1,3,0,3,34,False
2012-05-01,1,5,1,2,41,False
2012-06-01,1,3,0,4,32,False
2012-07-01,0,3,1,2,23,False
2012-08-01,1,5,0,2,24,False
2012-09-01,1,5,0,2,26,False
2012-10-01,0,8,1,2,25,False
2012-11-01,0,4,1,2,27,False
2012-12-01,1,6,0,2,23,False
2013-01-01,0,3,0,2,24,False
2013-02-01,1,6,0,4,25,False
2013-03-01,1,9,1,2,23,False
2013-04-01,0,7,0,2,25,False
2013-05-01,6,31,1,4,21,False
2013-06-01,4,14,1,13,23,False
2013-07-01,2,5,0,3,23,False
2013-08-01,2,8,0,4,24,False
2013-09-01,1,11,1,4,30,False
2013-10-01,1,15,1,3,26,False
2013-11-01,1,11,1,2,24,False
2013-12-01,1,10,0,2,25,False
2014-01-01,1,9,1,4,22,False
2014-02-01,1,10,1,2,25,False
2014-03-01,1,11,1,4,28,False
2014-04-01,1,9,0,4,22,False
2014-05-01,1,11,1,2,25,False
2014-06-01,2,7,1,2,21,False
2014-07-01,1,7,0,3,26,False
2014-08-01,1,8,0,2,34,False
2014-09-01,0,9,0,2,35,False
2014-10-01,0,10,1,3,27,False
2014-11-01,1,8,0,3,26,False
2014-12-01,1,7,0,4,22,False
2015-01-01,0,4,1,4,21,False
2015-02-01,0,5,1,3,26,False
2015-03-01,1,9,1,4,37,False
2015-04-01,1,11,1,3,38,False
2015-05-01,0,5,1,4,100,False
2015-06-01,1,5,0,3,44,False
2015-07-01,0,4,0,3,50,False
2015-08-01,0,4,0,2,34,False
2015-09-01,0,6,0,2,30,False
2015-10-01,0,11,0,3,24,False
2015-11-01,1,9,0,3,23,False
2015-12-01,1,5,1,3,20,False
2016-01-01,0,5,0,2,24,False
2016-02-01,1,5,1,3,23,False
2016-03-01,1,7,0,3,26,False
2016-04-01,0,8,0,2,18,False
2016-05-01,0,6,0,3,32,False
2016-06-01,1,5,0,1,26,False
2016-07-01,0,2,0,3,28,False
2016-08-01,1,4,1,1,18,False
2016-09-01,0,4,1,3,25,False
2016-10-01,0,7,0,3,24,False
2016-11-01,1,5,0,2,33,False
2016-12-01,0,5,0,2,19,False
2017-01-01,0,4,0,2,18,False
