date,Manal al-Sharif,Didier Sornette,Juliana Rotich,Joseph Kim,Iraola,isPartial
2004-01-01,0,15,0,45,23,False
2004-02-01,0,38,0,30,60,False
2004-03-01,0,0,0,62,18,False
2004-04-01,0,29,0,72,19,False
2004-05-01,0,37,0,29,17,False
2004-06-01,0,25,0,25,19,False
2004-07-01,0,13,0,26,17,False
2004-08-01,0,24,0,36,20,False
2004-09-01,0,28,0,26,28,False
2004-10-01,0,11,0,53,26,False
2004-11-01,0,23,0,34,34,False
2004-12-01,0,32,0,35,21,False
2005-01-01,0,9,9,28,31,False
2005-02-01,0,29,0,33,24,False
2005-03-01,0,8,0,44,19,False
2005-04-01,0,9,0,39,24,False
2005-05-01,0,0,0,35,27,False
2005-06-01,0,12,0,46,29,False
2005-07-01,0,8,0,30,25,False
2005-08-01,0,0,0,40,21,False
2005-09-01,0,11,0,31,29,False
2005-10-01,0,0,0,36,27,False
2005-11-01,0,7,0,43,27,False
2005-12-01,0,7,0,29,22,False
2006-01-01,0,8,0,27,17,False
2006-02-01,0,12,0,20,22,False
2006-03-01,0,0,0,26,38,False
2006-04-01,0,0,0,35,24,False
2006-05-01,0,0,0,29,24,False
2006-06-01,0,5,0,53,27,False
2006-07-01,0,5,0,23,32,False
2006-08-01,0,0,0,18,20,False
2006-09-01,0,7,0,27,17,False
2006-10-01,0,4,0,26,27,False
2006-11-01,0,0,0,19,25,False
2006-12-01,0,4,0,30,22,False
2007-01-01,0,4,0,24,27,False
2007-02-01,0,0,0,20,24,False
2007-03-01,0,3,0,33,39,False
2007-04-01,0,5,0,34,25,False
2007-05-01,0,3,0,38,25,False
2007-06-01,0,0,3,26,27,False
2007-07-01,0,3,3,25,22,False
2007-08-01,0,9,0,22,17,False
2007-09-01,0,3,0,18,32,False
2007-10-01,0,3,0,15,24,False
2007-11-01,0,0,0,16,21,False
2007-12-01,0,3,0,17,28,False
2008-01-01,0,5,0,20,18,False
2008-02-01,0,0,0,22,29,False
2008-03-01,0,2,0,24,25,False
2008-04-01,0,2,2,28,27,False
2008-05-01,0,3,0,30,27,False
2008-06-01,0,5,0,29,24,False
2008-07-01,0,3,0,16,15,False
2008-08-01,0,2,0,24,32,False
2008-09-01,0,3,0,26,35,False
2008-10-01,0,2,0,20,30,False
2008-11-01,0,4,2,18,31,False
2008-12-01,0,4,2,28,25,False
2009-01-01,0,4,0,20,30,False
2009-02-01,0,3,0,20,35,False
2009-03-01,2,3,2,25,24,False
2009-04-01,0,2,2,34,32,False
2009-05-01,0,2,0,28,39,False
2009-06-01,0,2,0,21,27,False
2009-07-01,0,3,0,24,26,False
2009-08-01,0,3,2,29,32,False
2009-09-01,0,4,0,26,38,False
2009-10-01,0,2,1,20,28,False
2009-11-01,0,6,0,26,36,False
2009-12-01,0,4,1,25,27,False
2010-01-01,0,5,1,29,35,False
2010-02-01,0,4,0,22,18,False
2010-03-01,0,6,0,17,26,False
2010-04-01,0,1,0,30,27,False
2010-05-01,0,8,0,23,24,False
2010-06-01,0,4,0,28,29,False
2010-07-01,0,3,1,24,20,False
2010-08-01,0,2,1,27,27,False
2010-09-01,0,2,0,23,32,False
2010-10-01,0,2,0,20,34,False
2010-11-01,0,3,1,26,42,False
2010-12-01,0,3,0,24,34,False
2011-01-01,0,1,1,22,28,False
2011-02-01,1,2,0,22,38,False
2011-03-01,0,2,1,17,46,False
2011-04-01,0,3,2,24,34,False
2011-05-01,8,3,1,24,31,False
2011-06-01,6,1,0,23,33,False
2011-07-01,2,2,1,21,28,False
2011-08-01,2,2,1,24,42,False
2011-09-01,3,1,1,22,34,False
2011-10-01,1,1,1,22,32,False
2011-11-01,3,1,1,27,28,False
2011-12-01,1,3,1,26,27,False
2012-01-01,1,1,1,24,25,False
2012-02-01,1,2,1,26,30,False
2012-03-01,3,1,1,28,54,False
2012-04-01,3,2,2,22,34,False
2012-05-01,2,1,1,24,41,False
2012-06-01,4,1,1,23,32,False
2012-07-01,1,1,1,24,23,False
2012-08-01,1,1,0,24,24,False
2012-09-01,2,1,1,26,26,False
2012-10-01,1,1,1,25,25,False
2012-11-01,2,2,1,20,27,False
2012-12-01,1,1,1,22,23,False
2013-01-01,2,1,1,25,24,False
2013-02-01,2,2,1,26,25,False
2013-03-01,3,2,2,29,23,False
2013-04-01,1,1,1,27,25,False
2013-05-01,1,1,1,25,21,False
2013-06-01,4,17,2,29,23,False
2013-07-01,2,13,1,26,23,False
2013-08-01,1,6,2,28,24,False
2013-09-01,1,3,1,23,30,False
2013-10-01,2,5,1,31,26,False
2013-11-01,1,7,1,26,24,False
2013-12-01,1,2,1,23,25,False
2014-01-01,1,4,1,27,22,False
2014-02-01,1,2,2,23,25,False
2014-03-01,2,2,2,33,28,False
2014-04-01,2,2,1,28,22,False
2014-05-01,1,2,1,27,25,False
2014-06-01,1,1,1,22,21,False
2014-07-01,1,2,1,22,26,False
2014-08-01,0,2,2,25,34,False
2014-09-01,1,2,1,26,35,False
2014-10-01,1,2,1,25,27,False
2014-11-01,1,3,1,26,26,False
2014-12-01,1,3,0,25,22,False
2015-01-01,1,2,1,20,21,False
2015-02-01,1,1,2,23,26,False
2015-03-01,0,2,1,23,37,False
2015-04-01,2,1,1,24,38,False
2015-05-01,1,2,0,26,100,False
2015-06-01,1,1,1,29,44,False
2015-07-01,1,2,3,25,50,False
2015-08-01,0,1,1,22,34,False
2015-09-01,0,2,1,22,30,False
2015-10-01,0,2,1,24,24,False
2015-11-01,0,3,2,22,23,False
2015-12-01,1,1,1,22,20,False
2016-01-01,0,2,1,22,24,False
2016-02-01,0,1,1,22,23,False
2016-03-01,0,2,0,25,26,False
2016-04-01,1,1,1,24,18,False
2016-05-01,1,1,1,24,32,False
2016-06-01,1,1,1,22,26,False
2016-07-01,1,1,1,24,28,False
2016-08-01,1,1,1,22,18,False
2016-09-01,1,1,1,21,25,False
2016-10-01,0,1,0,22,24,False
2016-11-01,0,1,1,18,33,False
2016-12-01,0,1,0,20,19,False
2017-01-01,0,1,0,24,18,False
2017-02-01,0,1,0,26,21,False
2017-03-01,1,1,1,23,18,False
2017-04-01,1,0,3,24,19,False
2017-05-01,1,1,1,27,24,False
2017-06-01,3,1,0,19,19,False
2017-07-01,2,2,2,22,20,False
2017-08-01,3,1,0,19,18,False
2017-09-01,4,0,0,19,18,False
2017-10-01,1,0,0,20,16,False
2017-11-01,1,1,1,22,14,False
2017-12-01,1,3,0,19,14,False
2018-01-01,1,1,0,24,19,False
2018-02-01,1,2,1,25,17,False
2018-03-01,2,1,1,22,14,False
2018-04-01,1,1,0,24,16,False
2018-05-01,1,1,1,20,17,False
2018-06-01,1,1,0,21,17,False
2018-07-01,0,1,1,19,16,False
2018-08-01,1,0,0,18,17,False
2018-09-01,1,1,0,18,18,False
2018-10-01,4,1,1,20,20,False
2018-11-01,1,2,0,21,17,False
2018-12-01,0,0,1,13,16,False
2019-01-01,1,1,0,16,16,False
2019-02-01,1,0,1,19,19,False
2019-03-01,1,1,1,23,15,False
2019-04-01,1,1,1,17,19,False
2019-05-01,1,1,0,18,16,False
2019-06-01,1,1,1,17,17,False
2019-07-01,0,1,1,16,24,False
2019-08-01,0,1,0,16,20,False
2019-09-01,1,1,0,15,17,False
2019-10-01,1,1,1,27,16,False
2019-11-01,1,1,0,16,16,False
2019-12-01,1,1,0,16,19,False
2020-01-01,0,1,1,16,28,False
2020-02-01,0,2,2,18,54,False
2020-03-01,0,1,0,19,21,False
2020-04-01,0,1,1,35,17,False
2020-05-01,0,1,1,19,14,False
2020-06-01,0,1,0,20,16,False
2020-07-01,0,1,0,21,34,False
2020-08-01,0,1,1,18,27,False
2020-09-01,0,1,1,16,19,False
2020-10-01,0,1,1,15,21,False
