date,Michael Green,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",Jack Andraka,Al Vernacchio,Iraola,isPartial
2004-01-01,24,0,0,0,3,False
2004-02-01,27,0,0,0,8,False
2004-03-01,53,0,0,0,2,False
2004-04-01,44,0,0,0,3,False
2004-05-01,35,0,0,0,2,False
2004-06-01,32,0,0,0,2,False
2004-07-01,80,0,0,0,2,False
2004-08-01,37,0,0,0,3,False
2004-09-01,34,0,0,0,4,False
2004-10-01,64,0,0,0,4,False
2004-11-01,35,0,0,0,5,False
2004-12-01,42,0,0,0,3,False
2005-01-01,42,0,0,0,4,False
2005-02-01,41,0,0,0,3,False
2005-03-01,33,0,0,0,3,False
2005-04-01,30,0,0,0,3,False
2005-05-01,36,0,0,0,4,False
2005-06-01,38,0,0,0,4,False
2005-07-01,27,0,0,0,3,False
2005-08-01,48,0,0,0,3,False
2005-09-01,37,0,0,0,4,False
2005-10-01,39,0,0,0,4,False
2005-11-01,34,0,0,0,4,False
2005-12-01,32,0,0,0,3,False
2006-01-01,34,0,0,0,2,False
2006-02-01,29,0,0,0,3,False
2006-03-01,31,0,0,0,5,False
2006-04-01,26,0,0,0,3,False
2006-05-01,30,0,0,0,3,False
2006-06-01,30,0,0,0,4,False
2006-07-01,27,0,0,0,4,False
2006-08-01,27,0,0,0,3,False
2006-09-01,32,0,0,0,2,False
2006-10-01,25,0,0,0,4,False
2006-11-01,28,0,0,0,3,False
2006-12-01,26,0,0,0,3,False
2007-01-01,28,0,0,0,4,False
2007-02-01,23,0,0,0,3,False
2007-03-01,21,0,0,0,5,False
2007-04-01,23,0,0,0,3,False
2007-05-01,25,0,0,0,3,False
2007-06-01,25,0,0,0,4,False
2007-07-01,28,0,0,0,3,False
2007-08-01,27,0,0,0,2,False
2007-09-01,25,0,0,0,4,False
2007-10-01,24,0,0,0,3,False
2007-11-01,23,0,0,0,3,False
2007-12-01,26,0,0,0,4,False
2008-01-01,27,0,0,0,2,False
2008-02-01,27,0,0,0,4,False
2008-03-01,26,0,0,0,3,False
2008-04-01,27,0,0,0,4,False
2008-05-01,25,0,0,0,4,False
2008-06-01,26,0,0,0,3,False
2008-07-01,25,0,0,0,2,False
2008-08-01,28,0,0,0,4,False
2008-09-01,21,0,0,0,5,False
2008-10-01,23,0,0,0,4,False
2008-11-01,25,0,0,0,4,False
2008-12-01,24,0,0,0,3,False
2009-01-01,25,0,0,0,4,False
2009-02-01,30,0,0,0,5,False
2009-03-01,27,0,0,0,3,False
2009-04-01,27,0,0,0,4,False
2009-05-01,25,0,0,0,5,False
2009-06-01,41,0,0,0,4,False
2009-07-01,48,0,0,0,4,False
2009-08-01,35,0,0,0,4,False
2009-09-01,33,0,0,0,5,False
2009-10-01,33,0,0,0,4,False
2009-11-01,36,0,0,0,5,False
2009-12-01,33,0,0,0,4,False
2010-01-01,34,0,0,0,5,False
2010-02-01,31,0,0,0,2,False
2010-03-01,32,0,0,0,3,False
2010-04-01,31,0,0,0,4,False
2010-05-01,28,0,0,0,3,False
2010-06-01,31,0,0,0,4,False
2010-07-01,31,0,0,0,3,False
2010-08-01,29,0,0,0,4,False
2010-09-01,28,0,0,0,4,False
2010-10-01,28,0,0,0,5,False
2010-11-01,27,0,0,0,6,False
2010-12-01,27,0,0,0,5,False
2011-01-01,35,0,0,0,4,False
