date,Andrew Mwenda,Theo Jansen,Steven Pinker,Deborah Scranton,Iraola,isPartial
2004-01-01,0,0,42,0,11,False
2004-02-01,0,7,44,0,29,False
2004-03-01,0,9,42,0,9,False
2004-04-01,0,14,33,0,9,False
2004-05-01,0,9,39,0,8,False
2004-06-01,0,6,18,0,9,False
2004-07-01,0,6,28,0,8,False
2004-08-01,0,14,22,6,10,False
2004-09-01,0,5,43,0,14,False
2004-10-01,0,9,39,0,13,False
2004-11-01,0,14,39,0,17,False
2004-12-01,0,10,38,0,10,False
2005-01-01,0,11,44,0,15,False
2005-02-01,5,13,30,5,12,False
2005-03-01,0,9,32,0,9,False
2005-04-01,0,7,34,0,12,False
2005-05-01,0,10,16,0,13,False
2005-06-01,4,11,28,0,14,False
2005-07-01,4,20,19,0,12,False
2005-08-01,4,12,27,0,10,False
2005-09-01,0,16,38,4,14,False
2005-10-01,0,18,33,3,13,False
2005-11-01,3,14,24,0,13,False
2005-12-01,0,15,25,0,11,False
2006-01-01,0,10,25,3,8,False
2006-02-01,3,7,29,0,11,False
2006-03-01,7,8,21,2,18,False
2006-04-01,3,12,27,3,12,False
2006-05-01,0,11,17,5,12,False
2006-06-01,3,11,8,8,13,False
2006-07-01,5,10,20,3,16,False
2006-08-01,0,15,17,0,10,False
2006-09-01,0,12,22,0,8,False
2006-10-01,0,17,20,4,13,False
2006-11-01,0,18,28,2,12,False
2006-12-01,2,15,23,0,11,False
2007-01-01,0,15,38,2,13,False
2007-02-01,3,11,26,0,12,False
2007-03-01,2,16,26,3,19,False
2007-04-01,0,39,23,2,12,False
2007-05-01,2,24,19,2,12,False
2007-06-01,2,45,18,3,13,False
2007-07-01,4,23,14,0,11,False
2007-08-01,2,19,17,0,8,False
2007-09-01,0,35,40,3,16,False
2007-10-01,3,47,38,1,12,False
2007-11-01,2,37,31,0,10,False
2007-12-01,2,27,28,1,14,False
2008-01-01,4,31,39,1,9,False
2008-02-01,2,22,28,0,14,False
2008-03-01,1,33,28,0,12,False
2008-04-01,2,18,23,1,13,False
2008-05-01,3,27,24,1,13,False
2008-06-01,2,24,23,0,12,False
2008-07-01,1,24,24,1,7,False
2008-08-01,1,30,25,2,16,False
2008-09-01,1,23,22,1,17,False
2008-10-01,1,20,33,1,15,False
2008-11-01,1,31,33,1,15,False
2008-12-01,2,19,21,0,12,False
2009-01-01,1,26,23,1,15,False
2009-02-01,4,20,32,1,17,False
