date,George Monbiot,Jake Barton,Ron McCallum,Sonia Shah,Iraola,isPartial
2004-01-01,45,0,0,0,23,False
2004-02-01,40,0,0,0,60,False
2004-03-01,28,0,0,19,18,False
2004-04-01,63,0,0,0,19,False
2004-05-01,37,12,0,12,17,False
2004-06-01,54,12,12,12,19,False
2004-07-01,56,0,0,13,17,False
2004-08-01,36,12,0,0,20,False
2004-09-01,48,0,0,11,28,False
2004-10-01,42,0,11,34,26,False
2004-11-01,45,0,0,0,34,False
2004-12-01,60,0,0,0,21,False
2005-01-01,46,14,0,9,31,False
2005-02-01,85,10,0,0,24,False
2005-03-01,25,0,0,16,19,False
2005-04-01,27,0,0,9,24,False
2005-05-01,48,0,0,0,27,False
2005-06-01,35,12,0,8,29,False
2005-07-01,57,8,12,8,25,False
2005-08-01,29,8,8,8,21,False
2005-09-01,43,7,0,7,29,False
2005-10-01,43,7,7,9,27,False
2005-11-01,34,7,7,0,27,False
2005-12-01,35,7,0,0,22,False
2006-01-01,29,17,6,6,17,False
2006-02-01,28,18,0,0,22,False
2006-03-01,17,24,0,10,38,False
2006-04-01,26,13,0,6,24,False
2006-05-01,29,5,10,8,24,False
2006-06-01,25,9,5,5,27,False
2006-07-01,18,11,5,5,32,False
2006-08-01,28,7,5,7,20,False
2006-09-01,35,9,0,0,17,False
2006-10-01,41,6,4,7,27,False
2006-11-01,46,0,8,0,25,False
2006-12-01,30,4,0,7,22,False
2007-01-01,39,0,4,0,27,False
2007-02-01,41,4,4,8,24,False
2007-03-01,30,3,3,3,39,False
2007-04-01,28,5,4,7,25,False
2007-05-01,38,8,5,0,25,False
2007-06-01,26,3,0,6,27,False
2007-07-01,34,6,3,3,22,False
2007-08-01,27,3,3,3,17,False
2007-09-01,19,9,0,6,32,False
2007-10-01,33,4,0,5,24,False
2007-11-01,27,19,3,4,21,False
2007-12-01,25,8,3,3,28,False
2008-01-01,18,2,2,5,18,False
2008-02-01,20,2,2,7,29,False
2008-03-01,26,2,2,3,25,False
2008-04-01,27,7,0,7,27,False
2008-05-01,28,3,2,5,27,False
2008-06-01,23,2,0,5,24,False
2008-07-01,15,3,2,6,15,False
2008-08-01,21,4,2,2,32,False
2008-09-01,17,4,3,4,35,False
2008-10-01,25,2,0,7,30,False
2008-11-01,24,3,2,6,31,False
2008-12-01,18,2,0,2,25,False
2009-01-01,22,4,2,4,30,False
2009-02-01,16,4,2,4,35,False
2009-03-01,22,2,0,3,24,False
2009-04-01,15,2,0,2,32,False
2009-05-01,11,3,2,5,39,False
2009-06-01,11,4,0,4,27,False
2009-07-01,16,2,0,3,26,False
2009-08-01,19,2,0,3,32,False
2009-09-01,15,2,2,3,38,False
2009-10-01,12,0,1,2,28,False
2009-11-01,39,1,3,1,36,False
