date,Amy Webb,Fabian Oefner,Jason Pontin,Michael Porter,Iraola,isPartial
2004-01-01,2,0,0,61,4,False
2004-02-01,2,0,0,59,10,False
2004-03-01,3,0,0,72,3,False
2004-04-01,4,0,0,70,3,False
2004-05-01,3,0,2,76,3,False
2004-06-01,0,0,0,52,3,False
2004-07-01,4,0,0,52,3,False
2004-08-01,4,0,0,60,3,False
2004-09-01,2,0,2,59,4,False
2004-10-01,4,0,0,74,4,False
2004-11-01,2,0,2,71,6,False
2004-12-01,2,0,0,43,3,False
2005-01-01,4,0,1,54,5,False
2005-02-01,2,0,0,56,4,False
2005-03-01,3,0,0,51,3,False
2005-04-01,2,0,0,56,4,False
2005-05-01,3,0,0,56,4,False
2005-06-01,2,0,0,51,5,False
2005-07-01,0,0,0,32,4,False
2005-08-01,0,0,1,35,3,False
2005-09-01,2,0,0,47,5,False
2005-10-01,2,0,0,51,4,False
2005-11-01,2,0,0,48,4,False
2005-12-01,2,0,0,36,4,False
2006-01-01,2,0,0,43,3,False
2006-02-01,2,0,0,34,4,False
2006-03-01,3,0,0,44,6,False
2006-04-01,1,0,0,41,4,False
2006-05-01,1,0,0,39,4,False
2006-06-01,2,0,1,37,4,False
2006-07-01,1,0,2,23,5,False
2006-08-01,1,0,0,25,3,False
2006-09-01,1,1,1,34,3,False
2006-10-01,2,0,1,36,4,False
2006-11-01,1,0,0,40,4,False
2006-12-01,3,0,1,25,4,False
2007-01-01,1,0,0,29,4,False
2007-02-01,2,0,1,29,4,False
2007-03-01,1,0,1,33,6,False
2007-04-01,1,0,1,33,4,False
2007-05-01,1,0,1,32,4,False
2007-06-01,1,0,1,28,4,False
2007-07-01,1,0,1,23,4,False
2007-08-01,1,0,1,41,3,False
2007-09-01,2,0,1,33,5,False
2007-10-01,2,0,0,33,4,False
2007-11-01,2,0,0,39,3,False
2007-12-01,1,0,0,29,5,False
2008-01-01,1,0,0,25,3,False
2008-02-01,1,0,0,31,5,False
2008-03-01,1,0,0,31,4,False
2008-04-01,1,0,0,35,4,False
2008-05-01,2,0,0,31,4,False
2008-06-01,1,0,0,32,4,False
2008-07-01,2,0,0,21,2,False
