date,Hetain Patel,Steve Howard,Charles Robertson,Parul Sehgal,Iraola,isPartial
2004-01-01,0,70,10,0,10,False
2004-02-01,0,50,0,0,30,False
2004-03-01,0,49,18,0,12,False
2004-04-01,0,71,14,0,14,False
2004-05-01,0,62,8,0,8,False
2004-06-01,0,57,0,0,12,False
2004-07-01,0,69,26,9,9,False
2004-08-01,0,60,8,0,12,False
2004-09-01,0,44,22,0,18,False
2004-10-01,0,30,15,0,11,False
2004-11-01,0,49,15,0,19,False
2004-12-01,0,66,7,0,14,False
2005-01-01,0,40,9,0,18,False
2005-02-01,0,42,16,0,16,False
2005-03-01,0,57,8,0,11,False
2005-04-01,6,18,9,6,18,False
2005-05-01,0,58,19,0,21,False
2005-06-01,0,37,16,0,21,False
2005-07-01,0,43,5,0,14,False
2005-08-01,0,50,18,0,10,False
2005-09-01,0,47,12,0,17,False
2005-10-01,0,49,20,0,22,False
2005-11-01,0,27,18,0,22,False
2005-12-01,0,43,15,0,17,False
2006-01-01,0,27,8,0,11,False
2006-02-01,4,38,14,4,14,False
2006-03-01,0,45,12,0,24,False
2006-04-01,0,38,16,0,15,False
2006-05-01,0,33,15,0,22,False
2006-06-01,0,42,16,0,19,False
2006-07-01,0,47,16,0,19,False
2006-08-01,0,24,8,0,13,False
2006-09-01,0,53,9,0,8,False
2006-10-01,3,37,10,0,13,False
2006-11-01,0,18,11,3,20,False
2006-12-01,0,33,6,0,16,False
2007-01-01,0,28,7,0,15,False
2007-02-01,0,39,10,0,14,False
2007-03-01,0,26,10,0,24,False
2007-04-01,2,38,5,0,18,False
2007-05-01,2,46,9,0,14,False
2007-06-01,0,34,11,0,15,False
2007-07-01,0,29,6,0,18,False
2007-08-01,0,45,11,0,12,False
2007-09-01,2,27,8,0,19,False
2007-10-01,0,36,10,0,14,False
2007-11-01,0,45,9,0,14,False
2007-12-01,0,33,9,0,18,False
2008-01-01,0,40,5,0,14,False
2008-02-01,0,38,7,0,22,False
2008-03-01,2,36,7,2,12,False
2008-04-01,0,32,6,0,19,False
2008-05-01,3,31,10,0,20,False
2008-06-01,0,37,3,0,14,False
2008-07-01,0,32,9,0,10,False
2008-08-01,0,29,6,0,21,False
2008-09-01,1,32,5,0,23,False
2008-10-01,1,33,9,0,21,False
2008-11-01,0,23,6,1,22,False
2008-12-01,0,21,7,0,17,False
2009-01-01,2,37,8,0,17,False
2009-02-01,0,24,7,0,26,False
2009-03-01,0,30,2,0,19,False
2009-04-01,1,28,7,1,24,False
2009-05-01,0,25,12,0,28,False
2009-06-01,0,18,7,0,17,False
2009-07-01,1,28,4,0,16,False
2009-08-01,0,24,4,1,22,False
2009-09-01,2,27,9,0,29,False
2009-10-01,1,28,5,0,16,False
2009-11-01,0,28,4,0,24,False
2009-12-01,0,27,4,1,17,False
2010-01-01,1,35,6,1,23,False
2010-02-01,0,26,4,1,12,False
2010-03-01,0,24,6,1,16,False
2010-04-01,0,32,4,0,20,False
2010-05-01,0,29,4,2,14,False
2010-06-01,0,27,4,2,19,False
2010-07-01,0,32,6,1,14,False
2010-08-01,1,26,6,1,17,False
2010-09-01,0,29,7,2,19,False
2010-10-01,0,29,7,1,20,False
2010-11-01,1,27,6,1,25,False
2010-12-01,0,23,4,1,25,False
2011-01-01,1,29,6,1,16,False
2011-02-01,1,31,4,1,26,False
2011-03-01,1,23,5,1,30,False
2011-04-01,1,24,5,0,20,False
2011-05-01,0,24,3,0,21,False
2011-06-01,0,29,5,0,23,False
2011-07-01,1,34,6,0,17,False
2011-08-01,0,30,6,1,24,False
2011-09-01,0,17,6,1,25,False
2011-10-01,1,39,5,1,22,False
2011-11-01,0,24,5,1,18,False
2011-12-01,0,23,8,0,17,False
2012-01-01,0,28,6,1,17,False
2012-02-01,0,28,6,1,20,False
2012-03-01,0,30,7,0,34,False
2012-04-01,1,32,6,3,23,False
2012-05-01,0,29,5,1,26,False
2012-06-01,0,29,4,1,20,False
2012-07-01,0,100,4,1,15,False
2012-08-01,1,83,5,1,14,False
2012-09-01,0,45,6,2,15,False
2012-10-01,1,47,5,0,17,False
2012-11-01,1,36,6,1,16,False
2012-12-01,0,43,5,0,15,False
2013-01-01,0,38,7,0,15,False
2013-02-01,0,45,6,1,17,False
2013-03-01,1,32,8,1,15,False
2013-04-01,1,41,6,0,15,False
2013-05-01,0,30,6,1,12,False
2013-06-01,0,24,5,1,16,False
2013-07-01,0,34,5,0,14,False
2013-08-01,0,25,5,0,15,False
2013-09-01,0,20,7,1,19,False
2013-10-01,5,26,6,6,16,False
2013-11-01,2,21,7,4,15,False
2013-12-01,1,18,6,2,17,False
2014-01-01,1,19,5,1,14,False
2014-02-01,1,25,5,2,16,False
2014-03-01,1,20,5,1,19,False
2014-04-01,1,21,4,1,14,False
2014-05-01,1,18,5,1,17,False
2014-06-01,0,16,5,1,13,False
2014-07-01,1,22,4,1,18,False
2014-08-01,0,21,4,0,22,False
2014-09-01,0,17,5,2,23,False
2014-10-01,0,19,2,1,18,False
2014-11-01,1,19,7,1,20,False
2014-12-01,1,19,7,1,15,False
2015-01-01,1,21,5,1,15,False
2015-02-01,1,20,4,1,17,False
2015-03-01,0,21,4,1,25,False
2015-04-01,0,14,6,1,26,False
2015-05-01,1,17,5,1,67,False
2015-06-01,1,20,5,0,27,False
2015-07-01,1,20,4,2,32,False
2015-08-01,0,19,4,1,25,False
2015-09-01,0,19,4,0,19,False
2015-10-01,1,25,5,0,15,False
2015-11-01,1,14,4,1,16,False
2015-12-01,0,20,4,1,13,False
2016-01-01,1,22,5,1,14,False
2016-02-01,0,19,4,0,16,False
2016-03-01,0,17,4,1,17,False
2016-04-01,1,18,4,1,13,False
2016-05-01,0,24,5,1,21,False
2016-06-01,0,21,5,0,18,False
2016-07-01,0,14,4,1,19,False
2016-08-01,1,16,3,0,12,False
2016-09-01,0,16,3,1,16,False
2016-10-01,0,16,5,0,17,False
2016-11-01,1,17,6,0,22,False
2016-12-01,1,18,4,0,11,False
2017-01-01,0,22,3,1,12,False
2017-02-01,1,18,4,0,15,False
2017-03-01,1,19,6,0,12,False
2017-04-01,1,15,4,0,12,False
2017-05-01,0,17,5,1,16,False
2017-06-01,1,16,3,1,12,False
2017-07-01,0,14,5,1,13,False
2017-08-01,0,13,4,1,13,False
2017-09-01,0,15,5,1,12,False
2017-10-01,1,14,5,1,11,False
2017-11-01,1,13,4,1,10,False
2017-12-01,0,15,3,0,9,False
2018-01-01,0,28,5,0,12,False
2018-02-01,0,16,4,1,10,False
2018-03-01,1,14,3,1,8,False
2018-04-01,0,12,3,1,11,False
2018-05-01,1,15,4,1,12,False
2018-06-01,0,17,4,1,12,False
2018-07-01,0,12,3,1,10,False
2018-08-01,1,19,3,1,11,False
2018-09-01,1,12,4,2,13,False
2018-10-01,0,9,4,1,14,False
2018-11-01,1,14,3,1,11,False
2018-12-01,1,13,4,1,10,False
2019-01-01,0,19,3,1,9,False
2019-02-01,0,16,4,1,12,False
2019-03-01,0,14,3,1,11,False
2019-04-01,0,14,4,0,13,False
2019-05-01,0,18,4,1,10,False
2019-06-01,0,14,3,2,12,False
2019-07-01,0,16,4,2,16,False
2019-08-01,1,16,3,1,13,False
2019-09-01,0,15,3,1,11,False
2019-10-01,0,14,4,1,11,False
2019-11-01,0,12,3,1,12,False
2019-12-01,0,12,4,1,12,False
2020-01-01,0,13,4,2,18,False
