date,Sarah Lewis,Michel Laberge,Hamish Jolly,James Patten,Iraola,isPartial
2004-01-01,60,0,0,15,23,False
2004-02-01,50,0,0,0,60,False
2004-03-01,74,0,0,19,18,False
2004-04-01,67,0,0,14,19,False
2004-05-01,58,0,0,25,17,False
2004-06-01,62,0,0,12,19,False
2004-07-01,43,0,0,13,17,False
2004-08-01,28,0,0,18,20,False
2004-09-01,59,0,0,11,28,False
2004-10-01,61,0,0,17,26,False
2004-11-01,61,11,0,23,34,False
2004-12-01,46,0,0,11,21,False
2005-01-01,59,0,0,9,31,False
2005-02-01,59,0,0,0,24,False
2005-03-01,55,0,0,12,19,False
2005-04-01,64,9,0,9,24,False
2005-05-01,56,0,8,8,27,False
2005-06-01,59,0,0,0,29,False
2005-07-01,41,8,0,12,25,False
2005-08-01,50,0,0,11,21,False
2005-09-01,43,0,0,7,29,False
2005-10-01,38,0,0,10,27,False
2005-11-01,45,14,0,7,27,False
2005-12-01,60,0,0,20,22,False
2006-01-01,46,0,0,8,17,False
2006-02-01,52,12,0,6,22,False
2006-03-01,48,5,0,5,38,False
2006-04-01,48,0,0,8,24,False
2006-05-01,42,0,0,10,24,False
2006-06-01,27,0,5,7,27,False
2006-07-01,53,5,0,5,32,False
2006-08-01,44,0,5,12,20,False
2006-09-01,41,0,0,9,17,False
2006-10-01,49,4,0,7,27,False
2006-11-01,33,4,0,6,25,False
2006-12-01,46,4,0,4,22,False
2007-01-01,30,4,0,10,27,False
2007-02-01,43,0,0,4,24,False
2007-03-01,33,0,0,3,39,False
2007-04-01,37,0,4,5,25,False
2007-05-01,44,0,0,9,25,False
2007-06-01,39,3,0,5,27,False
2007-07-01,37,3,0,5,22,False
2007-08-01,40,0,0,4,17,False
2007-09-01,29,3,0,7,32,False
2007-10-01,42,3,3,4,24,False
2007-11-01,42,3,0,3,21,False
2007-12-01,51,0,0,6,28,False
2008-01-01,43,2,0,5,18,False
2008-02-01,57,2,0,2,29,False
2008-03-01,54,0,0,3,25,False
2008-04-01,54,5,2,5,27,False
2008-05-01,61,0,0,6,27,False
2008-06-01,55,2,0,5,24,False
2008-07-01,52,0,0,3,15,False
2008-08-01,54,2,0,2,32,False
2008-09-01,66,0,0,5,35,False
2008-10-01,67,2,0,4,30,False
2008-11-01,69,0,0,5,31,False
2008-12-01,58,2,0,3,25,False
2009-01-01,52,2,0,5,30,False
2009-02-01,46,4,0,6,35,False
2009-03-01,52,2,0,4,24,False
2009-04-01,50,3,0,5,32,False
2009-05-01,37,2,0,4,39,False
2009-06-01,32,0,0,3,27,False
2009-07-01,51,2,0,4,26,False
2009-08-01,51,2,0,3,32,False
2009-09-01,37,0,0,4,38,False
2009-10-01,50,0,0,2,28,False
2009-11-01,41,1,0,2,36,False
2009-12-01,31,0,1,3,27,False
2010-01-01,47,1,0,3,35,False
2010-02-01,42,0,0,4,18,False
2010-03-01,48,0,0,2,26,False
2010-04-01,39,1,0,1,27,False
2010-05-01,47,0,0,4,24,False
2010-06-01,44,0,1,4,29,False
2010-07-01,38,1,1,3,20,False
2010-08-01,47,1,0,4,27,False
2010-09-01,42,1,0,4,32,False
2010-10-01,40,2,0,4,34,False
2010-11-01,36,2,0,3,42,False
2010-12-01,46,0,0,4,34,False
2011-01-01,43,1,0,1,28,False
2011-02-01,36,1,1,4,38,False
2011-03-01,32,1,0,2,46,False
2011-04-01,32,3,0,4,34,False
2011-05-01,43,1,0,3,31,False
2011-06-01,41,6,0,3,33,False
2011-07-01,52,1,0,2,28,False
2011-08-01,48,1,0,2,42,False
2011-09-01,51,1,1,4,34,False
2011-10-01,36,0,1,3,32,False
2011-11-01,39,1,0,3,28,False
2011-12-01,34,0,1,4,27,False
2012-01-01,60,2,1,3,25,False
2012-02-01,35,1,0,2,30,False
2012-03-01,35,1,0,2,54,False
2012-04-01,35,1,0,2,34,False
2012-05-01,25,1,0,2,41,False
2012-06-01,28,1,0,2,32,False
2012-07-01,31,1,1,3,23,False
2012-08-01,31,1,0,2,24,False
2012-09-01,40,1,0,3,26,False
2012-10-01,34,1,0,3,25,False
2012-11-01,38,1,0,3,27,False
2012-12-01,40,1,1,3,23,False
2013-01-01,35,2,0,3,24,False
2013-02-01,40,1,0,2,25,False
2013-03-01,32,1,1,2,23,False
2013-04-01,32,1,1,3,25,False
2013-05-01,29,1,0,2,21,False
2013-06-01,35,2,0,1,23,False
2013-07-01,34,1,1,3,23,False
2013-08-01,31,1,1,2,24,False
2013-09-01,33,1,0,4,30,False
2013-10-01,33,1,1,2,26,False
2013-11-01,32,1,0,2,24,False
2013-12-01,36,1,0,3,25,False
2014-01-01,34,1,1,2,22,False
2014-02-01,34,1,1,1,25,False
2014-03-01,38,2,1,3,28,False
2014-04-01,39,3,1,4,22,False
2014-05-01,35,2,1,3,25,False
2014-06-01,36,2,1,2,21,False
2014-07-01,33,2,1,1,26,False
2014-08-01,32,1,1,2,34,False
2014-09-01,31,1,1,3,35,False
