date,Mellody Hobson,Randall Munroe,Mark Ronson,William Black,Iraola,isPartial
2004-01-01,0,0,9,10,1,False
2004-02-01,0,0,7,20,3,False
2004-03-01,1,0,5,16,1,False
2004-04-01,0,0,2,12,1,False
2004-05-01,0,0,3,11,1,False
2004-06-01,1,0,4,8,1,False
2004-07-01,1,0,2,8,1,False
2004-08-01,1,0,4,9,1,False
2004-09-01,1,0,2,9,1,False
2004-10-01,0,0,2,11,1,False
2004-11-01,1,1,2,10,2,False
2004-12-01,2,0,2,9,1,False
2005-01-01,0,0,2,11,2,False
2005-02-01,0,0,2,14,1,False
2005-03-01,0,0,3,13,1,False
2005-04-01,1,0,1,11,1,False
2005-05-01,0,0,1,10,1,False
2005-06-01,0,0,2,10,2,False
2005-07-01,0,0,2,8,1,False
2005-08-01,2,0,2,7,1,False
2005-09-01,1,0,2,10,2,False
2005-10-01,1,0,1,12,1,False
2005-11-01,0,0,3,11,1,False
2005-12-01,1,0,2,9,1,False
2006-01-01,1,0,3,10,1,False
2006-02-01,0,0,7,15,1,False
2006-03-01,1,0,6,12,2,False
2006-04-01,0,0,6,9,1,False
2006-05-01,0,0,3,9,1,False
2006-06-01,1,0,2,7,1,False
2006-07-01,0,0,3,8,2,False
2006-08-01,0,0,3,5,1,False
2006-09-01,0,0,2,7,1,False
2006-10-01,0,0,3,9,1,False
2006-11-01,0,0,2,8,1,False
2006-12-01,0,0,5,6,1,False
2007-01-01,1,1,4,7,1,False
2007-02-01,1,1,8,10,1,False
2007-03-01,1,1,21,6,2,False
2007-04-01,0,1,48,6,1,False
2007-05-01,1,1,30,7,1,False
2007-06-01,0,1,38,5,1,False
2007-07-01,0,1,46,6,1,False
2007-08-01,0,1,33,6,1,False
2007-09-01,1,0,39,7,2,False
2007-10-01,1,1,49,7,1,False
2007-11-01,0,1,32,7,1,False
2007-12-01,0,1,31,7,2,False
2008-01-01,1,1,36,7,1,False
2008-02-01,1,1,59,9,2,False
2008-03-01,0,1,35,8,1,False
2008-04-01,0,1,27,8,1,False
2008-05-01,2,1,31,7,1,False
2008-06-01,1,1,30,6,1,False
2008-07-01,1,1,31,5,1,False
2008-08-01,0,1,23,6,2,False
2008-09-01,1,1,22,6,2,False
2008-10-01,1,1,17,7,2,False
2008-11-01,0,1,14,8,2,False
2008-12-01,0,1,15,7,1,False
2009-01-01,1,1,13,7,2,False
2009-02-01,1,2,12,7,2,False
2009-03-01,0,1,10,7,1,False
2009-04-01,0,2,12,12,2,False
2009-05-01,1,1,9,7,2,False
2009-06-01,1,1,11,6,1,False
2009-07-01,0,1,10,6,1,False
2009-08-01,1,1,9,7,2,False
2009-09-01,0,1,8,7,2,False
2009-10-01,1,1,7,9,2,False
2009-11-01,1,1,9,9,2,False
2009-12-01,1,1,7,7,1,False
2010-01-01,1,1,6,8,2,False
2010-02-01,1,1,6,9,1,False
2010-03-01,1,1,6,8,1,False
2010-04-01,0,1,5,9,1,False
2010-05-01,1,1,7,8,1,False
2010-06-01,1,1,17,7,2,False
2010-07-01,1,1,51,6,1,False
2010-08-01,0,1,36,5,1,False
