date,David Keith,Robert Full,Ron Eglash,Philippe Starck,Iraola,isPartial
2004-01-01,47,21,4,80,6,False
2004-02-01,49,12,4,100,16,False
2004-03-01,48,8,0,75,5,False
2004-04-01,61,14,0,57,5,False
2004-05-01,64,15,0,63,4,False
2004-06-01,45,9,0,58,5,False
2004-07-01,52,8,0,68,4,False
2004-08-01,50,14,0,69,5,False
2004-09-01,43,11,0,77,7,False
2004-10-01,42,8,0,67,7,False
2004-11-01,52,11,3,73,9,False
2004-12-01,51,12,0,79,5,False
2005-01-01,53,10,0,73,8,False
2005-02-01,54,11,0,80,6,False
2005-03-01,49,15,0,67,5,False
2005-04-01,49,9,0,71,6,False
2005-05-01,33,10,4,71,7,False
2005-06-01,41,10,0,48,8,False
2005-07-01,51,6,0,40,6,False
2005-08-01,53,9,2,55,5,False
2005-09-01,54,8,0,67,7,False
2005-10-01,50,11,0,67,7,False
2005-11-01,45,9,0,55,7,False
2005-12-01,52,9,2,51,6,False
2006-01-01,45,6,1,57,4,False
2006-02-01,43,8,2,50,6,False
2006-03-01,35,7,1,49,10,False
2006-04-01,38,8,3,42,6,False
2006-05-01,51,7,0,42,6,False
2006-06-01,53,6,0,35,7,False
2006-07-01,46,5,0,41,8,False
2006-08-01,41,8,0,50,5,False
2006-09-01,46,7,1,41,4,False
2006-10-01,36,6,0,49,7,False
2006-11-01,36,8,1,50,6,False
2006-12-01,30,7,0,44,6,False
2007-01-01,41,9,0,46,7,False
2007-02-01,29,9,0,46,6,False
2007-03-01,38,6,0,47,10,False
2007-04-01,38,7,0,44,7,False
2007-05-01,42,7,0,42,6,False
2007-06-01,40,7,0,34,7,False
2007-07-01,42,7,1,35,6,False
2007-08-01,36,9,1,35,4,False
2007-09-01,51,7,1,40,8,False
2007-10-01,47,8,1,38,6,False
2007-11-01,41,8,0,43,5,False
2007-12-01,42,8,2,43,7,False
2008-01-01,43,7,1,37,5,False
2008-02-01,40,9,2,40,7,False
2008-03-01,35,9,1,36,7,False
2008-04-01,35,12,1,42,7,False
2008-05-01,37,11,1,40,7,False
2008-06-01,36,9,1,38,6,False
2008-07-01,31,7,1,38,4,False
2008-08-01,37,10,0,40,8,False
2008-09-01,45,8,1,38,9,False
2008-10-01,36,10,1,35,8,False
2008-11-01,33,16,1,35,8,False
2008-12-01,31,19,1,32,6,False
2009-01-01,35,18,0,30,8,False
2009-02-01,35,16,0,33,9,False
2009-03-01,37,19,0,32,6,False
2009-04-01,35,23,0,34,8,False
2009-05-01,33,17,0,36,10,False
2009-06-01,80,17,0,30,7,False
2009-07-01,33,18,0,27,7,False
2009-08-01,36,15,0,26,8,False
2009-09-01,34,16,0,48,10,False
2009-10-01,36,17,1,44,7,False
2009-11-01,49,22,1,44,9,False
2009-12-01,51,19,0,37,7,False
2010-01-01,46,20,0,42,9,False
2010-02-01,42,16,1,42,5,False
2010-03-01,43,20,1,35,7,False
2010-04-01,36,17,0,41,7,False
2010-05-01,34,17,0,39,6,False
2010-06-01,33,19,0,38,8,False
2010-07-01,34,17,1,36,5,False
2010-08-01,33,17,0,35,7,False
2010-09-01,37,13,0,36,8,False
2010-10-01,34,15,0,43,9,False
2010-11-01,34,15,1,39,11,False
2010-12-01,31,14,0,39,9,False
2011-01-01,44,12,0,35,7,False
2011-02-01,31,14,0,38,10,False
2011-03-01,33,14,0,31,12,False
2011-04-01,33,16,0,33,9,False
2011-05-01,33,14,0,30,8,False
2011-06-01,31,12,0,31,8,False
2011-07-01,35,12,0,29,7,False
2011-08-01,33,13,0,31,11,False
2011-09-01,31,12,0,34,9,False
2011-10-01,33,12,0,33,8,False
2011-11-01,33,15,1,37,7,False
2011-12-01,26,15,0,32,7,False
2012-01-01,29,13,0,38,7,False
2012-02-01,31,13,0,38,8,False
2012-03-01,30,13,0,34,14,False
2012-04-01,36,13,0,51,9,False
2012-05-01,30,16,0,36,10,False
2012-06-01,27,16,0,30,8,False
2012-07-01,28,16,0,32,6,False
2012-08-01,30,19,0,32,6,False
2012-09-01,30,17,0,36,7,False
2012-10-01,28,16,0,40,7,False
2012-11-01,27,19,0,43,7,False
2012-12-01,27,18,0,46,6,False
2013-01-01,32,19,0,34,6,False
2013-02-01,30,17,0,37,6,False
2013-03-01,38,20,0,35,6,False
2013-04-01,26,18,0,34,7,False
2013-05-01,30,23,0,33,5,False
2013-06-01,38,18,0,33,6,False
2013-07-01,31,18,0,25,6,False
2013-08-01,61,18,0,26,6,False
2013-09-01,47,16,0,31,8,False
2013-10-01,31,16,0,30,7,False
2013-11-01,28,19,0,30,6,False
2013-12-01,29,18,0,29,6,False
2014-01-01,35,20,0,30,6,False
2014-02-01,29,19,0,34,6,False
2014-03-01,30,19,0,27,7,False
