date,Talithia Williams,Nick Hanauer,Dan Pacholke,Eric Liu,Iraola,isPartial
2004-01-01,0,0,0,45,23,False
2004-02-01,0,0,0,0,60,False
2004-03-01,0,19,0,37,18,False
2004-04-01,0,0,0,29,19,False
2004-05-01,0,0,0,13,17,False
2004-06-01,0,0,0,19,19,False
2004-07-01,0,0,0,13,17,False
2004-08-01,0,0,0,18,20,False
2004-09-01,0,0,0,22,28,False
2004-10-01,0,11,0,28,26,False
2004-11-01,0,0,0,17,34,False
2004-12-01,0,0,0,11,21,False
2005-01-01,0,0,0,34,31,False
2005-02-01,0,0,10,16,24,False
2005-03-01,0,0,0,12,19,False
2005-04-01,0,0,0,23,24,False
2005-05-01,0,8,0,16,27,False
2005-06-01,0,0,0,8,29,False
2005-07-01,0,0,0,16,25,False
2005-08-01,0,0,0,16,21,False
2005-09-01,0,7,0,7,29,False
2005-10-01,0,0,0,7,27,False
2005-11-01,0,0,0,7,27,False
2005-12-01,0,0,0,10,22,False
2006-01-01,0,0,0,19,17,False
2006-02-01,0,6,0,18,22,False
2006-03-01,0,0,0,8,38,False
2006-04-01,0,0,0,9,24,False
2006-05-01,0,0,0,7,24,False
2006-06-01,0,5,0,13,27,False
2006-07-01,0,0,0,9,32,False
2006-08-01,0,0,0,17,20,False
2006-09-01,0,5,0,9,17,False
2006-10-01,0,0,0,26,27,False
2006-11-01,0,0,0,7,25,False
2006-12-01,0,0,0,10,22,False
2007-01-01,0,4,0,5,27,False
2007-02-01,0,0,0,8,24,False
2007-03-01,3,0,0,9,39,False
2007-04-01,0,0,0,10,25,False
2007-05-01,0,3,0,11,25,False
2007-06-01,0,0,3,9,27,False
2007-07-01,0,3,0,6,22,False
2007-08-01,0,0,0,3,17,False
2007-09-01,0,0,0,5,32,False
2007-10-01,0,8,0,10,24,False
2007-11-01,0,3,0,10,21,False
2007-12-01,0,3,0,5,28,False
2008-01-01,0,2,2,6,18,False
2008-02-01,0,2,0,6,29,False
2008-03-01,0,2,0,15,25,False
2008-04-01,0,2,0,24,27,False
2008-05-01,0,2,0,16,27,False
2008-06-01,0,3,2,15,24,False
2008-07-01,0,3,0,10,15,False
2008-08-01,0,0,0,15,32,False
2008-09-01,0,4,0,6,35,False
2008-10-01,0,3,0,12,30,False
2008-11-01,0,2,0,14,31,False
2008-12-01,0,2,0,8,25,False
2009-01-01,2,4,0,14,30,False
2009-02-01,0,2,2,8,35,False
2009-03-01,0,0,0,14,24,False
2009-04-01,0,3,0,6,32,False
2009-05-01,0,2,0,9,39,False
2009-06-01,2,0,0,11,27,False
2009-07-01,0,2,0,8,26,False
2009-08-01,0,2,0,7,32,False
2009-09-01,0,0,2,6,38,False
2009-10-01,0,0,0,10,28,False
2009-11-01,0,1,0,11,36,False
2009-12-01,0,1,0,13,27,False
2010-01-01,0,0,0,6,35,False
2010-02-01,0,0,0,10,18,False
2010-03-01,0,0,0,7,26,False
2010-04-01,0,0,0,7,27,False
2010-05-01,0,1,0,7,24,False
2010-06-01,0,0,0,4,29,False
2010-07-01,0,0,0,6,20,False
2010-08-01,0,2,0,8,27,False
2010-09-01,0,3,0,5,32,False
2010-10-01,1,3,0,7,34,False
2010-11-01,1,2,0,7,42,False
2010-12-01,0,1,0,8,34,False
2011-01-01,0,1,0,6,28,False
2011-02-01,0,2,0,7,38,False
2011-03-01,0,1,0,8,46,False
2011-04-01,0,1,1,5,34,False
2011-05-01,0,1,0,4,31,False
2011-06-01,0,1,0,5,33,False
2011-07-01,1,1,1,7,28,False
2011-08-01,0,2,0,2,42,False
2011-09-01,0,1,0,5,34,False
