date,Rose Goslinga,Meera Vijayann,Jill Shargaa,Jim Holt,Iraola,isPartial
2004-01-01,0,0,0,15,23,False
2004-02-01,0,0,0,25,60,False
2004-03-01,0,0,0,31,18,False
2004-04-01,0,0,0,29,19,False
2004-05-01,0,0,0,13,17,False
2004-06-01,0,0,0,25,19,False
2004-07-01,0,0,0,26,17,False
2004-08-01,0,0,0,18,20,False
2004-09-01,0,0,0,22,28,False
2004-10-01,0,0,0,34,26,False
2004-11-01,0,0,0,42,34,False
2004-12-01,0,0,0,18,21,False
2005-01-01,0,0,0,25,31,False
2005-02-01,0,0,0,26,24,False
2005-03-01,0,0,0,27,19,False
2005-04-01,0,0,0,9,24,False
2005-05-01,0,0,0,21,27,False
2005-06-01,0,0,0,13,29,False
2005-07-01,0,0,0,11,25,False
2005-08-01,0,0,8,16,21,False
2005-09-01,0,0,0,11,29,False
2005-10-01,0,0,0,20,27,False
2005-11-01,0,0,0,18,27,False
2005-12-01,0,0,0,0,22,False
2006-01-01,0,0,0,23,17,False
2006-02-01,0,0,0,12,22,False
2006-03-01,0,0,0,9,38,False
2006-04-01,0,0,0,11,24,False
2006-05-01,0,0,0,17,24,False
2006-06-01,0,0,0,16,27,False
2006-07-01,0,0,0,5,32,False
2006-08-01,0,0,0,5,20,False
2006-09-01,0,0,0,13,17,False
2006-10-01,0,0,0,23,27,False
2006-11-01,0,0,0,19,25,False
2006-12-01,0,0,0,12,22,False
2007-01-01,0,0,0,6,27,False
2007-02-01,0,0,0,6,24,False
2007-03-01,0,0,0,7,39,False
2007-04-01,0,0,0,5,25,False
2007-05-01,0,0,0,6,25,False
2007-06-01,0,0,0,7,27,False
2007-07-01,0,0,0,12,22,False
2007-08-01,0,0,0,8,17,False
2007-09-01,0,0,0,8,32,False
2007-10-01,0,0,0,8,24,False
2007-11-01,0,0,0,12,21,False
2007-12-01,0,0,0,9,28,False
2008-01-01,0,0,0,7,18,False
2008-02-01,0,0,0,13,29,False
2008-03-01,2,0,0,12,25,False
2008-04-01,0,0,0,4,27,False
2008-05-01,0,0,0,7,27,False
2008-06-01,0,0,0,6,24,False
2008-07-01,0,0,0,16,15,False
2008-08-01,0,0,0,7,32,False
2008-09-01,0,0,0,5,35,False
2008-10-01,0,0,0,4,30,False
2008-11-01,0,0,0,8,31,False
2008-12-01,0,0,2,6,25,False
2009-01-01,0,0,0,10,30,False
2009-02-01,0,0,0,6,35,False
2009-03-01,0,0,0,7,24,False
2009-04-01,0,0,0,11,32,False
2009-05-01,0,0,0,3,39,False
2009-06-01,0,0,0,3,27,False
2009-07-01,0,0,0,9,26,False
2009-08-01,0,0,0,5,32,False
2009-09-01,0,0,0,5,38,False
2009-10-01,0,0,0,7,28,False
2009-11-01,0,0,0,7,36,False
2009-12-01,0,0,0,7,27,False
2010-01-01,0,0,0,9,35,False
2010-02-01,0,0,0,4,18,False
2010-03-01,0,0,0,7,26,False
2010-04-01,0,0,0,6,27,False
2010-05-01,0,0,0,8,24,False
2010-06-01,0,0,0,6,29,False
2010-07-01,0,0,0,3,20,False
2010-08-01,0,0,1,7,27,False
2010-09-01,0,0,0,6,32,False
2010-10-01,0,0,0,5,34,False
2010-11-01,0,1,0,5,42,False
2010-12-01,0,0,0,4,34,False
2011-01-01,0,0,0,5,28,False
2011-02-01,0,0,0,5,38,False
2011-03-01,1,0,0,7,46,False
2011-04-01,0,0,0,5,34,False
2011-05-01,0,0,0,5,31,False
2011-06-01,0,0,0,3,33,False
2011-07-01,0,0,0,5,28,False
2011-08-01,0,1,0,8,42,False
2011-09-01,0,0,0,6,34,False
2011-10-01,0,0,0,6,32,False
2011-11-01,0,0,0,6,28,False
2011-12-01,0,0,0,4,27,False
2012-01-01,0,0,0,6,25,False
2012-02-01,1,0,0,5,30,False
2012-03-01,0,0,0,4,54,False
2012-04-01,1,0,0,5,34,False
2012-05-01,1,0,0,3,41,False
2012-06-01,1,0,0,5,32,False
2012-07-01,0,0,0,15,23,False
2012-08-01,0,0,0,21,24,False
2012-09-01,0,0,0,31,26,False
2012-10-01,0,0,0,13,25,False
2012-11-01,0,0,0,5,27,False
2012-12-01,0,0,0,10,23,False
2013-01-01,0,0,1,9,24,False
2013-02-01,0,0,0,9,25,False
2013-03-01,1,0,0,10,23,False
2013-04-01,0,1,0,11,25,False
2013-05-01,0,1,0,8,21,False
2013-06-01,0,0,0,9,23,False
2013-07-01,0,0,0,7,23,False
2013-08-01,0,0,0,7,24,False
2013-09-01,0,0,0,6,30,False
2013-10-01,0,1,0,5,26,False
2013-11-01,1,0,0,4,24,False
2013-12-01,0,1,0,5,25,False
2014-01-01,1,0,0,5,22,False
2014-02-01,0,1,0,7,25,False
2014-03-01,0,0,0,12,28,False
2014-04-01,0,0,0,8,22,False
2014-05-01,0,0,0,6,25,False
2014-06-01,0,1,0,6,21,False
2014-07-01,0,0,0,7,26,False
2014-08-01,1,1,1,8,34,False
2014-09-01,1,1,1,15,35,False
2014-10-01,1,1,1,7,27,False
2014-11-01,0,1,1,6,26,False
2014-12-01,1,1,2,8,22,False
2015-01-01,0,1,1,9,21,False
2015-02-01,1,0,1,7,26,False
2015-03-01,0,0,0,5,37,False
2015-04-01,1,1,0,5,38,False
2015-05-01,0,0,0,16,100,False
2015-06-01,1,1,1,7,44,False
2015-07-01,0,0,1,9,50,False
2015-08-01,0,0,0,6,34,False
2015-09-01,1,0,0,5,30,False
2015-10-01,0,0,0,6,24,False
2015-11-01,0,0,0,5,23,False
2015-12-01,0,1,0,5,20,False
2016-01-01,0,0,0,6,24,False
2016-02-01,0,0,0,5,23,False
2016-03-01,0,0,0,5,26,False
2016-04-01,0,0,0,5,18,False
2016-05-01,0,0,0,4,32,False
2016-06-01,0,1,0,5,26,False
2016-07-01,0,0,0,4,28,False
2016-08-01,0,0,0,4,18,False
2016-09-01,0,0,1,6,25,False
2016-10-01,0,0,0,5,24,False
2016-11-01,0,0,0,4,33,False
2016-12-01,0,0,0,5,19,False
2017-01-01,0,0,0,4,18,False
2017-02-01,0,0,0,5,21,False
2017-03-01,0,0,0,4,18,False
2017-04-01,0,0,0,4,19,False
2017-05-01,0,0,0,4,24,False
2017-06-01,0,0,0,16,19,False
2017-07-01,0,0,0,5,20,False
2017-08-01,0,0,0,4,18,False
2017-09-01,0,0,0,4,18,False
2017-10-01,0,0,0,4,16,False
2017-11-01,0,0,0,3,14,False
2017-12-01,0,0,0,5,14,False
2018-01-01,0,0,0,5,19,False
2018-02-01,0,0,0,5,17,False
2018-03-01,0,0,0,4,14,False
2018-04-01,0,0,0,5,16,False
2018-05-01,0,0,0,6,17,False
2018-06-01,0,0,0,4,17,False
2018-07-01,0,0,0,8,16,False
2018-08-01,0,0,0,6,17,False
2018-09-01,0,0,0,7,18,False
2018-10-01,0,0,0,7,20,False
