date,Jeremy Howard,Carol Dweck,Bruno Torturra,Mundano,Iraola,isPartial
2004-01-01,25,15,0,0,23,False
2004-02-01,20,0,0,0,60,False
2004-03-01,37,19,0,18,18,False
2004-04-01,22,22,0,15,19,False
2004-05-01,19,13,0,0,17,False
2004-06-01,29,0,0,0,19,False
2004-07-01,39,26,0,13,17,False
2004-08-01,12,18,0,12,20,False
2004-09-01,11,11,0,11,28,False
2004-10-01,26,11,0,17,26,False
2004-11-01,23,12,12,11,34,False
2004-12-01,16,11,0,11,21,False
2005-01-01,19,0,0,0,31,False
2005-02-01,23,10,10,10,24,False
2005-03-01,16,8,0,8,19,False
2005-04-01,34,9,0,18,24,False
2005-05-01,35,0,0,8,27,False
2005-06-01,36,0,8,8,29,False
2005-07-01,11,16,0,21,25,False
2005-08-01,16,8,0,13,21,False
2005-09-01,33,7,0,14,29,False
2005-10-01,16,9,0,7,27,False
2005-11-01,7,14,0,14,27,False
2005-12-01,20,0,0,16,22,False
2006-01-01,20,0,6,17,17,False
2006-02-01,14,9,0,20,22,False
2006-03-01,14,10,5,14,38,False
2006-04-01,14,0,0,7,24,False
2006-05-01,8,5,0,20,24,False
2006-06-01,20,14,0,5,27,False
2006-07-01,21,11,0,14,32,False
2006-08-01,21,10,0,13,20,False
2006-09-01,22,5,0,13,17,False
2006-10-01,16,4,4,14,27,False
2006-11-01,17,0,0,10,25,False
2006-12-01,16,9,0,17,22,False
2007-01-01,14,7,4,8,27,False
2007-02-01,12,20,0,16,24,False
2007-03-01,15,14,0,7,39,False
2007-04-01,10,25,4,10,25,False
2007-05-01,14,17,0,15,25,False
2007-06-01,13,15,3,17,27,False
2007-07-01,14,13,0,21,22,False
2007-08-01,12,5,0,10,17,False
2007-09-01,19,9,0,14,32,False
2007-10-01,17,10,0,20,24,False
2007-11-01,13,14,0,17,21,False
2007-12-01,16,16,0,16,28,False
2008-01-01,7,12,0,14,18,False
2008-02-01,13,13,3,13,29,False
2008-03-01,20,5,0,11,25,False
2008-04-01,17,9,2,17,27,False
2008-05-01,8,11,0,21,27,False
2008-06-01,13,7,0,13,24,False
2008-07-01,17,11,0,15,15,False
2008-08-01,11,12,0,23,32,False
2008-09-01,4,8,0,20,35,False
2008-10-01,9,9,0,26,30,False
2008-11-01,13,9,4,30,31,False
2008-12-01,16,7,2,24,25,False
2009-01-01,13,8,0,21,30,False
2009-02-01,15,8,2,18,35,False
2009-03-01,14,14,0,24,24,False
2009-04-01,11,8,0,23,32,False
2009-05-01,12,4,2,23,39,False
2009-06-01,16,10,0,21,27,False
2009-07-01,12,11,0,18,26,False
2009-08-01,9,10,0,19,32,False
2009-09-01,11,14,0,24,38,False
2009-10-01,12,9,0,21,28,False
2009-11-01,7,12,1,16,36,False
2009-12-01,10,9,0,16,27,False
2010-01-01,14,10,0,16,35,False
2010-02-01,14,16,0,16,18,False
2010-03-01,8,7,1,23,26,False
2010-04-01,12,13,0,30,27,False
2010-05-01,9,14,0,21,24,False
2010-06-01,7,11,0,22,29,False
2010-07-01,7,8,1,21,20,False
2010-08-01,9,5,1,25,27,False
2010-09-01,7,9,0,27,32,False
2010-10-01,10,12,0,27,34,False
2010-11-01,10,11,0,25,42,False
2010-12-01,15,8,0,23,34,False
2011-01-01,13,16,1,21,28,False
2011-02-01,11,12,1,20,38,False
2011-03-01,12,14,0,18,46,False
2011-04-01,9,12,0,23,34,False
2011-05-01,11,13,2,23,31,False
2011-06-01,14,11,2,25,33,False
2011-07-01,9,10,1,21,28,False
2011-08-01,11,11,1,26,42,False
2011-09-01,11,16,0,22,34,False
2011-10-01,10,17,1,37,32,False
2011-11-01,12,17,1,25,28,False
2011-12-01,16,14,0,22,27,False
2012-01-01,17,18,1,23,25,False
2012-02-01,33,16,0,24,30,False
2012-03-01,27,18,0,29,54,False
2012-04-01,22,11,0,26,34,False
2012-05-01,20,16,1,22,41,False
2012-06-01,15,16,1,20,32,False
2012-07-01,87,13,0,19,23,False
2012-08-01,20,17,1,23,24,False
2012-09-01,11,19,0,25,26,False
2012-10-01,14,20,0,21,25,False
2012-11-01,16,16,1,19,27,False
2012-12-01,18,14,1,22,23,False
2013-01-01,15,17,0,18,24,False
2013-02-01,12,23,0,20,25,False
2013-03-01,42,18,0,27,23,False
2013-04-01,30,18,0,21,25,False
2013-05-01,27,19,1,21,21,False
2013-06-01,23,15,3,22,23,False
2013-07-01,61,20,2,27,23,False
2013-08-01,21,24,8,29,24,False
2013-09-01,20,25,2,30,30,False
2013-10-01,20,25,2,28,26,False
2013-11-01,22,25,2,29,24,False
2013-12-01,25,14,1,23,25,False
2014-01-01,20,25,1,24,22,False
2014-02-01,22,27,1,26,25,False
2014-03-01,26,28,1,26,28,False
2014-04-01,24,30,1,26,22,False
2014-05-01,22,28,1,26,25,False
2014-06-01,23,29,2,26,21,False
2014-07-01,31,25,1,28,26,False
2014-08-01,36,29,2,26,34,False
2014-09-01,16,40,2,24,35,False
2014-10-01,25,34,2,29,27,False
2014-11-01,30,34,1,24,26,False
2014-12-01,45,35,1,27,22,False
2015-01-01,28,48,2,29,21,False
2015-02-01,21,44,1,28,26,False
2015-03-01,23,40,1,25,37,False
2015-04-01,20,36,1,27,38,False
2015-05-01,19,38,1,23,100,False
2015-06-01,21,36,1,24,44,False
2015-07-01,15,38,0,24,50,False
2015-08-01,17,41,1,28,34,False
2015-09-01,17,59,2,28,30,False
2015-10-01,11,52,0,26,24,False
2015-11-01,12,47,1,26,23,False
2015-12-01,19,38,1,28,20,False
2016-01-01,14,52,1,26,24,False
2016-02-01,18,48,1,23,23,False
2016-03-01,13,44,1,25,26,False
2016-04-01,13,44,1,28,18,False
2016-05-01,17,46,1,26,32,False
2016-06-01,20,42,1,26,26,False
2016-07-01,20,33,1,25,28,False
2016-08-01,16,41,1,24,18,False
2016-09-01,35,54,1,25,25,False
2016-10-01,26,47,0,23,24,False
2016-11-01,21,48,0,25,33,False
2016-12-01,19,36,2,26,19,False
