date,Larry Brilliant,Jeff Han,Nicholas Negroponte,Sirena Huang,Iraola,isPartial
2004-01-01,0,0,14,0,14,False
2004-02-01,13,0,34,0,34,False
2004-03-01,17,0,50,0,16,False
2004-04-01,0,0,39,13,32,False
2004-05-01,11,0,22,0,11,False
2004-06-01,11,11,28,0,33,False
2004-07-01,0,0,23,0,17,False
2004-08-01,0,0,11,0,27,False
2004-09-01,10,10,30,0,45,False
2004-10-01,0,0,20,0,30,False
2004-11-01,10,10,10,10,30,False
2004-12-01,0,9,9,0,33,False
2005-01-01,8,0,12,0,25,False
2005-02-01,9,9,48,0,9,False
2005-03-01,0,0,15,0,11,False
2005-04-01,8,0,25,0,12,False
2005-05-01,0,0,29,0,32,False
2005-06-01,7,0,15,0,26,False
2005-07-01,7,0,18,0,18,False
2005-08-01,7,7,7,0,11,False
2005-09-01,0,13,36,0,42,False
2005-10-01,6,6,57,0,33,False
2005-11-01,0,6,100,6,27,False
2005-12-01,12,6,39,0,24,False
2006-01-01,0,0,31,0,16,False
2006-02-01,30,13,32,0,24,False
2006-03-01,16,21,44,0,28,False
2006-04-01,10,8,30,0,27,False
2006-05-01,18,9,34,0,32,False
2006-06-01,10,5,10,0,26,False
2006-07-01,7,7,17,0,26,False
2006-08-01,4,24,9,0,13,False
2006-09-01,17,23,8,4,19,False
2006-10-01,8,19,21,8,17,False
2006-11-01,13,26,20,0,32,False
2006-12-01,6,8,10,0,27,False
2007-01-01,8,69,25,5,20,False
2007-02-01,18,60,21,4,35,False
2007-03-01,15,54,17,0,25,False
2007-04-01,6,34,19,3,21,False
2007-05-01,4,54,19,0,19,False
2007-06-01,6,64,22,0,20,False
2007-07-01,8,28,30,0,25,False
2007-08-01,9,16,24,3,24,False
2007-09-01,11,16,27,0,22,False
2007-10-01,4,28,19,0,24,False
2007-11-01,3,26,24,0,18,False
2007-12-01,6,12,53,5,18,False
2008-01-01,11,21,21,4,24,False
2008-02-01,9,16,19,4,20,False
2008-03-01,6,16,19,6,27,False
2008-04-01,8,11,12,4,30,False
2008-05-01,8,19,15,3,26,False
2008-06-01,8,8,13,0,19,False
2008-07-01,3,17,6,2,12,False
2008-08-01,8,13,8,4,33,False
2008-09-01,5,19,5,0,36,False
2008-10-01,3,14,9,2,23,False
2008-11-01,7,22,14,0,23,False
2008-12-01,4,12,16,2,26,False
2009-01-01,4,8,5,0,27,False
2009-02-01,5,10,9,0,31,False
2009-03-01,2,9,11,1,25,False
2009-04-01,8,9,2,2,30,False
2009-05-01,15,4,8,3,30,False
2009-06-01,7,7,4,1,30,False
2009-07-01,2,7,6,2,29,False
2009-08-01,4,9,7,1,24,False
2009-09-01,1,6,4,3,39,False
2009-10-01,5,6,7,2,34,False
2009-11-01,5,7,7,1,31,False
2009-12-01,7,7,11,1,27,False
2010-01-01,4,5,10,1,35,False
2010-02-01,3,8,6,0,25,False
2010-03-01,2,5,10,3,20,False
2010-04-01,2,3,10,4,30,False
2010-05-01,3,8,5,1,27,False
2010-06-01,5,4,12,2,19,False
2010-07-01,3,3,8,2,17,False
2010-08-01,2,4,9,2,22,False
2010-09-01,2,4,5,1,31,False
2010-10-01,1,3,11,0,28,False
2010-11-01,2,4,9,2,33,False
2010-12-01,1,5,2,3,37,False
2011-01-01,4,3,3,5,19,False
2011-02-01,2,5,6,2,28,False
2011-03-01,2,5,6,1,41,False
2011-04-01,3,3,7,2,31,False
2011-05-01,2,3,5,1,38,False
2011-06-01,2,3,6,2,34,False
2011-07-01,3,1,3,2,18,False
