date,Sophie Scott,Alice Goffman,Pamela Ronald,Abe Davis,Iraola,isPartial
2004-01-01,0,0,15,15,23,False
2004-02-01,74,0,22,0,60,False
2004-03-01,25,0,28,19,18,False
2004-04-01,36,0,36,14,19,False
2004-05-01,25,0,13,13,17,False
2004-06-01,37,0,19,0,19,False
2004-07-01,26,13,13,0,17,False
2004-08-01,18,0,0,12,20,False
2004-09-01,33,0,11,11,28,False
2004-10-01,23,0,0,11,26,False
2004-11-01,23,0,11,11,34,False
2004-12-01,26,0,11,16,21,False
2005-01-01,23,0,9,9,31,False
2005-02-01,26,0,10,15,24,False
2005-03-01,32,0,8,24,19,False
2005-04-01,18,0,12,18,24,False
2005-05-01,16,0,8,12,27,False
2005-06-01,13,0,16,0,29,False
2005-07-01,11,0,8,0,25,False
2005-08-01,12,0,8,8,21,False
2005-09-01,14,0,11,14,29,False
2005-10-01,14,0,11,13,27,False
2005-11-01,9,0,0,0,27,False
2005-12-01,29,0,13,7,22,False
2006-01-01,6,0,6,6,17,False
2006-02-01,16,0,6,6,22,False
2006-03-01,8,0,10,5,38,False
2006-04-01,17,5,11,11,24,False
2006-05-01,20,0,13,13,24,False
2006-06-01,21,0,13,0,27,False
2006-07-01,39,0,11,5,32,False
2006-08-01,16,0,5,5,20,False
2006-09-01,17,0,5,5,17,False
2006-10-01,16,4,4,4,27,False
2006-11-01,21,0,8,4,25,False
2006-12-01,35,0,4,9,22,False
2007-01-01,45,0,7,6,27,False
2007-02-01,61,0,4,12,24,False
2007-03-01,55,0,3,5,39,False
2007-04-01,52,0,11,7,25,False
2007-05-01,52,0,6,6,25,False
2007-06-01,50,0,4,3,27,False
2007-07-01,44,3,6,5,22,False
2007-08-01,54,0,6,3,17,False
2007-09-01,34,0,6,3,32,False
2007-10-01,29,0,7,3,24,False
2007-11-01,24,0,4,5,21,False
2007-12-01,31,0,4,5,28,False
2008-01-01,33,0,6,2,18,False
2008-02-01,27,0,4,7,29,False
2008-03-01,26,0,5,6,25,False
2008-04-01,24,2,5,4,27,False
2008-05-01,19,2,4,3,27,False
2008-06-01,29,0,7,5,24,False
2008-07-01,36,0,6,3,15,False
2008-08-01,27,0,6,0,32,False
2008-09-01,19,0,3,4,35,False
2008-10-01,18,2,2,2,30,False
2008-11-01,24,4,3,2,31,False
2008-12-01,27,0,3,2,25,False
2009-01-01,21,0,5,5,30,False
2009-02-01,22,0,10,6,35,False
2009-03-01,19,2,4,5,24,False
2009-04-01,15,0,4,5,32,False
2009-05-01,25,0,8,6,39,False
2009-06-01,22,0,4,2,27,False
2009-07-01,17,0,2,3,26,False
2009-08-01,21,2,6,2,32,False
2009-09-01,21,2,2,3,38,False
2009-10-01,22,1,4,4,28,False
2009-11-01,19,1,2,3,36,False
2009-12-01,20,0,5,3,27,False
2010-01-01,21,1,2,1,35,False
2010-02-01,22,4,5,4,18,False
2010-03-01,14,0,5,3,26,False
2010-04-01,24,3,4,2,27,False
2010-05-01,17,0,3,3,24,False
2010-06-01,19,0,5,2,29,False
2010-07-01,14,0,2,2,20,False
2010-08-01,17,4,2,5,27,False
2010-09-01,14,0,4,2,32,False
2010-10-01,18,2,4,4,34,False
2010-11-01,21,1,4,2,42,False
2010-12-01,14,1,3,2,34,False
2011-01-01,17,3,4,3,28,False
2011-02-01,17,1,3,3,38,False
2011-03-01,13,1,2,2,46,False
2011-04-01,12,1,3,2,34,False
2011-05-01,15,0,3,4,31,False
2011-06-01,14,0,3,1,33,False
2011-07-01,17,1,4,2,28,False
2011-08-01,10,1,3,2,42,False
2011-09-01,14,1,4,3,34,False
2011-10-01,16,1,4,2,32,False
2011-11-01,17,1,3,2,28,False
2011-12-01,15,1,2,3,27,False
2012-01-01,15,1,3,3,25,False
2012-02-01,14,1,3,2,30,False
2012-03-01,10,1,3,2,54,False
2012-04-01,10,1,2,2,34,False
2012-05-01,13,0,2,3,41,False
2012-06-01,14,2,3,1,32,False
2012-07-01,12,0,3,1,23,False
2012-08-01,16,1,1,2,24,False
2012-09-01,11,1,3,3,26,False
