date,Cosmin Mihaiu,Steven Wise,Chris Burkard,Jeffrey Brown,Iraola,isPartial
2004-01-01,0,45,0,65,23,False
2004-02-01,0,30,0,35,60,False
2004-03-01,0,37,0,25,18,False
2004-04-01,0,57,0,72,19,False
2004-05-01,0,21,0,42,17,False
2004-06-01,0,19,0,41,19,False
2004-07-01,0,19,0,65,17,False
2004-08-01,0,0,0,28,20,False
2004-09-01,0,15,0,44,28,False
2004-10-01,0,0,0,57,26,False
2004-11-01,0,11,0,38,34,False
2004-12-01,0,21,11,37,21,False
2005-01-01,0,18,0,58,31,False
2005-02-01,0,10,0,62,24,False
2005-03-01,0,22,0,33,19,False
2005-04-01,0,24,0,43,24,False
2005-05-01,0,8,0,48,27,False
2005-06-01,0,24,0,32,29,False
2005-07-01,0,12,0,49,25,False
2005-08-01,0,13,0,55,21,False
2005-09-01,0,11,0,46,29,False
2005-10-01,0,17,0,29,27,False
2005-11-01,0,7,0,49,27,False
2005-12-01,0,18,0,42,22,False
2006-01-01,0,9,0,38,17,False
2006-02-01,0,6,0,44,22,False
2006-03-01,0,15,0,36,38,False
2006-04-01,0,6,0,35,24,False
2006-05-01,0,7,0,35,24,False
2006-06-01,0,11,0,44,27,False
2006-07-01,0,8,0,44,32,False
2006-08-01,0,5,0,33,20,False
2006-09-01,0,11,0,47,17,False
2006-10-01,0,11,4,41,27,False
2006-11-01,0,11,0,34,25,False
2006-12-01,0,13,0,37,22,False
2007-01-01,0,4,4,45,27,False
2007-02-01,0,13,0,37,24,False
2007-03-01,0,17,3,33,39,False
2007-04-01,0,18,7,35,25,False
2007-05-01,0,4,3,34,25,False
2007-06-01,0,6,0,40,27,False
2007-07-01,0,5,0,38,22,False
2007-08-01,0,8,0,40,17,False
2007-09-01,0,8,3,36,32,False
2007-10-01,0,5,3,46,24,False
2007-11-01,0,9,0,27,21,False
2007-12-01,0,4,0,23,28,False
2008-01-01,0,6,0,37,18,False
2008-02-01,0,6,2,26,29,False
2008-03-01,0,4,2,32,25,False
2008-04-01,0,5,0,37,27,False
2008-05-01,0,4,2,34,27,False
2008-06-01,0,6,2,31,24,False
2008-07-01,0,4,2,30,15,False
2008-08-01,0,3,0,41,32,False
2008-09-01,0,4,2,27,35,False
2008-10-01,0,4,2,33,30,False
2008-11-01,0,7,2,29,31,False
2008-12-01,0,7,0,30,25,False
2009-01-01,0,6,2,30,30,False
2009-02-01,0,4,2,28,35,False
2009-03-01,0,5,2,36,24,False
2009-04-01,0,6,0,38,32,False
2009-05-01,0,4,2,25,39,False
2009-06-01,0,5,2,32,27,False
2009-07-01,0,7,2,29,26,False
2009-08-01,0,7,2,34,32,False
2009-09-01,0,5,2,42,38,False
2009-10-01,0,6,1,36,28,False
2009-11-01,0,3,0,32,36,False
2009-12-01,0,5,1,26,27,False
2010-01-01,0,4,2,38,35,False
2010-02-01,0,6,1,33,18,False
2010-03-01,0,5,1,30,26,False
2010-04-01,0,4,1,25,27,False
2010-05-01,0,6,0,30,24,False
2010-06-01,0,3,0,29,29,False
2010-07-01,0,4,1,38,20,False
2010-08-01,0,4,0,41,27,False
2010-09-01,0,3,3,30,32,False
2010-10-01,0,4,3,38,34,False
2010-11-01,0,4,2,28,42,False
2010-12-01,0,3,2,30,34,False
2011-01-01,0,6,1,29,28,False
2011-02-01,0,4,2,32,38,False
2011-03-01,0,5,1,38,46,False
2011-04-01,0,6,3,23,34,False
2011-05-01,0,2,2,43,31,False
2011-06-01,0,4,2,32,33,False
2011-07-01,0,5,2,33,28,False
2011-08-01,0,2,2,31,42,False
2011-09-01,0,5,2,28,34,False
2011-10-01,0,4,2,32,32,False
2011-11-01,0,3,2,34,28,False
2011-12-01,0,5,2,29,27,False
2012-01-01,0,3,1,31,25,False
2012-02-01,0,5,2,32,30,False
2012-03-01,0,3,2,29,54,False
2012-04-01,0,4,2,33,34,False
2012-05-01,0,3,1,35,41,False
2012-06-01,0,3,2,35,32,False
2012-07-01,0,4,2,32,23,False
2012-08-01,0,4,1,33,24,False
2012-09-01,0,3,2,32,26,False
2012-10-01,0,4,2,27,25,False
2012-11-01,0,4,2,28,27,False
2012-12-01,0,4,2,32,23,False
2013-01-01,0,4,3,32,24,False
2013-02-01,0,4,4,28,25,False
2013-03-01,1,3,4,30,23,False
2013-04-01,0,3,4,31,25,False
2013-05-01,0,2,4,33,21,False
2013-06-01,0,3,4,26,23,False
2013-07-01,0,2,3,30,23,False
2013-08-01,0,3,4,30,24,False
2013-09-01,0,4,5,28,30,False
2013-10-01,0,4,4,28,26,False
2013-11-01,1,3,4,30,24,False
2013-12-01,0,4,3,28,25,False
2014-01-01,0,2,3,32,22,False
2014-02-01,0,2,4,25,25,False
2014-03-01,0,1,4,27,28,False
2014-04-01,0,6,5,29,22,False
2014-05-01,0,5,4,26,25,False
