date,Yassmin Abdel-Magied,Sara Seager,Jimmy Nelson,Laura Schulz,Iraola,isPartial
2004-01-01,0,0,15,0,23,False
2004-02-01,0,0,25,15,60,False
2004-03-01,0,0,37,19,18,False
2004-04-01,0,0,22,0,19,False
2004-05-01,0,25,29,12,17,False
2004-06-01,0,0,21,0,19,False
2004-07-01,0,0,33,0,17,False
2004-08-01,0,0,36,18,20,False
2004-09-01,0,0,17,0,28,False
2004-10-01,0,0,27,0,26,False
2004-11-01,0,0,23,0,34,False
2004-12-01,0,0,11,11,21,False
2005-01-01,0,9,14,19,31,False
2005-02-01,0,0,36,0,24,False
2005-03-01,0,0,25,8,19,False
2005-04-01,0,0,30,0,24,False
2005-05-01,0,0,12,8,27,False
2005-06-01,0,0,11,8,29,False
2005-07-01,0,0,14,0,25,False
2005-08-01,0,0,21,8,21,False
2005-09-01,0,0,22,0,29,False
2005-10-01,0,0,18,7,27,False
2005-11-01,0,0,18,7,27,False
2005-12-01,0,7,9,0,22,False
2006-01-01,0,6,21,9,17,False
2006-02-01,0,6,15,0,22,False
2006-03-01,0,0,22,5,38,False
2006-04-01,0,0,11,0,24,False
2006-05-01,0,0,13,5,24,False
2006-06-01,0,0,9,5,27,False
2006-07-01,0,5,12,5,32,False
2006-08-01,0,5,11,10,20,False
2006-09-01,5,7,11,5,17,False
2006-10-01,0,4,11,4,27,False
2006-11-01,0,0,12,4,25,False
2006-12-01,0,0,10,4,22,False
2007-01-01,0,0,16,8,27,False
2007-02-01,0,4,11,4,24,False
2007-03-01,0,3,14,7,39,False
2007-04-01,0,0,13,4,25,False
2007-05-01,0,0,11,5,25,False
2007-06-01,0,3,15,5,27,False
2007-07-01,0,0,14,6,22,False
2007-08-01,0,3,6,0,17,False
2007-09-01,0,3,17,3,32,False
2007-10-01,0,5,9,8,24,False
2007-11-01,0,0,7,3,21,False
2007-12-01,0,3,12,4,28,False
2008-01-01,0,2,10,5,18,False
2008-02-01,0,2,17,0,29,False
2008-03-01,0,2,7,3,25,False
2008-04-01,0,0,8,2,27,False
2008-05-01,0,0,18,3,27,False
2008-06-01,0,3,12,2,24,False
2008-07-01,0,2,11,4,15,False
2008-08-01,0,0,14,2,32,False
2008-09-01,0,2,10,0,35,False
2008-10-01,0,4,10,4,30,False
2008-11-01,0,6,13,2,31,False
2008-12-01,0,0,10,0,25,False
2009-01-01,0,2,8,2,30,False
2009-02-01,2,0,11,2,35,False
2009-03-01,0,3,12,5,24,False
2009-04-01,0,4,11,3,32,False
2009-05-01,0,2,8,2,39,False
2009-06-01,0,0,8,2,27,False
2009-07-01,0,2,13,4,26,False
2009-08-01,0,2,11,3,32,False
2009-09-01,0,2,16,2,38,False
2009-10-01,0,2,14,1,28,False
2009-11-01,0,2,10,2,36,False
2009-12-01,0,2,10,2,27,False
2010-01-01,0,3,12,2,35,False
2010-02-01,0,1,6,2,18,False
2010-03-01,0,1,12,2,26,False
2010-04-01,0,1,15,2,27,False
2010-05-01,0,1,35,3,24,False
2010-06-01,1,5,12,1,29,False
2010-07-01,0,2,13,3,20,False
2010-08-01,0,3,15,3,27,False
2010-09-01,0,2,10,2,32,False
2010-10-01,0,2,10,3,34,False
2010-11-01,1,2,16,3,42,False
2010-12-01,0,2,11,2,34,False
2011-01-01,1,3,15,4,28,False
2011-02-01,1,3,10,3,38,False
2011-03-01,1,3,10,4,46,False
2011-04-01,0,4,9,2,34,False
2011-05-01,0,3,9,4,31,False
2011-06-01,1,3,12,3,33,False
2011-07-01,1,3,9,2,28,False
2011-08-01,1,1,13,3,42,False
2011-09-01,1,2,10,2,34,False
2011-10-01,0,3,8,2,32,False
2011-11-01,1,3,11,1,28,False
2011-12-01,1,3,12,2,27,False
2012-01-01,2,3,12,2,25,False
2012-02-01,1,2,9,3,30,False
2012-03-01,1,1,8,3,54,False
2012-04-01,0,4,9,1,34,False
2012-05-01,0,2,13,3,41,False
2012-06-01,0,2,11,3,32,False
2012-07-01,0,2,12,2,23,False
2012-08-01,1,1,11,3,24,False
2012-09-01,0,2,13,2,26,False
2012-10-01,0,3,11,2,25,False
2012-11-01,0,2,13,1,27,False
2012-12-01,0,2,13,2,23,False
2013-01-01,0,3,12,1,24,False
2013-02-01,1,1,12,2,25,False
2013-03-01,0,3,12,1,23,False
2013-04-01,1,3,14,3,25,False
2013-05-01,1,2,13,2,21,False
2013-06-01,1,3,17,1,23,False
2013-07-01,1,1,14,2,23,False
2013-08-01,2,2,14,2,24,False
2013-09-01,1,7,19,1,30,False
2013-10-01,1,6,46,2,26,False
2013-11-01,1,5,58,1,24,False
2013-12-01,1,5,60,1,25,False
2014-01-01,0,4,43,2,22,False
2014-02-01,2,3,37,2,25,False
2014-03-01,1,4,28,1,28,False
2014-04-01,1,4,31,2,22,False
2014-05-01,1,3,37,2,25,False
2014-06-01,1,3,49,1,21,False
2014-07-01,1,4,65,2,26,False
2014-08-01,0,1,28,1,34,False
2014-09-01,0,2,26,3,35,False
2014-10-01,2,2,19,2,27,False
2014-11-01,1,2,51,2,26,False
2014-12-01,1,2,36,2,22,False
2015-01-01,1,3,26,3,21,False
2015-02-01,1,1,25,3,26,False
2015-03-01,4,3,40,2,37,False
2015-04-01,1,2,46,2,38,False
2015-05-01,2,2,38,2,100,False
2015-06-01,3,3,42,5,44,False
2015-07-01,1,4,32,3,50,False
2015-08-01,1,3,30,4,34,False
2015-09-01,1,3,53,3,30,False
2015-10-01,1,3,23,2,24,False
2015-11-01,1,4,24,3,23,False
2015-12-01,1,2,25,3,20,False
2016-01-01,1,2,29,3,24,False
2016-02-01,1,2,21,2,23,False
2016-03-01,2,1,23,2,26,False
2016-04-01,2,2,31,3,18,False
2016-05-01,1,2,43,2,32,False
2016-06-01,2,1,21,3,26,False
2016-07-01,1,2,18,2,28,False
2016-08-01,2,1,24,2,18,False
2016-09-01,12,2,20,2,25,False
2016-10-01,2,1,44,1,24,False
2016-11-01,1,2,27,2,33,False
2016-12-01,1,6,25,2,19,False
2017-01-01,1,1,36,3,18,False
2017-02-01,34,8,21,1,21,False
2017-03-01,8,2,19,5,18,False
2017-04-01,75,2,24,1,19,False
2017-05-01,22,2,21,2,24,False
2017-06-01,7,2,35,2,19,False
2017-07-01,23,2,23,1,20,False
2017-08-01,8,2,20,2,18,False
2017-09-01,4,1,35,3,18,False
2017-10-01,6,2,25,3,16,False
2017-11-01,7,2,21,2,14,False
2017-12-01,5,3,22,2,14,False
2018-01-01,5,2,33,2,19,False
2018-02-01,4,3,23,3,17,False
2018-03-01,5,2,74,2,14,False
2018-04-01,16,2,27,2,16,False
2018-05-01,7,2,30,2,17,False
2018-06-01,4,2,31,2,17,False
2018-07-01,4,1,33,2,16,False
2018-08-01,8,3,28,1,17,False
2018-09-01,4,2,34,2,18,False
2018-10-01,3,3,91,2,20,False
2018-11-01,3,2,49,1,17,False
2018-12-01,2,1,39,2,16,False
2019-01-01,2,1,30,3,16,False
2019-02-01,3,4,24,1,19,False
2019-03-01,3,4,34,3,15,False
2019-04-01,4,1,43,2,19,False
2019-05-01,3,1,53,2,16,False
2019-06-01,4,1,44,2,17,False
2019-07-01,3,2,24,1,24,False
2019-08-01,3,2,23,2,20,False
2019-09-01,1,2,37,2,17,False
2019-10-01,1,2,27,1,16,False
2019-11-01,2,2,22,1,16,False
2019-12-01,2,2,29,3,19,False
2020-01-01,3,1,30,3,28,False
2020-02-01,2,3,28,1,54,False
2020-03-01,1,2,22,1,21,False
2020-04-01,2,3,19,1,17,False
2020-05-01,2,2,25,2,14,False
2020-06-01,2,1,20,2,16,False
2020-07-01,1,1,16,2,34,False
2020-08-01,1,8,17,2,27,False
2020-09-01,1,10,21,3,19,False
2020-10-01,1,4,24,2,21,False
