date,Aspen Baker,Alec Soth + Stacey Baker,Salvatore Iaconesi,Marlene Zuk,Iraola,isPartial
2004-01-01,0,30,0,0,23,False
2004-02-01,0,0,0,15,60,False
2004-03-01,19,47,0,0,18,False
2004-04-01,0,22,0,29,19,False
2004-05-01,0,13,0,0,17,False
2004-06-01,0,25,0,12,19,False
2004-07-01,0,59,0,0,17,False
2004-08-01,24,24,0,0,20,False
2004-09-01,0,11,0,11,28,False
2004-10-01,0,23,0,0,26,False
2004-11-01,0,34,0,11,34,False
2004-12-01,11,16,0,0,21,False
2005-01-01,9,14,0,0,31,False
2005-02-01,10,29,0,10,24,False
2005-03-01,8,22,0,8,19,False
2005-04-01,0,15,0,9,24,False
2005-05-01,0,24,0,0,27,False
2005-06-01,8,13,0,0,29,False
2005-07-01,0,41,0,0,25,False
2005-08-01,8,8,0,0,21,False
2005-09-01,7,12,0,0,29,False
2005-10-01,0,16,0,7,27,False
2005-11-01,7,10,0,7,27,False
2005-12-01,7,13,0,7,22,False
2006-01-01,6,15,0,0,17,False
2006-02-01,0,28,0,6,22,False
2006-03-01,5,22,0,0,38,False
2006-04-01,6,15,0,0,24,False
2006-05-01,0,15,0,0,24,False
2006-06-01,0,11,0,0,27,False
2006-07-01,5,9,0,0,32,False
2006-08-01,0,10,0,0,20,False
2006-09-01,14,20,0,5,17,False
2006-10-01,0,30,0,9,27,False
2006-11-01,4,19,4,0,25,False
2006-12-01,4,10,0,9,22,False
2007-01-01,4,17,4,0,27,False
2007-02-01,6,17,0,0,24,False
2007-03-01,3,19,0,0,39,False
2007-04-01,4,19,0,0,25,False
2007-05-01,3,22,0,3,25,False
2007-06-01,5,37,3,6,27,False
2007-07-01,6,27,0,3,22,False
2007-08-01,0,20,0,0,17,False
2007-09-01,3,26,3,0,32,False
2007-10-01,3,32,0,4,24,False
2007-11-01,0,23,0,3,21,False
2007-12-01,4,24,0,0,28,False
2008-01-01,6,27,0,2,18,False
2008-02-01,6,23,0,0,29,False
2008-03-01,2,28,2,0,25,False
2008-04-01,3,24,0,0,27,False
2008-05-01,0,26,0,2,27,False
2008-06-01,2,18,0,2,24,False
2008-07-01,2,18,0,2,15,False
2008-08-01,2,19,0,0,32,False
2008-09-01,2,27,2,3,35,False
2008-10-01,4,24,0,0,30,False
2008-11-01,2,26,0,2,31,False
2008-12-01,4,27,0,2,25,False
2009-01-01,4,22,0,4,30,False
2009-02-01,3,24,0,2,35,False
2009-03-01,3,17,0,2,24,False
2009-04-01,0,23,0,2,32,False
2009-05-01,2,12,0,3,39,False
2009-06-01,3,14,0,2,27,False
2009-07-01,2,13,0,2,26,False
2009-08-01,3,17,0,2,32,False
2009-09-01,2,17,0,2,38,False
2009-10-01,3,26,0,1,28,False
2009-11-01,2,13,0,0,36,False
2009-12-01,2,20,0,2,27,False
2010-01-01,4,18,1,4,35,False
2010-02-01,1,24,0,0,18,False
2010-03-01,1,15,0,1,26,False
