date,Alison Jackson,Robin Chase,Jaime Lerner,David Macaulay,Iraola,isPartial
2004-01-01,38,15,20,30,23,False
2004-02-01,55,15,15,15,60,False
2004-03-01,19,37,19,0,18,False
2004-04-01,19,14,24,29,19,False
2004-05-01,25,13,13,21,17,False
2004-06-01,37,12,12,17,19,False
2004-07-01,19,26,52,26,17,False
2004-08-01,18,18,0,36,20,False
2004-09-01,26,11,11,11,28,False
2004-10-01,42,11,23,17,26,False
2004-11-01,38,17,17,11,34,False
2004-12-01,26,0,0,32,21,False
2005-01-01,32,9,0,12,31,False
2005-02-01,26,10,10,39,24,False
2005-03-01,33,8,8,22,19,False
2005-04-01,12,9,9,12,24,False
2005-05-01,16,8,11,29,27,False
2005-06-01,21,12,11,8,29,False
2005-07-01,12,8,0,25,25,False
2005-08-01,20,8,16,8,21,False
2005-09-01,36,29,7,7,29,False
2005-10-01,18,20,7,14,27,False
2005-11-01,27,7,7,25,27,False
2005-12-01,18,26,13,17,22,False
2006-01-01,21,12,6,12,17,False
2006-02-01,14,12,9,21,22,False
2006-03-01,14,8,15,15,38,False
2006-04-01,31,15,17,18,24,False
2006-05-01,29,7,10,23,24,False
2006-06-01,30,0,7,11,27,False
2006-07-01,19,9,11,11,32,False
2006-08-01,20,13,10,8,20,False
2006-09-01,24,8,7,28,17,False
2006-10-01,17,11,11,17,27,False
2006-11-01,26,10,7,11,25,False
2006-12-01,9,4,6,12,22,False
2007-01-01,25,14,7,8,27,False
2007-02-01,13,4,4,16,24,False
2007-03-01,14,16,6,16,39,False
2007-04-01,13,7,5,16,25,False
2007-05-01,12,6,8,16,25,False
2007-06-01,19,11,5,5,27,False
2007-07-01,8,3,6,10,22,False
2007-08-01,17,9,9,9,17,False
2007-09-01,41,10,5,14,32,False
2007-10-01,60,9,5,8,24,False
2007-11-01,55,8,12,13,21,False
2007-12-01,60,7,6,7,28,False
2008-01-01,59,6,7,10,18,False
2008-02-01,25,10,8,11,29,False
2008-03-01,20,7,6,10,25,False
2008-04-01,30,6,11,17,27,False
2008-05-01,19,10,7,13,27,False
2008-06-01,14,8,8,8,24,False
2008-07-01,19,7,8,6,15,False
2008-08-01,19,8,10,5,32,False
2008-09-01,18,6,7,12,35,False
2008-10-01,11,7,12,35,30,False
2008-11-01,12,10,9,13,31,False
2008-12-01,12,9,4,16,25,False
2009-01-01,13,4,8,11,30,False
2009-02-01,11,8,8,10,35,False
2009-03-01,17,7,8,13,24,False
2009-04-01,9,10,6,13,32,False
2009-05-01,16,10,7,10,39,False
2009-06-01,21,10,6,10,27,False
2009-07-01,25,10,4,9,26,False
2009-08-01,15,4,5,14,32,False
2009-09-01,13,12,8,16,38,False
2009-10-01,13,11,10,14,28,False
2009-11-01,13,7,10,8,36,False
2009-12-01,16,9,8,16,27,False
2010-01-01,12,7,7,8,35,False
2010-02-01,19,10,7,17,18,False
2010-03-01,11,6,10,14,26,False
2010-04-01,12,8,17,9,27,False
2010-05-01,18,10,14,10,24,False
2010-06-01,15,9,9,5,29,False
2010-07-01,14,9,7,6,20,False
2010-08-01,13,8,14,8,27,False
2010-09-01,12,10,6,10,32,False
2010-10-01,10,8,7,11,34,False
2010-11-01,13,7,10,14,42,False
2010-12-01,19,8,10,14,34,False
2011-01-01,27,8,12,12,28,False
2011-02-01,13,8,7,10,38,False
2011-03-01,23,10,9,9,46,False
2011-04-01,40,9,11,9,34,False
2011-05-01,15,9,10,8,31,False
2011-06-01,19,9,6,9,33,False
2011-07-01,19,10,3,7,28,False
2011-08-01,10,9,11,8,42,False
2011-09-01,12,6,9,11,34,False
2011-10-01,14,10,8,6,32,False
2011-11-01,34,8,6,12,28,False
2011-12-01,15,11,7,11,27,False
2012-01-01,12,9,8,7,25,False
2012-02-01,11,7,11,17,30,False
2012-03-01,13,10,12,6,54,False
2012-04-01,12,11,8,9,34,False
2012-05-01,15,12,8,8,41,False
2012-06-01,15,11,6,6,32,False
2012-07-01,14,12,5,7,23,False
2012-08-01,16,10,9,16,24,False
2012-09-01,13,9,8,12,26,False
