date,Alix Generous,Manuel Lima,Tony Wyss-Coray,Dustin Yellin,Iraola,isPartial
2004-01-01,0,30,0,0,23,False
2004-02-01,0,25,0,0,60,False
2004-03-01,0,0,0,0,18,False
2004-04-01,0,19,0,14,19,False
2004-05-01,0,25,0,13,17,False
2004-06-01,0,19,0,0,19,False
2004-07-01,0,20,0,0,17,False
2004-08-01,0,60,0,0,20,False
2004-09-01,0,11,0,0,28,False
2004-10-01,0,19,0,0,26,False
2004-11-01,0,23,0,0,34,False
2004-12-01,0,11,0,0,21,False
2005-01-01,0,32,0,9,31,False
2005-02-01,0,16,0,10,24,False
2005-03-01,0,30,0,0,19,False
2005-04-01,0,18,0,0,24,False
2005-05-01,0,27,0,0,27,False
2005-06-01,0,22,0,0,29,False
2005-07-01,0,16,0,0,25,False
2005-08-01,0,21,0,0,21,False
2005-09-01,0,34,0,0,29,False
2005-10-01,0,27,0,7,27,False
2005-11-01,0,29,0,0,27,False
2005-12-01,0,15,0,7,22,False
2006-01-01,0,13,0,0,17,False
2006-02-01,0,27,0,6,22,False
2006-03-01,0,15,0,0,38,False
2006-04-01,0,13,0,0,24,False
2006-05-01,0,12,0,5,24,False
2006-06-01,0,14,0,0,27,False
2006-07-01,0,12,0,0,32,False
2006-08-01,0,29,0,0,20,False
2006-09-01,0,20,0,0,17,False
2006-10-01,0,26,0,0,27,False
2006-11-01,0,15,0,0,25,False
2006-12-01,0,17,0,4,22,False
2007-01-01,0,15,0,0,27,False
2007-02-01,0,17,0,0,24,False
2007-03-01,0,16,0,0,39,False
2007-04-01,0,24,0,4,25,False
2007-05-01,0,22,0,3,25,False
2007-06-01,0,25,0,0,27,False
2007-07-01,0,21,3,0,22,False
2007-08-01,0,13,0,3,17,False
2007-09-01,0,15,0,0,32,False
2007-10-01,0,24,3,3,24,False
2007-11-01,0,22,0,3,21,False
2007-12-01,0,15,0,3,28,False
2008-01-01,0,30,2,5,18,False
2008-02-01,0,23,2,0,29,False
2008-03-01,0,16,0,3,25,False
2008-04-01,0,11,0,2,27,False
2008-05-01,0,28,2,2,27,False
2008-06-01,0,24,5,2,24,False
2008-07-01,0,40,2,0,15,False
2008-08-01,0,25,0,5,32,False
2008-09-01,0,22,2,2,35,False
2008-10-01,0,19,0,0,30,False
2008-11-01,0,18,0,2,31,False
2008-12-01,0,24,0,3,25,False
2009-01-01,0,23,0,4,30,False
2009-02-01,0,23,0,3,35,False
2009-03-01,0,24,0,2,24,False
2009-04-01,0,25,0,4,32,False
2009-05-01,0,31,2,2,39,False
2009-06-01,0,21,0,0,27,False
2009-07-01,0,31,2,2,26,False
2009-08-01,0,29,0,2,32,False
2009-09-01,0,23,0,2,38,False
2009-10-01,0,27,0,1,28,False
2009-11-01,0,28,0,1,36,False
2009-12-01,0,28,1,2,27,False
2010-01-01,0,22,3,2,35,False
2010-02-01,0,24,0,2,18,False
2010-03-01,0,21,0,3,26,False
2010-04-01,0,33,3,0,27,False
2010-05-01,0,34,0,1,24,False
2010-06-01,0,26,1,2,29,False
2010-07-01,0,23,0,2,20,False
2010-08-01,0,23,1,1,27,False
2010-09-01,0,34,0,2,32,False
2010-10-01,0,24,0,3,34,False
2010-11-01,0,25,0,0,42,False
2010-12-01,0,20,1,3,34,False
2011-01-01,0,28,1,2,28,False
2011-02-01,0,22,0,2,38,False
2011-03-01,0,31,1,2,46,False
2011-04-01,0,30,0,1,34,False
2011-05-01,0,29,1,3,31,False
2011-06-01,0,33,0,2,33,False
2011-07-01,0,22,0,2,28,False
2011-08-01,0,29,0,3,42,False
2011-09-01,0,25,1,2,34,False
2011-10-01,0,29,1,2,32,False
2011-11-01,0,32,1,2,28,False
2011-12-01,0,27,0,3,27,False
2012-01-01,0,55,2,5,25,False
2012-02-01,0,27,1,2,30,False
2012-03-01,0,21,1,4,54,False
2012-04-01,0,25,1,2,34,False
2012-05-01,0,26,1,2,41,False
2012-06-01,0,23,1,2,32,False
2012-07-01,1,27,1,3,23,False
2012-08-01,0,36,1,1,24,False
2012-09-01,1,25,0,5,26,False
2012-10-01,0,26,0,3,25,False
2012-11-01,0,26,0,3,27,False
2012-12-01,0,17,1,1,23,False
2013-01-01,0,21,1,1,24,False
2013-02-01,0,26,1,2,25,False
2013-03-01,1,27,1,2,23,False
2013-04-01,1,22,1,2,25,False
2013-05-01,0,19,0,15,21,False
2013-06-01,0,22,1,33,23,False
2013-07-01,0,24,0,11,23,False
2013-08-01,0,23,1,9,24,False
2013-09-01,1,20,1,7,30,False
2013-10-01,0,23,1,7,26,False
2013-11-01,1,20,1,5,24,False
2013-12-01,0,22,1,4,25,False
2014-01-01,1,22,1,5,22,False
2014-02-01,0,20,0,6,25,False
2014-03-01,0,22,1,12,28,False
2014-04-01,1,25,1,8,22,False
2014-05-01,0,22,1,10,25,False
2014-06-01,0,22,1,5,21,False
2014-07-01,0,23,1,5,26,False
2014-08-01,0,23,1,2,34,False
2014-09-01,0,25,0,7,35,False
2014-10-01,0,21,1,4,27,False
2014-11-01,0,28,1,4,26,False
2014-12-01,0,17,1,3,22,False
2015-01-01,0,20,0,7,21,False
2015-02-01,1,22,1,13,26,False
2015-03-01,0,20,0,10,37,False
2015-04-01,0,18,1,6,38,False
2015-05-01,1,22,0,5,100,False
2015-06-01,1,20,1,3,44,False
2015-07-01,0,21,0,6,50,False
2015-08-01,2,24,2,15,34,False
2015-09-01,2,21,2,10,30,False
2015-10-01,1,19,0,8,24,False
2015-11-01,2,17,1,7,23,False
2015-12-01,1,16,1,4,20,False
2016-01-01,1,17,1,3,24,False
2016-02-01,2,18,1,6,23,False
2016-03-01,0,17,0,3,26,False
2016-04-01,1,17,0,4,18,False
2016-05-01,0,16,1,4,32,False
2016-06-01,0,16,1,3,26,False
2016-07-01,1,16,0,3,28,False
2016-08-01,0,21,1,3,18,False
2016-09-01,1,18,1,4,25,False
2016-10-01,0,19,0,3,24,False
2016-11-01,1,24,0,5,33,False
2016-12-01,2,18,0,7,19,False
2017-01-01,1,23,1,2,18,False
2017-02-01,0,16,1,3,21,False
2017-03-01,0,14,1,4,18,False
2017-04-01,1,16,2,4,19,False
2017-05-01,0,16,0,4,24,False
2017-06-01,0,19,0,15,19,False
2017-07-01,0,18,1,6,20,False
2017-08-01,0,18,1,3,18,False
2017-09-01,1,17,1,4,18,False
2017-10-01,1,19,0,4,16,False
2017-11-01,1,18,1,3,14,False
2017-12-01,1,14,1,3,14,False
2018-01-01,0,16,0,5,19,False
2018-02-01,1,16,0,5,17,False
2018-03-01,0,14,1,5,14,False
2018-04-01,0,15,0,5,16,False
2018-05-01,0,15,0,2,17,False
2018-06-01,0,14,0,3,17,False
2018-07-01,0,15,0,2,16,False
2018-08-01,0,21,0,2,17,False
2018-09-01,0,21,1,2,18,False
2018-10-01,0,16,0,3,20,False
2018-11-01,0,16,1,4,17,False
2018-12-01,0,13,0,2,16,False
2019-01-01,0,18,1,2,16,False
2019-02-01,1,15,1,2,19,False
2019-03-01,0,15,0,3,15,False
2019-04-01,0,16,1,3,19,False
2019-05-01,0,17,1,2,16,False
2019-06-01,0,14,1,5,17,False
2019-07-01,0,18,0,4,24,False
2019-08-01,0,19,1,2,20,False
2019-09-01,0,14,1,3,17,False
2019-10-01,0,17,0,4,16,False
2019-11-01,0,20,1,3,16,False
2019-12-01,1,14,1,3,19,False
2020-01-01,0,13,1,2,28,False
2020-02-01,0,14,0,3,54,False
2020-03-01,0,12,1,3,21,False
2020-04-01,0,10,0,1,17,False
2020-05-01,0,12,1,3,14,False
2020-06-01,1,16,0,2,16,False
2020-07-01,0,13,0,1,34,False
2020-08-01,0,13,1,1,27,False
2020-09-01,0,14,1,6,19,False
2020-10-01,0,13,0,6,21,False
