date,Aomawa Shields,David Sedlak,James Veitch,Melvin Russell,Iraola,isPartial
2004-01-01,0,0,0,15,22,False
2004-02-01,0,0,0,0,59,False
2004-03-01,0,18,0,0,18,False
2004-04-01,0,0,0,14,19,False
2004-05-01,0,12,0,0,16,False
2004-06-01,0,0,0,0,18,False
2004-07-01,0,0,13,13,17,False
2004-08-01,0,0,0,0,20,False
2004-09-01,0,11,0,11,27,False
2004-10-01,0,11,0,0,26,False
2004-11-01,0,0,11,0,34,False
2004-12-01,0,0,0,0,21,False
2005-01-01,0,9,9,0,30,False
2005-02-01,0,0,10,10,24,False
2005-03-01,0,0,0,8,19,False
2005-04-01,0,0,0,18,24,False
2005-05-01,0,8,8,8,26,False
2005-06-01,0,0,0,0,29,False
2005-07-01,0,0,0,0,24,False
2005-08-01,0,0,0,8,21,False
2005-09-01,0,7,7,0,28,False
2005-10-01,0,0,0,0,27,False
2005-11-01,0,0,0,0,26,False
2005-12-01,0,0,0,6,22,False
2006-01-01,0,0,0,0,17,False
2006-02-01,0,6,6,0,22,False
2006-03-01,0,5,0,5,37,False
2006-04-01,0,5,0,5,24,False
2006-05-01,0,0,0,5,23,False
2006-06-01,0,5,5,0,26,False
2006-07-01,0,5,0,0,31,False
2006-08-01,0,5,5,5,19,False
2006-09-01,0,0,0,5,17,False
2006-10-01,0,0,0,0,27,False
2006-11-01,0,0,0,6,24,False
2006-12-01,0,0,4,4,21,False
2007-01-01,4,0,7,0,27,False
2007-02-01,0,0,4,4,23,False
2007-03-01,0,0,10,0,38,False
2007-04-01,0,4,0,4,25,False
2007-05-01,0,3,3,3,24,False
2007-06-01,0,0,3,5,26,False
2007-07-01,0,0,5,3,22,False
2007-08-01,0,0,0,3,17,False
2007-09-01,0,0,3,4,32,False
2007-10-01,0,3,0,3,23,False
2007-11-01,0,0,3,3,20,False
2007-12-01,0,3,3,0,28,False
2008-01-01,0,2,4,3,18,False
2008-02-01,2,0,2,4,28,False
2008-03-01,0,2,2,2,25,False
2008-04-01,0,2,2,2,26,False
2008-05-01,0,2,0,2,27,False
2008-06-01,0,2,3,2,23,False
2008-07-01,2,2,2,0,15,False
2008-08-01,0,2,2,3,32,False
2008-09-01,2,0,0,2,35,False
2008-10-01,0,2,0,2,30,False
2008-11-01,0,4,4,4,30,False
2008-12-01,0,0,2,2,25,False
2009-01-01,0,0,2,4,29,False
2009-02-01,0,2,0,2,34,False
2009-03-01,0,2,2,2,24,False
2009-04-01,0,2,3,2,31,False
2009-05-01,0,0,0,3,39,False
2009-06-01,0,2,2,2,26,False
2009-07-01,2,2,2,2,26,False
2009-08-01,2,0,2,3,32,False
2009-09-01,0,2,2,2,38,False
2009-10-01,0,2,1,3,28,False
2009-11-01,0,0,3,2,36,False
2009-12-01,0,2,0,1,26,False
2010-01-01,0,0,1,1,34,False
2010-02-01,0,0,0,2,18,False
2010-03-01,0,2,2,2,26,False
2010-04-01,0,1,2,3,27,False
2010-05-01,0,1,3,2,23,False
2010-06-01,0,1,1,2,29,False
2010-07-01,0,0,2,1,20,False
2010-08-01,0,1,0,1,27,False
2010-09-01,0,0,1,2,31,False
2010-10-01,0,1,0,1,34,False
2010-11-01,0,0,1,1,41,False
2010-12-01,0,1,1,1,34,False
2011-01-01,0,0,1,2,28,False
2011-02-01,0,0,1,1,37,False
2011-03-01,0,1,0,1,45,False
2011-04-01,0,2,1,1,33,False
2011-05-01,0,0,2,1,31,False
2011-06-01,0,0,2,0,32,False
2011-07-01,1,1,0,1,27,False
2011-08-01,0,1,3,2,41,False
2011-09-01,0,0,1,2,33,False
2011-10-01,0,1,0,2,31,False
2011-11-01,0,1,1,1,28,False
2011-12-01,0,0,1,1,27,False
2012-01-01,0,0,0,1,25,False
2012-02-01,0,0,1,3,30,False
2012-03-01,0,1,0,2,53,False
2012-04-01,0,2,1,2,33,False
2012-05-01,0,0,1,2,40,False
2012-06-01,0,1,1,1,31,False
2012-07-01,0,1,1,1,22,False
2012-08-01,0,1,1,1,23,False
2012-09-01,0,1,0,4,26,False
2012-10-01,1,0,1,2,25,False
2012-11-01,1,1,1,1,26,False
2012-12-01,0,1,1,1,23,False
2013-01-01,1,0,0,2,23,False
2013-02-01,0,1,1,1,24,False
2013-03-01,0,1,1,1,23,False
2013-04-01,0,1,1,1,25,False
2013-05-01,0,0,1,1,20,False
2013-06-01,0,1,0,2,23,False
2013-07-01,0,1,1,1,23,False
2013-08-01,0,1,1,2,24,False
2013-09-01,0,1,1,2,30,False
2013-10-01,0,1,1,2,26,False
2013-11-01,1,0,1,1,23,False
2013-12-01,1,1,1,1,24,False
2014-01-01,1,1,1,2,22,False
2014-02-01,0,1,1,1,25,False
2014-03-01,1,0,1,2,28,False
2014-04-01,0,2,1,2,21,False
2014-05-01,1,1,1,1,24,False
2014-06-01,0,1,1,1,20,False
2014-07-01,0,1,1,1,25,False
2014-08-01,1,1,2,1,33,False
2014-09-01,0,1,1,1,35,False
2014-10-01,0,1,1,1,27,False
2014-11-01,0,1,1,1,25,False
2014-12-01,1,1,0,2,21,False
2015-01-01,0,1,1,1,21,False
2015-02-01,0,1,1,2,26,False
2015-03-01,0,1,1,1,36,False
2015-04-01,0,1,1,2,37,False
2015-05-01,0,0,1,1,98,False
2015-06-01,0,0,1,2,44,False
2015-07-01,0,1,2,1,49,False
2015-08-01,0,1,6,2,34,False
2015-09-01,0,1,5,5,29,False
2015-10-01,0,0,2,1,24,False
2015-11-01,0,0,1,2,22,False
2015-12-01,0,0,1,2,20,False
2016-01-01,2,1,26,2,24,False
2016-02-01,1,1,22,1,23,False
2016-03-01,1,1,18,1,25,False
2016-04-01,1,1,13,2,18,False
2016-05-01,1,0,10,2,31,False
2016-06-01,1,1,15,1,25,False
2016-07-01,0,1,6,1,27,False
2016-08-01,0,1,9,2,18,False
2016-09-01,1,1,19,4,25,False
2016-10-01,0,1,12,3,23,False
2016-11-01,0,1,16,1,33,False
2016-12-01,0,1,15,3,19,False
2017-01-01,0,2,27,0,18,False
2017-02-01,0,1,43,1,21,False
2017-03-01,1,1,24,1,18,False
2017-04-01,0,1,23,1,18,False
2017-05-01,0,1,21,1,23,False
2017-06-01,0,1,15,1,18,False
2017-07-01,0,0,15,0,19,False
2017-08-01,0,2,15,1,17,False
2017-09-01,0,1,29,1,17,False
2017-10-01,0,1,100,2,16,False
2017-11-01,0,0,44,3,14,False
2017-12-01,1,0,34,2,14,False
2018-01-01,1,1,36,1,19,False
2018-02-01,0,1,40,1,16,False
2018-03-01,0,1,47,2,13,False
2018-04-01,0,1,51,1,16,False
2018-05-01,1,1,59,1,17,False
2018-06-01,0,1,57,2,17,False
2018-07-01,0,0,54,2,15,False
2018-08-01,0,1,52,1,17,False
2018-09-01,0,1,54,3,18,False
2018-10-01,1,0,66,2,20,False
2018-11-01,0,1,44,1,17,False
2018-12-01,0,0,30,3,15,False
2019-01-01,0,0,32,1,16,False
2019-02-01,0,0,47,2,18,False
2019-03-01,0,0,40,2,15,False
2019-04-01,0,1,30,2,19,False
2019-05-01,0,0,37,1,15,False
2019-06-01,1,1,28,1,17,False
2019-07-01,0,0,27,2,24,False
2019-08-01,0,2,29,4,19,False
2019-09-01,1,1,28,3,17,False
2019-10-01,0,1,31,2,16,False
2019-11-01,0,1,25,2,16,False
2019-12-01,0,1,31,1,18,False
2020-01-01,0,0,29,1,28,False
2020-02-01,0,1,23,1,53,False
2020-03-01,0,0,15,1,21,False
2020-04-01,0,1,18,1,17,False
2020-05-01,0,0,36,1,13,False
2020-06-01,0,1,25,2,16,False
2020-07-01,0,0,24,1,33,False
2020-08-01,1,1,35,1,26,False
2020-09-01,0,0,57,2,19,False
2020-10-01,1,3,17,1,21,False
