date,Andrés Ruzo,Judson Brewer,Pardis Sabeti,Matthew Williams,Iraola,isPartial
2004-01-01,0,0,0,37,17,False
2004-02-01,0,0,0,70,44,False
2004-03-01,0,0,0,45,14,False
2004-04-01,0,0,0,32,14,False
2004-05-01,0,0,0,21,12,False
2004-06-01,0,0,0,33,14,False
2004-07-01,0,0,0,35,13,False
2004-08-01,0,0,0,41,15,False
2004-09-01,0,0,0,32,20,False
2004-10-01,0,0,8,36,19,False
2004-11-01,0,0,8,33,25,False
2004-12-01,0,8,8,41,15,False
2005-01-01,0,0,13,34,23,False
2005-02-01,0,0,0,45,18,False
2005-03-01,0,0,6,32,14,False
2005-04-01,0,0,0,36,18,False
2005-05-01,0,0,0,39,20,False
2005-06-01,0,0,0,43,22,False
2005-07-01,0,0,0,40,18,False
2005-08-01,0,0,6,48,15,False
2005-09-01,0,0,0,32,21,False
2005-10-01,0,5,0,28,20,False
2005-11-01,0,0,0,40,20,False
2005-12-01,0,0,5,37,16,False
2006-01-01,0,0,4,44,13,False
2006-02-01,0,4,0,57,16,False
2006-03-01,0,0,0,28,28,False
2006-04-01,0,4,4,27,18,False
2006-05-01,0,0,4,30,17,False
2006-06-01,0,0,4,21,20,False
2006-07-01,0,0,4,38,23,False
2006-08-01,0,0,0,27,14,False
2006-09-01,0,0,5,40,13,False
2006-10-01,0,0,0,32,20,False
2006-11-01,0,0,0,16,18,False
2006-12-01,0,0,3,26,16,False
2007-01-01,0,3,0,21,20,False
2007-02-01,0,0,3,28,17,False
2007-03-01,0,0,5,20,28,False
2007-04-01,0,0,0,27,18,False
2007-05-01,0,0,5,26,18,False
2007-06-01,0,0,2,24,20,False
2007-07-01,0,0,11,22,16,False
2007-08-01,0,0,3,28,12,False
2007-09-01,0,0,2,28,23,False
2007-10-01,0,0,6,23,17,False
2007-11-01,0,2,8,23,15,False
2007-12-01,0,0,3,23,21,False
2008-01-01,0,0,7,25,14,False
2008-02-01,0,2,4,26,21,False
2008-03-01,0,2,3,29,19,False
2008-04-01,0,2,3,27,20,False
2008-05-01,0,0,3,20,20,False
2008-06-01,0,0,3,31,17,False
2008-07-01,0,0,11,30,11,False
2008-08-01,0,0,2,21,24,False
2008-09-01,0,0,4,23,26,False
2008-10-01,0,0,3,23,22,False
2008-11-01,0,1,4,27,23,False
2008-12-01,0,0,11,25,18,False
2009-01-01,0,0,5,26,22,False
2009-02-01,0,1,6,26,25,False
2009-03-01,0,1,2,23,18,False
2009-04-01,0,1,6,30,23,False
2009-05-01,0,0,3,36,29,False
2009-06-01,0,0,4,24,20,False
2009-07-01,0,1,2,26,19,False
2009-08-01,0,2,4,22,24,False
2009-09-01,0,1,0,32,28,False
2009-10-01,0,1,4,28,21,False
2009-11-01,0,1,1,28,27,False
2009-12-01,0,0,2,25,20,False
2010-01-01,0,0,3,31,26,False
2010-02-01,0,1,2,100,13,False
2010-03-01,0,1,3,50,19,False
2010-04-01,0,0,5,34,20,False
2010-05-01,0,1,3,53,17,False
2010-06-01,0,1,3,53,21,False
2010-07-01,0,0,2,43,15,False
2010-08-01,0,1,1,36,20,False
2010-09-01,0,0,1,35,23,False
2010-10-01,0,1,1,27,25,False
2010-11-01,0,0,1,36,31,False
2010-12-01,0,0,2,22,25,False
2011-01-01,0,1,2,30,21,False
2011-02-01,0,1,3,31,28,False
2011-03-01,0,0,3,27,33,False
2011-04-01,0,0,2,29,25,False
2011-05-01,0,1,1,25,23,False
2011-06-01,0,1,3,29,24,False
2011-07-01,0,0,2,30,20,False
2011-08-01,0,1,5,25,31,False
2011-09-01,0,1,3,33,25,False
2011-10-01,0,1,1,27,23,False
2011-11-01,0,1,2,23,21,False
2011-12-01,0,1,3,32,20,False
2012-01-01,0,1,2,32,19,False
2012-02-01,0,1,3,29,22,False
2012-03-01,0,1,2,26,40,False
2012-04-01,0,1,3,28,25,False
2012-05-01,0,1,2,32,30,False
2012-06-01,0,1,2,25,23,False
2012-07-01,0,1,3,31,17,False
2012-08-01,0,1,2,32,17,False
2012-09-01,0,1,2,27,19,False
2012-10-01,0,0,2,27,18,False
2012-11-01,0,0,2,25,19,False
2012-12-01,0,0,2,26,17,False
2013-01-01,0,0,2,27,17,False
2013-02-01,0,0,4,26,18,False
2013-03-01,0,0,2,25,17,False
2013-04-01,0,0,3,26,19,False
2013-05-01,0,1,2,26,15,False
2013-06-01,0,1,3,27,17,False
2013-07-01,0,1,1,31,17,False
2013-08-01,0,1,2,27,18,False
2013-09-01,0,1,0,26,22,False
2013-10-01,0,1,2,24,19,False
2013-11-01,0,1,1,24,17,False
2013-12-01,0,1,2,24,18,False
2014-01-01,0,1,3,27,16,False
2014-02-01,0,1,2,29,18,False
2014-03-01,0,1,2,39,21,False
2014-04-01,0,1,2,29,16,False
2014-05-01,1,1,2,26,18,False
2014-06-01,0,0,1,22,15,False
2014-07-01,0,1,1,27,19,False
2014-08-01,0,0,4,63,25,False
2014-09-01,0,1,6,27,26,False
2014-10-01,0,1,9,26,20,False
2014-11-01,0,1,3,77,19,False
2014-12-01,0,1,9,32,16,False
2015-01-01,0,0,3,25,16,False
2015-02-01,0,0,3,29,19,False
2015-03-01,0,1,3,25,27,False
2015-04-01,0,0,6,29,28,False
2015-05-01,0,1,3,26,73,False
2015-06-01,0,1,3,31,32,False
2015-07-01,0,0,2,31,37,False
2015-08-01,0,1,2,26,25,False
2015-09-01,0,0,2,30,22,False
2015-10-01,0,1,2,28,18,False
2015-11-01,0,0,3,26,17,False
2015-12-01,0,0,2,25,15,False
2016-01-01,0,0,2,25,18,False
2016-02-01,1,6,3,24,17,False
2016-03-01,0,5,2,26,19,False
2016-04-01,0,4,4,25,13,False
2016-05-01,0,2,2,24,23,False
2016-06-01,0,2,2,29,19,False
2016-07-01,0,2,1,23,20,False
2016-08-01,0,1,2,23,13,False
2016-09-01,0,1,2,23,19,False
2016-10-01,0,1,1,37,17,False
2016-11-01,0,2,1,20,24,False
2016-12-01,0,2,1,22,14,False
2017-01-01,0,2,3,25,13,False
2017-02-01,0,3,4,25,15,False
2017-03-01,0,3,2,27,13,False
2017-04-01,0,3,2,26,14,False
2017-05-01,0,2,4,22,17,False
2017-06-01,0,2,2,23,14,False
2017-07-01,0,2,4,22,15,False
2017-08-01,0,2,1,23,13,False
2017-09-01,0,1,2,26,13,False
2017-10-01,0,2,2,21,12,False
2017-11-01,0,2,2,22,10,False
2017-12-01,0,2,2,19,10,False
2018-01-01,0,3,2,22,14,False
2018-02-01,1,2,2,21,12,False
2018-03-01,0,3,1,22,10,False
2018-04-01,0,4,2,24,12,False
2018-05-01,0,2,2,23,13,False
2018-06-01,0,2,1,27,13,False
2018-07-01,0,1,1,31,11,False
2018-08-01,0,2,1,25,13,False
2018-09-01,0,3,2,26,13,False
2018-10-01,0,2,1,22,15,False
2018-11-01,0,3,2,22,12,False
2018-12-01,0,2,1,20,12,False
2019-01-01,0,2,1,23,12,False
2019-02-01,0,4,2,30,14,False
2019-03-01,0,3,2,23,11,False
2019-04-01,0,3,1,25,14,False
2019-05-01,0,2,2,23,11,False
2019-06-01,0,2,1,25,12,False
2019-07-01,0,2,1,25,18,False
2019-08-01,0,2,1,29,14,False
2019-09-01,0,2,1,25,13,False
2019-10-01,0,2,1,30,12,False
2019-11-01,0,2,2,26,12,False
2019-12-01,0,5,1,23,14,False
2020-01-01,0,3,1,29,21,False
2020-02-01,0,2,2,29,39,False
2020-03-01,0,3,4,22,16,False
2020-04-01,0,3,1,27,12,False
2020-05-01,0,2,2,25,10,False
2020-06-01,0,3,1,42,12,False
2020-07-01,0,3,1,24,25,False
2020-08-01,0,1,2,24,20,False
2020-09-01,0,3,1,23,14,False
2020-10-01,0,2,2,30,16,False
