date,Dave Eggers,Karen Armstrong,Neil Turok,Norman Foster,Iraola,isPartial
2004-01-01,21,5,4,53,3,False
2004-02-01,20,12,0,54,9,False
2004-03-01,17,28,0,42,3,False
2004-04-01,15,22,0,48,3,False
2004-05-01,19,15,0,41,2,False
2004-06-01,16,13,2,51,3,False
2004-07-01,21,9,2,37,3,False
2004-08-01,21,20,0,30,3,False
2004-09-01,23,12,2,48,4,False
2004-10-01,20,11,0,53,4,False
2004-11-01,17,12,0,50,5,False
2004-12-01,18,12,3,100,3,False
2005-01-01,21,13,0,48,4,False
2005-02-01,19,12,0,56,4,False
2005-03-01,13,15,0,43,3,False
2005-04-01,16,12,0,38,4,False
2005-05-01,17,9,1,42,4,False
2005-06-01,20,9,1,32,4,False
2005-07-01,16,12,0,37,4,False
2005-08-01,13,11,0,34,3,False
2005-09-01,13,13,0,44,4,False
2005-10-01,12,12,0,44,4,False
2005-11-01,16,12,1,47,4,False
2005-12-01,16,11,1,34,3,False
2006-01-01,17,10,1,36,3,False
2006-02-01,10,12,1,40,3,False
2006-03-01,8,13,0,45,5,False
2006-04-01,13,20,1,36,3,False
2006-05-01,11,8,1,46,3,False
2006-06-01,11,12,0,32,4,False
2006-07-01,13,8,0,27,5,False
2006-08-01,13,12,2,32,3,False
2006-09-01,7,14,1,39,3,False
2006-10-01,12,8,1,37,4,False
2006-11-01,18,10,1,39,4,False
2006-12-01,13,12,0,29,3,False
2007-01-01,13,9,1,35,4,False
2007-02-01,15,5,0,31,3,False
2007-03-01,9,8,1,32,6,False
2007-04-01,9,6,1,30,4,False
2007-05-01,12,6,0,32,4,False
2007-06-01,14,7,0,29,4,False
2007-07-01,9,8,1,20,3,False
2007-08-01,10,8,1,23,2,False
2007-09-01,9,7,0,54,5,False
2007-10-01,10,9,1,37,3,False
2007-11-01,11,8,0,37,3,False
2007-12-01,11,10,1,29,4,False
2008-01-01,11,7,1,33,3,False
2008-02-01,9,9,1,30,4,False
2008-03-01,11,10,1,33,4,False
2008-04-01,10,8,1,29,4,False
2008-05-01,9,9,2,27,4,False
2008-06-01,8,6,0,23,3,False
2008-07-01,9,6,0,21,2,False
2008-08-01,8,6,0,20,5,False
2008-09-01,8,7,0,25,5,False
2008-10-01,7,6,1,27,4,False
2008-11-01,6,7,1,28,4,False
2008-12-01,8,7,1,21,4,False
2009-01-01,7,7,1,21,4,False
2009-02-01,7,5,0,22,5,False
2009-03-01,11,12,0,25,4,False
2009-04-01,8,6,1,21,5,False
2009-05-01,10,7,0,29,6,False
2009-06-01,15,6,1,19,4,False
2009-07-01,12,7,0,17,4,False
2009-08-01,13,7,0,18,5,False
2009-09-01,13,16,0,24,6,False
2009-10-01,19,14,0,26,4,False
2009-11-01,13,14,0,23,5,False
2009-12-01,13,10,0,18,4,False
2010-01-01,11,9,0,19,5,False
2010-02-01,10,8,0,19,3,False
2010-03-01,11,7,0,21,4,False
2010-04-01,9,6,1,17,4,False
2010-05-01,9,6,0,18,3,False
2010-06-01,9,6,1,16,4,False
2010-07-01,10,6,1,14,3,False
2010-08-01,11,7,1,15,4,False
2010-09-01,9,6,0,17,5,False
2010-10-01,10,7,1,23,5,False
2010-11-01,10,6,0,21,6,False
2010-12-01,7,7,0,17,5,False
2011-01-01,8,13,0,18,4,False
2011-02-01,7,9,0,22,5,False
2011-03-01,6,9,1,20,7,False
2011-04-01,6,7,0,18,5,False
2011-05-01,7,5,1,19,5,False
2011-06-01,7,5,0,16,5,False
2011-07-01,6,8,0,12,4,False
2011-08-01,6,7,0,15,6,False
2011-09-01,7,6,0,17,5,False
2011-10-01,5,6,0,19,5,False
2011-11-01,6,5,0,22,4,False
2011-12-01,4,5,0,17,4,False
2012-01-01,6,5,0,17,4,False
2012-02-01,5,5,0,16,4,False
2012-03-01,5,5,0,16,8,False
2012-04-01,5,6,0,14,5,False
2012-05-01,5,4,0,16,6,False
2012-06-01,7,4,0,13,5,False
2012-07-01,7,5,1,12,3,False
2012-08-01,7,5,0,11,3,False
2012-09-01,6,5,1,16,4,False
2012-10-01,5,5,2,17,4,False
2012-11-01,6,4,1,15,4,False
2012-12-01,7,4,1,14,3,False
2013-01-01,6,5,1,15,3,False
2013-02-01,6,4,0,14,4,False
2013-03-01,5,4,1,14,3,False
2013-04-01,5,4,1,18,4,False
2013-05-01,4,4,0,15,3,False
2013-06-01,4,6,0,12,3,False
2013-07-01,4,5,0,11,3,False
2013-08-01,6,4,0,11,3,False
2013-09-01,6,4,0,14,4,False
2013-10-01,14,4,1,15,4,False
2013-11-01,12,5,0,14,3,False
2013-12-01,12,6,0,12,4,False
2014-01-01,10,4,0,15,3,False
2014-02-01,8,4,0,15,4,False
2014-03-01,7,4,1,14,4,False
2014-04-01,7,4,1,15,3,False
2014-05-01,6,4,0,12,4,False
2014-06-01,7,3,0,11,3,False
2014-07-01,9,5,0,9,4,False
2014-08-01,11,4,0,11,5,False
2014-09-01,10,5,0,25,5,False
2014-10-01,8,5,0,14,4,False
2014-11-01,7,6,0,13,4,False
2014-12-01,7,5,0,11,3,False
2015-01-01,7,8,0,12,3,False
2015-02-01,6,6,0,12,4,False
2015-03-01,7,4,0,12,5,False
2015-04-01,6,4,0,12,5,False
2015-05-01,5,4,0,11,15,False
