date,Jamila Raqib,Andrew Pelling,Tristan Harris,Gill Hicks,Iraola,isPartial
2004-01-01,0,0,17,0,13,False
2004-02-01,0,0,0,0,34,False
2004-03-01,0,0,0,0,10,False
2004-04-01,0,0,0,0,11,False
2004-05-01,0,0,0,0,9,False
2004-06-01,0,7,0,7,10,False
2004-07-01,0,0,0,7,10,False
2004-08-01,0,0,0,7,11,False
2004-09-01,0,6,0,0,16,False
2004-10-01,0,0,6,6,15,False
2004-11-01,0,0,0,0,19,False
2004-12-01,0,6,0,0,12,False
2005-01-01,0,0,0,0,17,False
2005-02-01,0,5,6,6,14,False
2005-03-01,0,0,0,5,11,False
2005-04-01,0,15,5,5,14,False
2005-05-01,0,14,0,0,15,False
2005-06-01,0,5,0,0,17,False
2005-07-01,0,7,5,9,14,False
2005-08-01,0,4,6,0,12,False
2005-09-01,0,4,8,4,16,False
2005-10-01,0,4,0,4,15,False
2005-11-01,0,0,4,4,15,False
2005-12-01,0,4,0,17,12,False
2006-01-01,0,0,3,3,10,False
2006-02-01,0,3,0,7,12,False
2006-03-01,0,0,0,6,21,False
2006-04-01,0,0,3,3,14,False
2006-05-01,0,3,6,3,13,False
2006-06-01,0,0,0,5,15,False
2006-07-01,0,0,6,4,18,False
2006-08-01,0,0,0,0,11,False
2006-09-01,0,5,0,4,10,False
2006-10-01,0,4,2,4,15,False
2006-11-01,0,0,2,2,14,False
2006-12-01,2,2,2,2,12,False
2007-01-01,0,4,0,2,16,False
2007-02-01,0,3,3,4,13,False
2007-03-01,0,2,0,2,22,False
2007-04-01,0,0,0,6,14,False
2007-05-01,0,3,0,4,14,False
2007-06-01,0,2,2,5,15,False
2007-07-01,0,3,2,6,12,False
2007-08-01,0,3,0,3,10,False
2007-09-01,0,11,2,0,18,False
2007-10-01,0,1,1,4,13,False
2007-11-01,0,2,1,2,12,False
2007-12-01,0,2,5,2,16,False
2008-01-01,0,2,1,3,10,False
2008-02-01,0,1,1,4,16,False
2008-03-01,0,1,1,3,14,False
2008-04-01,0,2,0,3,15,False
2008-05-01,0,2,1,2,15,False
2008-06-01,0,0,1,6,13,False
2008-07-01,0,0,2,3,8,False
2008-08-01,0,2,0,6,18,False
2008-09-01,0,1,1,3,20,False
2008-10-01,1,1,1,3,17,False
2008-11-01,0,1,0,3,17,False
2008-12-01,0,4,0,1,14,False
