date,Christopher deCharms,Clifford Stoll,Rokia Traore,Siegfried Woldhek,Iraola,isPartial
2004-01-01,15,37,59,0,15,False
2004-02-01,0,15,45,0,45,False
2004-03-01,0,18,37,0,18,False
2004-04-01,0,0,35,0,21,False
2004-05-01,0,12,55,0,12,False
2004-06-01,0,18,24,0,18,False
2004-07-01,0,19,39,0,13,False
2004-08-01,0,12,30,12,18,False
2004-09-01,0,16,60,0,27,False
2004-10-01,0,28,67,0,17,False
2004-11-01,0,17,34,0,28,False
2004-12-01,0,10,47,0,21,False
2005-01-01,0,18,27,0,27,False
2005-02-01,0,10,58,0,24,False
2005-03-01,0,16,32,0,16,False
2005-04-01,0,18,27,0,27,False
2005-05-01,0,16,16,0,32,False
2005-06-01,0,32,16,0,32,False
2005-07-01,8,16,28,8,20,False
2005-08-01,0,0,20,8,16,False
2005-09-01,0,14,11,0,25,False
2005-10-01,0,27,17,0,33,False
2005-11-01,0,7,13,0,33,False
2005-12-01,0,0,20,0,26,False
2006-01-01,0,11,14,0,17,False
2006-02-01,0,15,36,0,21,False
2006-03-01,0,15,10,0,35,False
2006-04-01,0,11,5,5,22,False
2006-05-01,0,7,7,0,32,False
2006-06-01,0,0,8,0,29,False
2006-07-01,0,5,0,0,29,False
2006-08-01,0,14,0,0,19,False
2006-09-01,0,5,5,0,12,False
2006-10-01,4,6,11,0,19,False
2006-11-01,0,6,10,4,31,False
2006-12-01,0,6,13,4,24,False
2007-01-01,0,4,7,0,22,False
2007-02-01,0,8,8,0,21,False
2007-03-01,0,7,15,0,36,False
2007-04-01,0,7,18,0,27,False
2007-05-01,0,6,20,0,21,False
2007-06-01,0,5,11,0,22,False
2007-07-01,0,6,23,0,26,False
2007-08-01,0,4,10,0,18,False
2007-09-01,3,4,20,0,29,False
2007-10-01,0,9,10,0,21,False
2007-11-01,0,6,13,0,20,False
2007-12-01,0,5,11,3,27,False
2008-01-01,0,5,7,2,21,False
2008-02-01,0,6,11,0,33,False
2008-03-01,0,38,11,0,18,False
2008-04-01,3,26,9,5,28,False
2008-05-01,2,14,20,4,30,False
2008-06-01,0,8,31,0,22,False
2008-07-01,2,6,17,0,14,False
2008-08-01,0,4,24,2,32,False
2008-09-01,4,14,30,0,35,False
2008-10-01,0,8,36,0,31,False
2008-11-01,2,12,30,2,33,False
2008-12-01,0,10,25,0,25,False
2009-01-01,2,9,22,0,25,False
2009-02-01,2,15,32,2,39,False
2009-03-01,0,9,30,0,29,False
2009-04-01,2,5,37,2,35,False
2009-05-01,0,7,29,0,42,False
2009-06-01,0,4,24,0,25,False
2009-07-01,0,6,27,0,24,False
2009-08-01,0,4,15,0,32,False
2009-09-01,0,7,11,2,43,False
2009-10-01,0,8,21,0,24,False
2009-11-01,1,7,32,1,36,False
2009-12-01,1,9,15,0,25,False
2010-01-01,3,9,15,1,35,False
2010-02-01,1,29,10,1,17,False
2010-03-01,1,26,25,1,24,False
2010-04-01,0,11,20,0,30,False
2010-05-01,0,8,12,0,21,False
2010-06-01,0,9,7,0,29,False
2010-07-01,1,9,19,0,21,False
2010-08-01,2,7,10,0,25,False
2010-09-01,0,9,7,1,29,False
2010-10-01,0,8,14,0,30,False
2010-11-01,1,13,10,0,37,False
2010-12-01,1,10,8,0,38,False
2011-01-01,2,6,8,1,24,False
2011-02-01,1,6,8,2,39,False
2011-03-01,0,9,5,0,45,False
2011-04-01,0,8,7,1,30,False
2011-05-01,1,8,9,0,32,False
2011-06-01,1,10,4,1,35,False
2011-07-01,0,7,6,1,26,False
2011-08-01,0,5,6,0,36,False
2011-09-01,0,7,6,0,37,False
2011-10-01,0,6,6,1,33,False
2011-11-01,1,5,13,0,27,False
2011-12-01,0,7,8,0,26,False
2012-01-01,1,7,8,2,26,False
2012-02-01,1,6,7,1,30,False
2012-03-01,0,7,4,1,50,False
2012-04-01,1,6,8,1,35,False
2012-05-01,0,7,8,1,38,False
2012-06-01,0,6,10,1,30,False
2012-07-01,1,4,7,1,22,False
2012-08-01,0,4,8,0,21,False
2012-09-01,1,5,10,0,23,False
2012-10-01,1,5,9,1,26,False
2012-11-01,1,4,6,1,24,False
2012-12-01,1,5,8,0,23,False
2013-01-01,0,2,14,1,23,False
2013-02-01,1,5,9,0,26,False
2013-03-01,0,3,12,0,23,False
2013-04-01,1,2,35,0,23,False
2013-05-01,0,3,22,0,17,False
2013-06-01,1,4,20,1,24,False
2013-07-01,1,2,23,1,20,False
2013-08-01,0,2,13,1,22,False
2013-09-01,0,3,13,1,28,False
2013-10-01,0,3,15,1,24,False
2013-11-01,0,3,18,1,22,False
2013-12-01,1,14,12,1,25,False
2014-01-01,1,5,9,1,21,False
2014-02-01,1,5,12,1,25,False
2014-03-01,1,6,9,1,29,False
2014-04-01,0,3,14,1,21,False
2014-05-01,1,2,11,1,25,False
2014-06-01,0,4,9,0,20,False
2014-07-01,0,2,5,1,27,False
2014-08-01,0,2,5,0,33,False
2014-09-01,0,2,7,0,35,False
2014-10-01,1,3,8,1,27,False
2014-11-01,0,2,6,2,30,False
2014-12-01,1,2,6,2,23,False
2015-01-01,0,2,5,1,23,False
2015-02-01,0,4,5,1,25,False
2015-03-01,0,6,4,0,37,False
2015-04-01,1,2,6,1,39,False
2015-05-01,0,1,9,0,100,False
2015-06-01,0,3,4,0,40,False
2015-07-01,0,1,3,0,48,False
2015-08-01,0,2,3,1,37,False
2015-09-01,0,1,6,0,28,False
2015-10-01,0,3,5,1,23,False
2015-11-01,0,4,8,0,23,False
2015-12-01,0,2,7,0,19,False
2016-01-01,0,3,9,0,21,False
2016-02-01,0,2,31,1,24,False
2016-03-01,0,2,14,1,25,False
2016-04-01,0,2,6,0,19,False
2016-05-01,0,2,7,0,31,False
2016-06-01,0,1,6,0,27,False
2016-07-01,0,1,7,0,29,False
2016-08-01,0,2,8,1,18,False
2016-09-01,0,3,7,0,24,False
2016-10-01,0,1,5,0,26,False
2016-11-01,0,3,7,0,34,False
2016-12-01,0,1,7,0,17,False
2017-01-01,0,1,7,0,19,False
2017-02-01,0,1,6,1,22,False
2017-03-01,0,4,6,0,18,False
2017-04-01,0,1,5,1,18,False
2017-05-01,0,2,4,4,24,False
2017-06-01,0,2,6,0,18,False
2017-07-01,0,2,5,0,19,False
2017-08-01,0,2,5,0,19,False
2017-09-01,0,2,4,1,17,False
2017-10-01,0,2,4,1,16,False
2017-11-01,0,2,5,7,15,False
2017-12-01,0,2,4,1,13,False
2018-01-01,0,1,5,0,18,False
2018-02-01,0,4,4,0,15,False
2018-03-01,0,1,5,0,12,False
2018-04-01,1,1,2,0,16,False
2018-05-01,0,1,5,2,18,False
2018-06-01,0,1,2,1,19,False
2018-07-01,0,2,6,2,15,False
2018-08-01,0,2,3,0,17,False
2018-09-01,0,2,4,1,19,False
2018-10-01,0,2,3,0,21,False
2018-11-01,0,2,3,0,17,False
2018-12-01,0,2,4,0,15,False
2019-01-01,0,1,5,0,14,False
2019-02-01,0,3,4,0,18,False
2019-03-01,0,2,5,1,16,False
2019-04-01,0,1,5,1,20,False
2019-05-01,0,1,3,0,15,False
2019-06-01,0,1,4,0,18,False
2019-07-01,0,2,3,1,24,False
2019-08-01,0,0,2,0,19,False
2019-09-01,0,6,3,1,17,False
2019-10-01,0,2,2,0,17,False
2019-11-01,0,1,2,1,18,False
2019-12-01,0,2,2,0,18,False
2020-01-01,0,0,4,1,28,False
2020-02-01,0,1,2,1,52,False
2020-03-01,0,2,26,1,22,False
2020-04-01,0,1,4,0,16,False
2020-05-01,0,1,8,1,12,False
2020-06-01,0,0,4,0,16,False
2020-07-01,0,1,4,0,35,False
2020-08-01,0,1,2,1,26,False
2020-09-01,0,1,2,0,19,False
2020-10-01,0,1,4,1,21,False
