date,Victor Rios,Roger Antonsen,Sandi Toksvig,Adam Galinsky,Iraola,isPartial
2004-01-01,27,0,11,0,16,False
2004-02-01,22,0,0,11,43,False
2004-03-01,13,0,13,0,13,False
2004-04-01,10,0,10,0,14,False
2004-05-01,9,0,18,9,12,False
2004-06-01,13,0,27,0,13,False
2004-07-01,19,0,9,0,12,False
2004-08-01,17,0,9,9,14,False
2004-09-01,16,0,11,0,20,False
2004-10-01,16,0,8,0,19,False
2004-11-01,16,0,8,0,24,False
2004-12-01,0,0,8,8,15,False
2005-01-01,10,0,7,0,22,False
2005-02-01,25,0,14,7,18,False
2005-03-01,12,0,6,6,14,False
2005-04-01,15,0,26,0,17,False
2005-05-01,11,0,14,0,19,False
2005-06-01,14,0,12,0,21,False
2005-07-01,12,0,8,0,18,False
2005-08-01,15,0,9,6,15,False
2005-09-01,19,0,9,0,21,False
2005-10-01,5,0,15,5,19,False
2005-11-01,6,0,8,0,19,False
2005-12-01,9,0,19,0,16,False
2006-01-01,14,0,10,0,12,False
2006-02-01,10,0,13,4,16,False
2006-03-01,9,0,7,4,27,False
2006-04-01,11,0,9,4,17,False
2006-05-01,20,0,8,4,17,False
2006-06-01,13,0,8,4,19,False
2006-07-01,4,0,11,0,23,False
2006-08-01,14,0,4,0,14,False
2006-09-01,8,0,11,0,12,False
2006-10-01,7,0,6,0,19,False
2006-11-01,14,0,7,3,18,False
2006-12-01,5,0,6,3,16,False
2007-01-01,6,0,9,3,20,False
2007-02-01,9,0,7,3,17,False
2007-03-01,14,0,2,0,28,False
2007-04-01,9,0,6,0,18,False
2007-05-01,9,0,9,0,18,False
2007-06-01,8,0,15,0,19,False
2007-07-01,5,0,13,0,16,False
2007-08-01,9,0,3,0,12,False
2007-09-01,6,0,11,2,23,False
2007-10-01,9,0,10,4,17,False
2007-11-01,5,2,5,2,15,False
2007-12-01,8,0,9,2,20,False
2008-01-01,9,0,7,2,13,False
2008-02-01,11,2,10,2,21,False
2008-03-01,6,2,6,2,18,False
2008-04-01,10,0,3,2,19,False
2008-05-01,11,2,8,3,19,False
2008-06-01,8,0,13,0,17,False
2008-07-01,9,0,6,2,11,False
2008-08-01,12,0,2,2,23,False
2008-09-01,7,0,5,3,25,False
2008-10-01,8,1,14,3,22,False
2008-11-01,11,0,11,1,22,False
2008-12-01,6,0,8,1,18,False
2009-01-01,11,0,10,0,22,False
2009-02-01,9,0,11,1,25,False
2009-03-01,12,0,6,3,17,False
2009-04-01,9,0,11,1,23,False
2009-05-01,13,1,13,1,28,False
2009-06-01,8,0,14,1,19,False
2009-07-01,9,0,9,1,19,False
2009-08-01,9,0,7,2,23,False
2009-09-01,8,0,8,0,28,False
2009-10-01,8,0,13,1,20,False
2009-11-01,9,1,18,2,26,False
2009-12-01,12,0,24,1,19,False
2010-01-01,12,0,45,1,25,False
2010-02-01,9,0,9,2,13,False
2010-03-01,10,0,5,2,19,False
2010-04-01,11,1,8,2,20,False
2010-05-01,14,0,8,3,17,False
2010-06-01,5,0,8,0,21,False
2010-07-01,9,1,15,1,15,False
2010-08-01,8,1,12,1,19,False
2010-09-01,16,0,11,1,23,False
2010-10-01,25,0,7,1,25,False
2010-11-01,18,0,17,0,30,False
2010-12-01,19,0,24,2,25,False
2011-01-01,19,1,28,1,20,False
2011-02-01,21,1,40,1,27,False
2011-03-01,18,1,16,1,33,False
2011-04-01,16,1,14,1,24,False
2011-05-01,12,1,16,2,22,False
2011-06-01,13,1,24,1,23,False
2011-07-01,13,0,10,1,20,False
2011-08-01,10,1,16,1,30,False
