date,Jennifer Lin,Amy Smith,Ross Lovegrove,Jimmy Wales,Iraola,isPartial
2004-01-01,2,12,2,2,2,False
2004-02-01,2,12,3,2,4,False
2004-03-01,0,12,5,2,2,False
2004-04-01,2,15,3,2,4,False
2004-05-01,3,10,4,1,1,False
2004-06-01,1,7,3,1,4,False
2004-07-01,3,16,1,1,2,False
2004-08-01,1,16,5,1,3,False
2004-09-01,1,14,2,1,5,False
2004-10-01,2,17,6,0,4,False
2004-11-01,2,12,3,1,4,False
2004-12-01,2,8,2,1,4,False
2005-01-01,0,14,3,1,3,False
2005-02-01,3,9,2,3,1,False
2005-03-01,2,9,3,1,1,False
2005-04-01,2,14,2,1,1,False
2005-05-01,2,9,1,1,4,False
2005-06-01,2,8,3,1,3,False
2005-07-01,3,8,3,3,2,False
2005-08-01,1,13,3,2,1,False
2005-09-01,1,13,2,3,5,False
2005-10-01,1,9,4,2,4,False
2005-11-01,1,14,3,4,3,False
2005-12-01,2,11,1,10,3,False
2006-01-01,1,11,4,8,2,False
2006-02-01,1,10,2,1,3,False
2006-03-01,0,12,3,2,3,False
2006-04-01,3,7,2,3,3,False
2006-05-01,3,7,2,2,4,False
2006-06-01,1,6,1,4,3,False
2006-07-01,1,13,2,1,3,False
2006-08-01,1,11,3,2,2,False
2006-09-01,1,11,3,1,2,False
2006-10-01,1,11,2,2,2,False
2006-11-01,2,12,2,2,4,False
2006-12-01,1,9,2,5,3,False
2007-01-01,3,8,3,4,2,False
2007-02-01,2,11,3,3,4,False
2007-03-01,2,8,4,5,3,False
2007-04-01,1,7,4,7,3,False
2007-05-01,1,8,2,4,2,False
2007-06-01,1,9,3,3,2,False
2007-07-01,1,10,3,3,3,False
2007-08-01,0,11,3,3,3,False
2007-09-01,1,10,2,4,3,False
2007-10-01,0,8,3,4,3,False
2007-11-01,2,9,4,4,2,False
2007-12-01,2,9,3,4,2,False
2008-01-01,1,11,2,4,3,False
2008-02-01,0,8,2,2,2,False
2008-03-01,1,10,3,14,3,False
2008-04-01,1,7,2,2,4,False
2008-05-01,1,8,2,3,3,False
2008-06-01,2,9,2,4,2,False
2008-07-01,1,8,1,2,1,False
2008-08-01,1,8,1,1,4,False
2008-09-01,1,7,2,2,4,False
2008-10-01,1,8,3,4,3,False
2008-11-01,1,9,1,7,3,False
2008-12-01,1,8,2,20,3,False
2009-01-01,1,8,3,28,3,False
2009-02-01,1,7,3,3,4,False
2009-03-01,1,8,3,2,3,False
2009-04-01,1,8,3,2,4,False
2009-05-01,1,8,3,4,4,False
2009-06-01,1,8,2,3,4,False
2009-07-01,1,6,1,1,3,False
2009-08-01,1,8,1,3,3,False
2009-09-01,1,7,3,2,5,False
2009-10-01,1,8,2,2,4,False
2009-11-01,1,6,2,9,4,False
2009-12-01,1,8,2,45,3,False
2010-01-01,1,6,2,17,4,False
2010-02-01,1,9,2,2,3,False
2010-03-01,0,6,2,2,2,False
2010-04-01,1,9,2,3,4,False
2010-05-01,1,8,2,4,3,False
2010-06-01,1,7,1,2,2,False
2010-07-01,1,7,1,2,2,False
2010-08-01,1,8,1,2,3,False
2010-09-01,1,8,1,8,4,False
2010-10-01,0,7,2,7,3,False
2010-11-01,1,8,2,100,4,False
2010-12-01,0,8,1,67,5,False
2011-01-01,1,9,1,23,2,False
2011-02-01,1,11,1,6,3,False
2011-03-01,1,7,2,5,5,False
2011-04-01,1,7,2,3,4,False
2011-05-01,1,7,2,2,5,False
2011-06-01,1,7,1,2,4,False
2011-07-01,1,14,1,2,2,False
2011-08-01,1,9,1,2,4,False
2011-09-01,1,8,2,2,4,False
2011-10-01,1,7,2,5,4,False
2011-11-01,0,7,1,74,3,False
2011-12-01,1,7,1,17,3,False
2012-01-01,1,8,1,13,3,False
2012-02-01,3,7,1,5,4,False
2012-03-01,3,6,1,3,5,False
2012-04-01,1,6,1,3,4,False
2012-05-01,1,6,1,4,4,False
2012-06-01,1,6,1,4,3,False
2012-07-01,1,6,1,2,3,False
2012-08-01,1,8,1,4,2,False
2012-09-01,1,7,1,4,3,False
2012-10-01,1,6,1,7,2,False
2012-11-01,1,6,1,13,3,False
2012-12-01,1,6,1,7,3,False
2013-01-01,1,6,1,3,3,False
2013-02-01,1,6,1,4,3,False
2013-03-01,1,5,2,7,2,False
2013-04-01,1,6,2,3,2,False
2013-05-01,1,6,1,3,2,False
2013-06-01,1,7,1,3,2,False
2013-07-01,1,7,0,4,3,False
2013-08-01,1,7,1,3,2,False
2013-09-01,1,5,1,3,3,False
2013-10-01,1,6,1,4,3,False
2013-11-01,1,7,1,3,2,False
2013-12-01,1,7,1,4,3,False
2014-01-01,1,7,1,3,3,False
2014-02-01,1,5,1,2,2,False
2014-03-01,1,7,1,5,3,False
2014-04-01,1,6,1,3,2,False
2014-05-01,1,6,1,2,3,False
2014-06-01,1,6,1,2,2,False
2014-07-01,1,6,0,2,3,False
2014-08-01,1,7,0,3,4,False
2014-09-01,1,7,1,3,4,False
2014-10-01,1,7,1,4,3,False
2014-11-01,1,6,1,3,3,False
2014-12-01,1,8,1,4,3,False
2015-01-01,1,6,1,3,2,False
2015-02-01,1,6,1,2,3,False
2015-03-01,1,6,1,3,4,False
2015-04-01,1,6,1,3,5,False
2015-05-01,1,6,1,3,11,False
2015-06-01,0,8,1,2,4,False
2015-07-01,1,7,0,3,5,False
2015-08-01,1,7,0,3,4,False
2015-09-01,1,7,1,3,3,False
2015-10-01,1,7,1,2,3,False
2015-11-01,1,9,1,3,2,False
2015-12-01,1,11,1,3,3,False
2016-01-01,1,7,0,2,2,False
2016-02-01,1,7,1,2,3,False
2016-03-01,1,6,1,2,3,False
2016-04-01,1,6,1,2,2,False
2016-05-01,1,6,1,2,3,False
2016-06-01,1,5,1,2,3,False
2016-07-01,3,6,0,1,3,False
2016-08-01,1,5,0,2,2,False
2016-09-01,1,5,1,2,2,False
2016-10-01,1,6,0,2,3,False
2016-11-01,1,8,1,3,3,False
2016-12-01,1,6,0,11,2,False
2017-01-01,1,5,0,2,2,False
2017-02-01,1,5,0,3,2,False
2017-03-01,1,5,1,3,2,False
2017-04-01,1,5,1,5,2,False
2017-05-01,1,5,1,2,2,False
2017-06-01,1,5,1,7,2,False
2017-07-01,1,5,0,2,2,False
2017-08-01,0,5,1,4,2,False
2017-09-01,1,4,1,3,2,False
2017-10-01,1,5,1,5,2,False
2017-11-01,1,7,1,14,2,False
2017-12-01,1,6,0,10,1,False
2018-01-01,1,5,0,2,2,False
2018-02-01,0,5,0,3,1,False
2018-03-01,1,6,1,2,2,False
2018-04-01,0,6,0,2,2,False
2018-05-01,1,4,0,2,2,False
2018-06-01,1,5,0,1,2,False
2018-07-01,1,5,0,1,2,False
2018-08-01,1,6,0,1,2,False
2018-09-01,1,4,0,1,2,False
2018-10-01,1,5,0,2,2,False
2018-11-01,1,6,0,2,2,False
2018-12-01,0,7,0,3,2,False
2019-01-01,1,5,0,1,2,False
2019-02-01,1,5,0,3,2,False
2019-03-01,1,5,0,2,2,False
2019-04-01,0,4,0,2,2,False
2019-05-01,1,4,0,2,2,False
2019-06-01,1,5,0,1,2,False
2019-07-01,0,4,0,2,2,False
2019-08-01,0,4,0,1,2,False
2019-09-01,0,4,0,2,2,False
2019-10-01,0,4,0,2,2,False
2019-11-01,0,5,0,3,2,False
2019-12-01,0,5,0,2,2,False
2020-01-01,0,4,0,1,3,False
2020-02-01,0,4,0,2,5,False
2020-03-01,0,4,0,1,3,False
2020-04-01,0,4,0,2,1,False
2020-05-01,0,5,0,1,2,False
2020-06-01,1,5,0,2,2,False
2020-07-01,1,5,0,2,4,False
2020-08-01,0,4,0,2,3,False
2020-09-01,0,5,0,1,3,False
2020-10-01,0,5,0,2,2,False
2020-11-01,1,3,1,2,3,True
