date,Joshua Smith,Aala El-Khani,Miriam Zoila Pérez, Rodrigo y Gabriela,Iraola,isPartial
2004-01-01,10,0,0,4,7,False
2004-02-01,22,0,0,0,17,False
2004-03-01,14,0,0,11,5,False
2004-04-01,26,0,0,4,6,False
2004-05-01,16,0,0,0,5,False
2004-06-01,10,0,0,0,5,False
2004-07-01,17,0,0,8,5,False
2004-08-01,9,0,0,3,6,False
2004-09-01,12,0,0,5,8,False
2004-10-01,20,0,0,3,8,False
2004-11-01,8,0,0,7,10,False
2004-12-01,7,0,0,9,6,False
2005-01-01,11,0,0,3,9,False
2005-02-01,11,0,0,5,7,False
2005-03-01,12,0,0,6,5,False
2005-04-01,14,0,0,4,7,False
2005-05-01,11,0,0,6,8,False
2005-06-01,14,0,0,5,9,False
2005-07-01,14,0,0,5,7,False
2005-08-01,16,0,0,4,6,False
2005-09-01,15,0,0,7,8,False
2005-10-01,16,0,0,5,8,False
2005-11-01,12,0,0,3,8,False
2005-12-01,9,0,0,4,6,False
2006-01-01,12,0,0,8,5,False
2006-02-01,18,0,0,23,6,False
2006-03-01,8,0,0,15,11,False
2006-04-01,10,0,0,23,7,False
2006-05-01,12,0,0,26,7,False
2006-06-01,10,0,0,21,8,False
2006-07-01,8,0,0,27,9,False
2006-08-01,12,0,0,25,6,False
2006-09-01,14,0,0,21,5,False
2006-10-01,8,0,0,52,8,False
2006-11-01,6,0,0,48,7,False
2006-12-01,7,0,0,62,6,False
2007-01-01,6,0,0,48,8,False
2007-02-01,11,0,0,42,7,False
2007-03-01,12,0,0,38,11,False
2007-04-01,7,0,0,52,7,False
2007-05-01,11,0,0,61,7,False
2007-06-01,11,0,0,73,8,False
2007-07-01,9,0,0,55,6,False
2007-08-01,10,0,0,85,5,False
2007-09-01,6,0,0,81,9,False
2007-10-01,5,0,0,55,7,False
2007-11-01,10,0,0,45,6,False
2007-12-01,6,0,0,64,8,False
2008-01-01,9,0,0,44,5,False
2008-02-01,11,0,0,50,8,False
2008-03-01,9,0,0,50,7,False
2008-04-01,8,0,0,40,8,False
