date,Jude Kelly,Joy Buolamwini,John Koenig,Caitlin Doughty,Iraola,isPartial
2004-01-01,15,0,15,0,23,False
2004-02-01,15,0,15,0,60,False
2004-03-01,19,0,19,0,18,False
2004-04-01,15,0,14,0,19,False
2004-05-01,13,0,13,0,17,False
2004-06-01,12,0,19,0,19,False
2004-07-01,22,0,32,0,17,False
2004-08-01,12,0,44,0,20,False
2004-09-01,22,0,11,0,28,False
2004-10-01,11,0,17,0,26,False
2004-11-01,23,0,11,0,34,False
2004-12-01,21,0,11,11,21,False
2005-01-01,12,0,9,0,31,False
2005-02-01,10,0,20,0,24,False
2005-03-01,8,0,16,0,19,False
2005-04-01,14,0,23,0,24,False
2005-05-01,16,0,8,0,27,False
2005-06-01,24,0,19,0,29,False
2005-07-01,8,0,12,0,25,False
2005-08-01,26,0,12,0,21,False
2005-09-01,11,0,7,0,29,False
2005-10-01,10,0,18,0,27,False
2005-11-01,18,0,7,0,27,False
2005-12-01,7,0,11,7,22,False
2006-01-01,12,0,9,0,17,False
2006-02-01,10,0,12,0,22,False
2006-03-01,10,0,10,0,38,False
2006-04-01,11,0,28,0,24,False
2006-05-01,5,0,10,0,24,False
2006-06-01,13,0,16,0,27,False
2006-07-01,8,0,13,0,32,False
2006-08-01,10,0,10,0,20,False
2006-09-01,5,0,8,5,17,False
2006-10-01,13,0,13,0,27,False
2006-11-01,12,0,6,0,25,False
2006-12-01,9,0,13,0,22,False
2007-01-01,7,0,6,0,27,False
2007-02-01,5,0,11,0,24,False
2007-03-01,15,0,7,0,39,False
2007-04-01,5,0,7,0,25,False
2007-05-01,9,0,9,0,25,False
2007-06-01,8,0,10,0,27,False
2007-07-01,8,0,17,0,22,False
2007-08-01,12,0,7,0,17,False
2007-09-01,5,0,4,0,32,False
2007-10-01,6,0,11,0,24,False
2007-11-01,5,3,10,0,21,False
2007-12-01,5,0,5,3,28,False
2008-01-01,3,0,4,0,18,False
2008-02-01,4,0,6,0,29,False
2008-03-01,6,0,7,0,25,False
2008-04-01,5,0,7,0,27,False
2008-05-01,7,0,8,2,27,False
2008-06-01,5,0,5,2,24,False
2008-07-01,7,0,7,0,15,False
2008-08-01,8,0,6,0,32,False
2008-09-01,6,0,8,0,35,False
2008-10-01,6,0,6,0,30,False
2008-11-01,3,0,4,0,31,False
2008-12-01,3,0,5,0,25,False
2009-01-01,4,0,7,0,30,False
2009-02-01,9,0,4,0,35,False
2009-03-01,6,0,6,0,24,False
2009-04-01,7,0,8,0,32,False
2009-05-01,4,0,10,0,39,False
2009-06-01,5,0,8,0,27,False
2009-07-01,6,0,8,2,26,False
2009-08-01,6,0,4,0,32,False
2009-09-01,3,0,5,0,38,False
2009-10-01,5,0,4,0,28,False
2009-11-01,4,0,5,0,36,False
2009-12-01,10,0,5,0,27,False
2010-01-01,12,0,5,0,35,False
2010-02-01,8,0,17,0,18,False
2010-03-01,8,0,8,0,26,False
2010-04-01,7,0,6,0,27,False
2010-05-01,7,0,9,0,24,False
2010-06-01,5,0,3,0,29,False
2010-07-01,7,0,6,0,20,False
2010-08-01,7,0,9,0,27,False
2010-09-01,5,0,4,0,32,False
2010-10-01,5,0,5,0,34,False
2010-11-01,3,0,6,0,42,False
2010-12-01,4,0,7,0,34,False
2011-01-01,4,0,5,0,28,False
2011-02-01,5,1,7,1,38,False
2011-03-01,6,0,5,0,46,False
2011-04-01,3,0,5,0,34,False
2011-05-01,4,0,4,0,31,False
2011-06-01,3,0,4,0,33,False
2011-07-01,4,0,4,0,28,False
2011-08-01,3,0,6,0,42,False
2011-09-01,6,0,3,0,34,False
2011-10-01,4,1,3,1,32,False
2011-11-01,3,0,3,0,28,False
2011-12-01,6,0,3,0,27,False
2012-01-01,6,0,5,1,25,False
2012-02-01,6,0,6,0,30,False
2012-03-01,4,1,3,1,54,False
2012-04-01,9,0,4,0,34,False
2012-05-01,7,1,4,0,41,False
2012-06-01,4,0,4,0,32,False
2012-07-01,6,0,5,1,23,False
2012-08-01,4,0,3,1,24,False
2012-09-01,4,0,6,1,26,False
2012-10-01,5,0,5,2,25,False
2012-11-01,7,2,3,1,27,False
2012-12-01,5,1,5,1,23,False
2013-01-01,5,1,5,1,24,False
2013-02-01,6,0,6,1,25,False
2013-03-01,6,0,4,1,23,False
2013-04-01,9,0,3,1,25,False
2013-05-01,4,0,6,1,21,False
2013-06-01,6,1,4,1,23,False
2013-07-01,5,0,5,1,23,False
2013-08-01,3,0,4,1,24,False
2013-09-01,4,0,4,1,30,False
2013-10-01,4,0,4,1,26,False
2013-11-01,4,0,5,1,24,False
2013-12-01,5,0,3,1,25,False
2014-01-01,7,1,5,1,22,False
2014-02-01,5,0,4,2,25,False
2014-03-01,7,0,3,1,28,False
2014-04-01,3,0,4,1,22,False
2014-05-01,4,0,3,2,25,False
2014-06-01,2,0,3,1,21,False
2014-07-01,4,0,5,1,26,False
2014-08-01,4,0,5,1,34,False
2014-09-01,5,0,4,9,35,False
2014-10-01,4,0,6,19,27,False
2014-11-01,4,1,5,4,26,False
2014-12-01,4,1,5,3,22,False
2015-01-01,6,0,4,3,21,False
2015-02-01,3,0,5,3,26,False
2015-03-01,5,0,7,1,37,False
2015-04-01,5,2,5,6,38,False
2015-05-01,4,0,5,4,100,False
2015-06-01,6,1,6,3,44,False
2015-07-01,4,0,4,2,50,False
2015-08-01,6,0,6,3,34,False
2015-09-01,4,0,5,2,30,False
