date,Zubaida Bai,Siamak Hariri,Natasha Hurley-Walker,Amy Green,Iraola,isPartial
2004-01-01,0,0,0,17,6,False
2004-02-01,0,4,0,17,17,False
2004-03-01,0,0,0,10,5,False
2004-04-01,0,0,0,10,5,False
2004-05-01,0,0,0,14,5,False
2004-06-01,0,0,0,9,5,False
2004-07-01,0,0,0,17,5,False
2004-08-01,0,0,0,7,6,False
2004-09-01,0,0,0,11,8,False
2004-10-01,0,0,0,10,7,False
2004-11-01,0,0,0,10,9,False
2004-12-01,0,0,0,10,6,False
2005-01-01,0,0,0,17,8,False
2005-02-01,0,0,0,14,7,False
2005-03-01,0,0,2,13,5,False
2005-04-01,0,3,0,13,7,False
2005-05-01,0,2,0,13,7,False
2005-06-01,0,0,0,12,8,False
2005-07-01,0,0,0,13,7,False
2005-08-01,0,2,0,10,6,False
2005-09-01,0,0,0,10,8,False
2005-10-01,0,0,0,11,7,False
2005-11-01,0,2,0,15,7,False
2005-12-01,0,2,0,12,6,False
2006-01-01,0,0,0,13,5,False
2006-02-01,0,0,0,13,6,False
2006-03-01,0,1,0,10,10,False
2006-04-01,0,2,0,15,7,False
2006-05-01,0,1,0,10,6,False
2006-06-01,0,0,0,8,7,False
2006-07-01,0,1,0,9,9,False
2006-08-01,0,0,0,6,5,False
2006-09-01,0,0,0,9,5,False
2006-10-01,0,0,0,7,7,False
2006-11-01,0,0,0,10,7,False
2006-12-01,0,0,0,11,6,False
2007-01-01,0,0,0,11,8,False
2007-02-01,0,1,0,11,7,False
2007-03-01,0,0,0,10,11,False
2007-04-01,0,1,0,11,7,False
2007-05-01,0,0,0,8,7,False
2007-06-01,0,0,0,14,7,False
2007-07-01,0,2,0,15,6,False
2007-08-01,0,0,0,14,5,False
2007-09-01,0,0,0,13,9,False
2007-10-01,0,0,0,13,6,False
2007-11-01,0,1,0,13,6,False
2007-12-01,0,0,0,18,8,False
2008-01-01,0,1,0,16,5,False
2008-02-01,0,0,0,16,8,False
2008-03-01,0,0,0,14,7,False
2008-04-01,0,0,0,15,7,False
2008-05-01,0,0,0,15,7,False
2008-06-01,0,0,0,17,7,False
2008-07-01,0,0,1,15,4,False
2008-08-01,0,0,0,17,9,False
2008-09-01,0,0,0,16,10,False
2008-10-01,0,1,0,16,8,False
2008-11-01,0,1,0,16,8,False
2008-12-01,0,0,0,16,7,False
2009-01-01,0,0,0,22,8,False
2009-02-01,0,1,0,21,9,False
2009-03-01,0,0,0,17,7,False
2009-04-01,0,0,0,18,9,False
2009-05-01,0,1,0,19,11,False
2009-06-01,0,0,0,22,7,False
2009-07-01,0,0,0,19,7,False
2009-08-01,0,0,0,22,9,False
2009-09-01,0,0,0,18,11,False
2009-10-01,1,0,0,18,8,False
2009-11-01,0,0,0,17,10,False
2009-12-01,0,0,0,20,7,False
2010-01-01,0,0,0,21,10,False
2010-02-01,0,0,0,21,5,False
2010-03-01,0,0,0,21,7,False
2010-04-01,0,0,0,18,8,False
2010-05-01,0,0,0,18,6,False
2010-06-01,0,0,0,16,8,False
2010-07-01,0,0,0,15,6,False
2010-08-01,0,0,0,16,7,False
2010-09-01,0,0,0,13,9,False
2010-10-01,0,0,0,14,9,False
2010-11-01,0,0,0,17,12,False
2010-12-01,0,0,0,18,9,False
2011-01-01,0,0,0,19,8,False
2011-02-01,0,0,0,16,10,False
2011-03-01,0,1,0,17,13,False
2011-04-01,0,0,0,20,9,False
2011-05-01,0,0,0,17,9,False
2011-06-01,0,0,0,18,9,False
2011-07-01,0,0,0,40,8,False
2011-08-01,0,0,0,30,12,False
2011-09-01,0,0,0,19,9,False
2011-10-01,0,0,0,15,9,False
2011-11-01,0,0,0,18,8,False
2011-12-01,0,0,0,16,7,False
2012-01-01,0,0,0,19,7,False
2012-02-01,0,1,0,17,8,False
2012-03-01,0,0,0,16,15,False
2012-04-01,0,0,0,15,9,False
2012-05-01,0,0,0,16,11,False
2012-06-01,0,0,0,15,9,False
2012-07-01,0,0,0,20,6,False
2012-08-01,0,0,0,20,7,False
2012-09-01,0,0,0,20,7,False
2012-10-01,0,0,0,66,7,False
2012-11-01,0,0,0,100,7,False
2012-12-01,0,0,0,59,6,False
2013-01-01,0,0,0,43,6,False
2013-02-01,0,0,0,51,7,False
2013-03-01,0,0,0,38,6,False
2013-04-01,0,0,0,28,7,False
2013-05-01,0,0,0,23,6,False
2013-06-01,0,0,0,24,6,False
2013-07-01,0,0,0,21,6,False
2013-08-01,0,0,0,43,7,False
2013-09-01,0,0,0,20,8,False
2013-10-01,0,0,0,20,7,False
2013-11-01,0,0,0,25,7,False
2013-12-01,0,0,0,28,7,False
2014-01-01,0,0,0,21,6,False
2014-02-01,0,0,0,19,7,False
2014-03-01,0,0,0,23,8,False
2014-04-01,0,0,0,20,6,False
2014-05-01,0,0,0,19,7,False
2014-06-01,0,0,0,19,6,False
2014-07-01,0,0,0,21,7,False
2014-08-01,0,0,0,19,9,False
2014-09-01,0,0,0,19,10,False
2014-10-01,0,0,0,17,8,False
2014-11-01,0,0,0,18,7,False
2014-12-01,0,0,0,17,6,False
2015-01-01,0,0,0,18,6,False
2015-02-01,0,0,0,16,7,False
2015-03-01,0,0,0,14,10,False
2015-04-01,0,0,0,16,10,False
2015-05-01,0,0,0,15,27,False
2015-06-01,0,0,0,18,12,False
2015-07-01,0,0,0,20,14,False
2015-08-01,0,0,0,17,9,False
2015-09-01,0,0,0,17,8,False
2015-10-01,0,0,0,15,7,False
2015-11-01,0,0,0,14,6,False
2015-12-01,0,0,0,15,6,False
2016-01-01,0,0,0,16,7,False
2016-02-01,0,0,0,15,6,False
2016-03-01,0,0,0,13,7,False
2016-04-01,0,0,0,14,5,False
2016-05-01,0,0,0,13,9,False
2016-06-01,0,0,0,12,7,False
2016-07-01,0,0,0,13,8,False
2016-08-01,0,0,0,12,5,False
2016-09-01,0,0,0,11,7,False
2016-10-01,0,0,0,13,7,False
2016-11-01,0,0,0,12,9,False
2016-12-01,0,0,0,11,5,False
2017-01-01,0,0,0,13,5,False
2017-02-01,0,0,0,14,6,False
2017-03-01,0,0,0,14,5,False
2017-04-01,0,0,0,13,5,False
2017-05-01,0,0,0,12,7,False
2017-06-01,0,0,0,10,5,False
2017-07-01,0,0,0,11,5,False
2017-08-01,0,0,0,12,5,False
2017-09-01,0,0,0,11,5,False
2017-10-01,0,0,0,10,4,False
2017-11-01,0,0,0,9,4,False
2017-12-01,0,0,0,10,4,False
2018-01-01,0,0,0,10,5,False
2018-02-01,0,0,0,10,5,False
2018-03-01,0,0,0,10,4,False
2018-04-01,0,0,0,10,4,False
2018-05-01,0,0,0,10,5,False
2018-06-01,0,0,0,10,5,False
2018-07-01,0,0,0,8,4,False
2018-08-01,0,0,0,10,5,False
2018-09-01,0,0,0,9,5,False
2018-10-01,0,0,0,9,5,False
2018-11-01,0,0,0,9,5,False
2018-12-01,0,0,0,9,4,False
2019-01-01,0,0,0,11,4,False
2019-02-01,0,0,0,13,5,False
2019-03-01,0,0,0,11,4,False
2019-04-01,0,0,0,9,5,False
2019-05-01,0,0,0,8,4,False
2019-06-01,0,0,0,9,5,False
2019-07-01,0,0,0,10,7,False
2019-08-01,0,0,0,9,5,False
2019-09-01,0,0,0,10,5,False
2019-10-01,0,0,0,11,5,False
2019-11-01,0,0,0,10,4,False
2019-12-01,0,0,0,11,5,False
2020-01-01,0,0,0,10,8,False
2020-02-01,0,0,0,10,15,False
2020-03-01,0,0,0,9,6,False
2020-04-01,0,0,0,9,5,False
2020-05-01,0,0,0,13,4,False
2020-06-01,0,0,0,10,4,False
2020-07-01,0,0,0,11,9,False
2020-08-01,0,0,0,9,7,False
2020-09-01,0,0,0,11,5,False
2020-10-01,0,0,0,12,6,False
