date,Rhiannon Giddens,Michael Bierut,Michael Patrick Lynch,Justin Davidson,Iraola,isPartial
2004-01-01,0,0,0,0,11,False
2004-02-01,0,0,0,22,33,False
2004-03-01,0,0,13,0,13,False
2004-04-01,0,0,0,0,16,False
2004-05-01,0,0,0,9,9,False
2004-06-01,0,0,0,9,13,False
2004-07-01,0,9,0,0,9,False
2004-08-01,0,9,0,9,13,False
2004-09-01,0,0,0,0,20,False
2004-10-01,0,0,0,0,12,False
2004-11-01,0,8,0,8,20,False
2004-12-01,0,0,8,0,15,False
2005-01-01,0,13,0,7,20,False
2005-02-01,0,7,0,0,18,False
2005-03-01,0,6,0,6,12,False
2005-04-01,0,0,7,0,20,False
2005-05-01,6,6,0,9,23,False
2005-06-01,0,0,0,6,23,False
2005-07-01,0,0,0,6,15,False
2005-08-01,0,6,0,6,11,False
2005-09-01,0,5,5,5,18,False
2005-10-01,0,0,0,5,24,False
2005-11-01,0,7,0,5,24,False
2005-12-01,0,5,0,0,19,False
2006-01-01,4,0,0,8,13,False
2006-02-01,0,0,0,6,15,False
2006-03-01,0,0,4,4,26,False
2006-04-01,0,4,0,8,16,False
2006-05-01,4,0,4,4,24,False
2006-06-01,0,4,0,0,21,False
2006-07-01,0,8,0,8,21,False
2006-08-01,4,0,0,9,14,False
2006-09-01,0,0,3,8,8,False
2006-10-01,0,3,0,9,14,False
2006-11-01,3,6,3,4,22,False
2006-12-01,0,5,0,6,17,False
2007-01-01,0,5,0,5,16,False
2007-02-01,0,0,3,3,16,False
2007-03-01,0,0,2,5,26,False
2007-04-01,0,3,0,3,20,False
2007-05-01,2,4,0,6,16,False
2007-06-01,0,0,0,2,16,False
2007-07-01,0,2,2,0,19,False
2007-08-01,0,2,2,4,13,False
2007-09-01,0,4,0,6,21,False
2007-10-01,0,4,0,2,15,False
2007-11-01,2,5,2,5,15,False
2007-12-01,2,5,0,4,20,False
2008-01-01,2,5,0,3,16,False
2008-02-01,0,3,0,2,24,False
