date,Katrina Spade,Sharon Terry, Sofi Tukker,Jim Yong Kim,Iraola,isPartial
2004-01-01,0,9,0,0,9,False
2004-02-01,0,12,0,0,24,False
2004-03-01,0,7,0,0,7,False
2004-04-01,0,9,0,0,8,False
2004-05-01,0,5,0,0,7,False
2004-06-01,0,5,0,5,7,False
2004-07-01,0,7,0,0,7,False
2004-08-01,0,7,0,5,8,False
2004-09-01,0,7,0,0,11,False
2004-10-01,0,7,0,0,10,False
2004-11-01,0,11,0,0,13,False
2004-12-01,0,4,0,4,8,False
2005-01-01,0,6,0,0,12,False
2005-02-01,0,4,0,0,10,False
2005-03-01,0,6,0,3,8,False
2005-04-01,0,4,0,0,10,False
2005-05-01,0,6,0,0,11,False
2005-06-01,0,6,0,0,12,False
2005-07-01,0,3,0,3,10,False
2005-08-01,0,5,0,3,8,False
2005-09-01,3,10,0,0,11,False
2005-10-01,0,6,0,3,11,False
2005-11-01,0,4,0,0,11,False
2005-12-01,0,3,0,3,9,False
2006-01-01,0,6,0,0,7,False
2006-02-01,2,5,0,2,9,False
2006-03-01,0,7,0,2,15,False
2006-04-01,0,7,0,2,10,False
2006-05-01,0,2,0,4,9,False
2006-06-01,0,7,0,4,11,False
2006-07-01,2,4,0,2,13,False
2006-08-01,0,4,0,2,8,False
2006-09-01,0,5,0,0,7,False
2006-10-01,0,5,0,2,11,False
2006-11-01,0,3,0,3,10,False
2006-12-01,0,5,0,0,9,False
2007-01-01,0,4,0,1,11,False
2007-02-01,0,4,0,2,9,False
2007-03-01,0,4,0,0,15,False
2007-04-01,0,5,0,1,10,False
2007-05-01,0,4,0,1,10,False
2007-06-01,0,4,0,1,11,False
2007-07-01,0,4,0,2,9,False
2007-08-01,0,6,0,2,7,False
2007-09-01,0,4,0,3,13,False
2007-10-01,0,3,0,0,9,False
2007-11-01,1,3,0,2,8,False
2007-12-01,0,3,0,0,11,False
2008-01-01,1,4,0,1,7,False
2008-02-01,0,3,0,2,11,False
2008-03-01,0,3,0,2,10,False
2008-04-01,0,3,0,0,11,False
2008-05-01,0,4,0,2,11,False
2008-06-01,0,4,0,1,9,False
2008-07-01,0,4,0,1,6,False
2008-08-01,1,2,0,1,13,False
2008-09-01,0,3,0,1,14,False
2008-10-01,0,3,0,1,12,False
2008-11-01,0,2,0,1,12,False
2008-12-01,1,2,0,2,10,False
2009-01-01,0,3,0,1,12,False
2009-02-01,1,3,0,1,14,False
2009-03-01,0,3,0,14,10,False
2009-04-01,0,3,0,2,12,False
2009-05-01,0,3,0,1,16,False
2009-06-01,1,3,0,1,11,False
2009-07-01,0,2,0,2,10,False
2009-08-01,0,3,0,1,13,False
2009-09-01,1,4,0,4,15,False
2009-10-01,1,3,0,2,11,False
2009-11-01,1,2,0,3,14,False
2009-12-01,0,2,0,1,11,False
2010-01-01,0,4,0,1,14,False
2010-02-01,0,1,0,1,7,False
2010-03-01,0,3,0,1,10,False
2010-04-01,0,2,0,1,11,False
2010-05-01,0,2,0,1,9,False
2010-06-01,0,5,0,1,12,False
2010-07-01,0,3,0,1,8,False
2010-08-01,0,4,0,1,11,False
2010-09-01,0,3,0,1,13,False
2010-10-01,0,3,0,1,14,False
2010-11-01,0,2,0,1,17,False
2010-12-01,0,3,0,1,14,False
2011-01-01,0,3,0,2,11,False
2011-02-01,0,2,0,0,15,False
2011-03-01,0,1,0,1,18,False
2011-04-01,1,3,0,1,13,False
2011-05-01,0,2,0,0,12,False
2011-06-01,0,3,0,2,13,False
2011-07-01,0,3,0,1,11,False
2011-08-01,0,3,0,1,17,False
2011-09-01,0,3,0,1,13,False
2011-10-01,0,2,0,1,13,False
2011-11-01,1,2,0,1,11,False
2011-12-01,1,3,0,2,11,False
