date,Susan Robinson,Grace Kim,Jimmy Lin,Jennifer Pluznick,Iraola,isPartial
2004-01-01,11,13,22,0,7,False
2004-02-01,9,11,13,0,18,False
2004-03-01,5,5,16,0,5,False
2004-04-01,9,6,16,0,6,False
2004-05-01,15,9,11,0,5,False
2004-06-01,11,9,9,0,5,False
2004-07-01,11,10,6,0,5,False
2004-08-01,10,11,13,0,6,False
2004-09-01,9,9,15,0,8,False
2004-10-01,10,6,9,0,8,False
2004-11-01,8,7,13,0,10,False
2004-12-01,7,5,8,0,6,False
2005-01-01,9,9,9,0,9,False
2005-02-01,14,10,9,0,7,False
2005-03-01,7,9,8,0,6,False
2005-04-01,11,8,13,0,7,False
2005-05-01,7,12,13,0,8,False
2005-06-01,8,10,9,0,9,False
2005-07-01,6,9,6,0,7,False
2005-08-01,7,12,8,0,6,False
2005-09-01,11,13,8,0,9,False
2005-10-01,7,5,13,0,8,False
2005-11-01,7,10,8,0,8,False
2005-12-01,5,8,10,0,7,False
2006-01-01,7,5,10,0,5,False
2006-02-01,8,11,5,0,6,False
2006-03-01,7,9,8,0,11,False
2006-04-01,5,12,10,0,7,False
2006-05-01,6,8,10,0,7,False
2006-06-01,5,10,5,0,8,False
2006-07-01,6,6,9,0,9,False
2006-08-01,5,10,7,0,6,False
2006-09-01,6,12,9,0,5,False
2006-10-01,7,12,5,0,8,False
2006-11-01,6,10,5,0,7,False
2006-12-01,3,7,7,0,6,False
2007-01-01,6,9,4,0,8,False
2007-02-01,4,9,5,0,7,False
2007-03-01,7,9,6,0,11,False
2007-04-01,6,11,5,0,7,False
2007-05-01,6,10,9,0,7,False
2007-06-01,8,7,7,0,8,False
2007-07-01,4,10,13,0,7,False
2007-08-01,7,5,12,0,5,False
2007-09-01,4,7,13,0,9,False
2007-10-01,5,4,14,0,7,False
2007-11-01,5,8,16,0,6,False
2007-12-01,5,8,15,0,8,False
2008-01-01,5,7,18,0,5,False
2008-02-01,7,11,9,0,9,False
2008-03-01,5,9,10,0,7,False
2008-04-01,5,6,10,0,8,False
2008-05-01,4,8,9,0,8,False
2008-06-01,3,7,10,0,7,False
2008-07-01,4,7,13,0,4,False
2008-08-01,3,10,15,0,10,False
2008-09-01,4,11,10,0,10,False
2008-10-01,3,100,11,0,9,False
2008-11-01,4,73,11,0,9,False
2008-12-01,3,35,11,0,7,False
2009-01-01,4,27,11,0,9,False
2009-02-01,5,22,8,0,10,False
2009-03-01,6,19,12,0,7,False
2009-04-01,6,17,12,0,9,False
2009-05-01,5,15,9,0,12,False
2009-06-01,4,16,10,0,8,False
2009-07-01,3,16,10,0,8,False
2009-08-01,4,13,11,0,10,False
2009-09-01,3,13,8,0,11,False
2009-10-01,5,18,13,0,8,False
2009-11-01,5,14,8,0,11,False
2009-12-01,4,18,10,0,8,False
