date,David Baron,Jon Boogz and Lil Buck,Anne Madden,Damon Davis,Iraola,isPartial
2004-01-01,35,0,23,15,23,False
2004-02-01,45,0,0,22,60,False
2004-03-01,46,0,37,19,18,False
2004-04-01,50,0,29,14,19,False
2004-05-01,46,0,12,13,17,False
2004-06-01,21,0,0,0,19,False
2004-07-01,13,0,13,0,17,False
2004-08-01,24,0,12,12,20,False
2004-09-01,29,0,11,0,28,False
2004-10-01,19,0,11,11,26,False
2004-11-01,23,0,11,11,34,False
2004-12-01,58,0,16,10,21,False
2005-01-01,22,0,12,9,31,False
2005-02-01,26,0,10,10,24,False
2005-03-01,44,0,8,8,19,False
2005-04-01,37,0,12,14,24,False
2005-05-01,29,0,0,16,27,False
2005-06-01,13,0,0,8,29,False
2005-07-01,22,0,12,8,25,False
2005-08-01,18,0,8,8,21,False
2005-09-01,29,0,7,7,29,False
2005-10-01,25,0,10,7,27,False
2005-11-01,13,0,7,10,27,False
2005-12-01,42,0,11,7,22,False
2006-01-01,25,0,12,12,17,False
2006-02-01,30,0,0,12,22,False
2006-03-01,24,0,7,5,38,False
2006-04-01,24,0,11,0,24,False
2006-05-01,30,0,5,5,24,False
2006-06-01,16,0,5,5,27,False
2006-07-01,16,0,9,5,32,False
2006-08-01,34,0,13,5,20,False
2006-09-01,31,0,21,5,17,False
2006-10-01,13,0,7,4,27,False
2006-11-01,30,0,8,0,25,False
2006-12-01,35,0,4,4,22,False
2007-01-01,25,0,11,8,27,False
2007-02-01,24,0,4,4,24,False
2007-03-01,25,0,6,7,39,False
2007-04-01,18,0,18,10,25,False
2007-05-01,36,0,9,3,25,False
2007-06-01,16,0,5,4,27,False
2007-07-01,18,0,13,3,22,False
2007-08-01,15,0,5,6,17,False
2007-09-01,40,0,9,6,32,False
2007-10-01,28,0,5,4,24,False
2007-11-01,18,0,5,3,21,False
2007-12-01,21,0,11,5,28,False
2008-01-01,28,0,8,8,18,False
2008-02-01,20,0,8,9,29,False
2008-03-01,25,0,3,6,25,False
2008-04-01,29,0,6,6,27,False
2008-05-01,22,0,6,3,27,False
2008-06-01,24,0,7,3,24,False
2008-07-01,32,0,5,7,15,False
2008-08-01,19,0,6,4,32,False
2008-09-01,31,0,4,3,35,False
2008-10-01,29,0,6,5,30,False
2008-11-01,26,0,6,5,31,False
2008-12-01,20,0,3,4,25,False
2009-01-01,19,0,8,3,30,False
