date,Arthur Ganson,Seyi Oyesola,Paul Collier,Susan Blackmore,Iraola,isPartial
2004-01-01,15,0,15,35,23,False
2004-02-01,30,0,15,30,60,False
2004-03-01,37,0,19,25,18,False
2004-04-01,14,0,29,24,19,False
2004-05-01,13,0,29,12,17,False
2004-06-01,12,0,21,21,19,False
2004-07-01,13,0,22,26,17,False
2004-08-01,0,0,20,24,20,False
2004-09-01,11,0,11,44,28,False
2004-10-01,22,0,34,17,26,False
2004-11-01,11,0,17,11,34,False
2004-12-01,16,0,28,25,21,False
2005-01-01,58,0,15,28,31,False
2005-02-01,39,0,15,26,24,False
2005-03-01,11,0,30,14,19,False
2005-04-01,18,0,23,27,24,False
2005-05-01,8,0,8,21,27,False
2005-06-01,16,0,19,20,29,False
2005-07-01,8,0,19,24,25,False
2005-08-01,12,0,28,24,21,False
2005-09-01,14,0,11,14,29,False
2005-10-01,18,0,22,10,27,False
2005-11-01,7,0,13,22,27,False
2005-12-01,7,0,20,20,22,False
2006-01-01,14,0,14,17,17,False
2006-02-01,10,0,16,12,22,False
2006-03-01,8,0,19,17,38,False
2006-04-01,17,0,17,20,24,False
2006-05-01,8,0,12,18,24,False
2006-06-01,5,0,18,13,27,False
2006-07-01,16,0,16,12,32,False
2006-08-01,12,0,15,12,20,False
2006-09-01,5,0,17,14,17,False
2006-10-01,7,0,14,10,27,False
2006-11-01,0,0,17,18,25,False
2006-12-01,12,0,20,16,22,False
2007-01-01,5,0,16,17,27,False
2007-02-01,6,0,17,14,24,False
2007-03-01,7,0,18,9,39,False
2007-04-01,5,0,14,16,25,False
2007-05-01,6,0,26,8,25,False
2007-06-01,6,0,18,8,27,False
2007-07-01,9,0,25,6,22,False
2007-08-01,6,0,16,10,17,False
2007-09-01,4,0,12,5,32,False
2007-10-01,6,0,27,16,24,False
2007-11-01,5,0,21,10,21,False
2007-12-01,8,0,13,9,28,False
2008-01-01,8,0,22,6,18,False
2008-02-01,7,0,19,6,29,False
2008-03-01,2,0,15,13,25,False
2008-04-01,5,0,20,10,27,False
2008-05-01,7,0,25,13,27,False
2008-06-01,4,0,25,16,24,False
2008-07-01,4,0,19,11,15,False
2008-08-01,3,0,13,9,32,False
2008-09-01,6,0,19,15,35,False
2008-10-01,6,0,19,11,30,False
2008-11-01,8,0,30,7,31,False
2008-12-01,4,0,17,5,25,False
2009-01-01,5,0,17,11,30,False
2009-02-01,6,0,17,9,35,False
2009-03-01,8,0,18,9,24,False
2009-04-01,6,0,31,11,32,False
2009-05-01,8,0,23,9,39,False
2009-06-01,4,0,30,9,27,False
2009-07-01,5,0,19,7,26,False
2009-08-01,4,0,25,11,32,False
2009-09-01,11,0,24,5,38,False
2009-10-01,4,0,26,7,28,False
2009-11-01,5,0,31,6,36,False
2009-12-01,2,0,22,7,27,False
2010-01-01,10,0,31,8,35,False
2010-02-01,4,0,29,7,18,False
2010-03-01,5,0,34,6,26,False
2010-04-01,5,0,33,9,27,False
2010-05-01,3,0,36,6,24,False
2010-06-01,3,0,29,7,29,False
2010-07-01,3,0,25,5,20,False
2010-08-01,3,0,19,7,27,False
2010-09-01,3,0,23,9,32,False
2010-10-01,7,0,29,7,34,False
2010-11-01,3,0,31,12,42,False
2010-12-01,3,0,27,8,34,False
2011-01-01,2,0,27,6,28,False
2011-02-01,3,0,32,9,38,False
2011-03-01,5,0,30,9,46,False
2011-04-01,4,0,23,7,34,False
2011-05-01,4,0,22,7,31,False
2011-06-01,2,0,22,6,33,False
2011-07-01,2,0,26,6,28,False
2011-08-01,2,0,24,6,42,False
2011-09-01,4,0,25,6,34,False
2011-10-01,3,0,23,6,32,False
2011-11-01,4,0,24,4,28,False
2011-12-01,3,0,24,7,27,False
2012-01-01,4,0,25,4,25,False
2012-02-01,4,0,24,9,30,False
2012-03-01,4,0,20,7,54,False
2012-04-01,4,0,21,7,34,False
2012-05-01,3,0,18,5,41,False
2012-06-01,1,0,15,4,32,False
2012-07-01,2,0,13,3,23,False
2012-08-01,1,0,12,5,24,False
2012-09-01,2,0,15,7,26,False
2012-10-01,2,0,16,6,25,False
2012-11-01,2,0,20,6,27,False
2012-12-01,2,0,14,3,23,False
2013-01-01,3,0,14,5,24,False
2013-02-01,2,0,17,6,25,False
2013-03-01,2,0,12,4,23,False
2013-04-01,4,0,15,2,25,False
2013-05-01,2,0,18,5,21,False
2013-06-01,1,0,13,4,23,False
2013-07-01,3,0,11,3,23,False
2013-08-01,2,0,9,3,24,False
2013-09-01,1,0,13,4,30,False
2013-10-01,3,0,18,4,26,False
2013-11-01,5,0,19,5,24,False
2013-12-01,3,0,15,3,25,False
2014-01-01,3,0,16,5,22,False
2014-02-01,2,0,14,4,25,False
2014-03-01,3,0,14,4,28,False
2014-04-01,2,0,14,6,22,False
2014-05-01,2,0,13,4,25,False
2014-06-01,1,0,9,2,21,False
2014-07-01,1,0,12,3,26,False
2014-08-01,2,0,10,5,34,False
2014-09-01,1,0,10,4,35,False
2014-10-01,1,0,11,2,27,False
2014-11-01,2,0,12,4,26,False
2014-12-01,1,0,12,4,22,False
2015-01-01,1,0,15,3,21,False
2015-02-01,1,0,11,4,26,False
2015-03-01,1,0,15,4,37,False
2015-04-01,1,0,13,3,38,False
2015-05-01,2,0,9,4,100,False
2015-06-01,1,0,10,3,44,False
2015-07-01,1,0,9,4,50,False
2015-08-01,2,0,15,3,34,False
2015-09-01,2,0,18,3,30,False
2015-10-01,1,0,15,2,24,False
2015-11-01,1,0,13,4,23,False
2015-12-01,1,0,10,3,20,False
2016-01-01,1,0,14,3,24,False
2016-02-01,2,0,17,4,23,False
2016-03-01,1,0,11,3,26,False
2016-04-01,1,0,13,3,18,False
2016-05-01,1,0,11,3,32,False
2016-06-01,1,0,8,2,26,False
2016-07-01,1,0,7,1,28,False
2016-08-01,1,0,7,3,18,False
2016-09-01,1,0,9,4,25,False
2016-10-01,1,0,10,3,24,False
2016-11-01,3,0,14,3,33,False
2016-12-01,1,0,8,4,19,False
2017-01-01,1,0,10,2,18,False
2017-02-01,1,0,10,3,21,False
2017-03-01,1,0,9,3,18,False
2017-04-01,1,0,16,4,19,False
2017-05-01,1,0,10,3,24,False
2017-06-01,1,0,7,2,19,False
2017-07-01,1,0,7,2,20,False
2017-08-01,1,0,9,2,18,False
2017-09-01,1,0,9,4,18,False
2017-10-01,1,0,11,3,16,False
2017-11-01,1,0,10,2,14,False
2017-12-01,0,0,11,2,14,False
2018-01-01,1,0,9,3,19,False
2018-02-01,0,0,10,3,17,False
2018-03-01,1,0,9,2,14,False
2018-04-01,1,0,9,3,16,False
2018-05-01,0,0,9,2,17,False
2018-06-01,1,0,9,10,17,False
2018-07-01,1,0,7,3,16,False
2018-08-01,1,0,10,3,17,False
2018-09-01,1,0,11,4,18,False
2018-10-01,1,0,13,2,20,False
2018-11-01,1,0,11,3,17,False
2018-12-01,2,0,11,2,16,False
2019-01-01,1,0,12,4,16,False
2019-02-01,1,0,17,4,19,False
2019-03-01,1,0,12,3,15,False
2019-04-01,1,0,11,3,19,False
2019-05-01,1,0,14,2,16,False
2019-06-01,1,0,9,2,17,False
2019-07-01,1,0,8,2,24,False
2019-08-01,1,0,10,2,20,False
2019-09-01,1,0,9,2,17,False
2019-10-01,1,0,13,3,16,False
2019-11-01,1,0,15,1,16,False
2019-12-01,1,0,11,1,19,False
2020-01-01,1,0,9,3,28,False
2020-02-01,1,0,8,3,54,False
2020-03-01,1,0,8,2,21,False
2020-04-01,1,0,8,3,17,False
2020-05-01,1,0,9,3,14,False
2020-06-01,1,0,12,2,16,False
2020-07-01,0,0,9,2,34,False
2020-08-01,0,0,9,3,27,False
2020-09-01,0,0,8,2,19,False
2020-10-01,1,0,6,2,21,False
