date,Richard Baraniuk,Ze Frank,Mena Trott,Helen Fisher,Iraola,isPartial
2004-01-01,0,11,0,22,11,False
2004-02-01,0,11,0,33,28,False
2004-03-01,0,0,27,27,13,False
2004-04-01,0,21,0,21,27,False
2004-05-01,0,0,0,37,9,False
2004-06-01,0,9,9,27,27,False
2004-07-01,0,9,9,14,14,False
2004-08-01,0,9,9,18,22,False
2004-09-01,0,0,8,20,37,False
2004-10-01,0,0,0,21,25,False
2004-11-01,0,8,8,25,25,False
2004-12-01,0,0,0,15,27,False
2005-01-01,0,7,7,30,20,False
2005-02-01,0,14,18,18,7,False
2005-03-01,0,18,12,30,9,False
2005-04-01,0,20,0,27,10,False
2005-05-01,0,20,9,20,26,False
2005-06-01,0,9,0,24,21,False
2005-07-01,0,18,0,21,15,False
2005-08-01,6,0,38,17,9,False
2005-09-01,0,5,11,21,34,False
2005-10-01,5,17,5,17,27,False
2005-11-01,0,17,12,15,22,False
2005-12-01,0,17,12,17,19,False
2006-01-01,0,6,8,17,13,False
2006-02-01,4,15,9,28,20,False
2006-03-01,0,15,11,24,23,False
2006-04-01,4,22,8,20,22,False
2006-05-01,0,44,7,18,26,False
2006-06-01,0,74,4,18,22,False
2006-07-01,0,64,4,19,21,False
2006-08-01,4,67,9,14,11,False
2006-09-01,0,96,10,12,15,False
2006-10-01,5,78,3,12,14,False
2006-11-01,0,100,8,14,26,False
2006-12-01,0,73,3,17,22,False
2007-01-01,5,64,3,14,16,False
2007-02-01,6,55,0,19,29,False
2007-03-01,3,93,3,18,20,False
2007-04-01,3,60,3,12,17,False
2007-05-01,2,39,2,22,16,False
2007-06-01,5,24,4,24,17,False
2007-07-01,0,29,2,13,21,False
2007-08-01,2,32,2,18,20,False
2007-09-01,2,23,4,16,18,False
2007-10-01,4,37,2,12,19,False
2007-11-01,2,40,0,16,15,False
2007-12-01,2,26,0,15,15,False
2008-01-01,2,29,0,24,19,False
2008-02-01,2,37,0,20,16,False
2008-03-01,0,30,2,27,22,False
2008-04-01,3,24,2,15,24,False
2008-05-01,3,20,2,21,21,False
2008-06-01,0,19,0,13,15,False
2008-07-01,2,23,2,21,10,False
2008-08-01,0,19,2,15,27,False
2008-09-01,4,19,2,28,30,False
