date,David Griffin,Lennart Green,Ian Dunbar,John Q. Walker,Iraola,isPartial
2004-01-01,40,15,7,0,11,False
2004-02-01,25,15,7,0,30,False
2004-03-01,34,12,0,0,9,False
2004-04-01,40,0,11,0,9,False
2004-05-01,31,12,6,0,8,False
2004-06-01,22,6,18,0,9,False
2004-07-01,32,6,10,0,9,False
2004-08-01,42,18,12,0,10,False
2004-09-01,27,5,8,0,14,False
2004-10-01,39,7,17,0,13,False
2004-11-01,26,8,8,0,17,False
2004-12-01,40,5,5,0,10,False
2005-01-01,42,5,11,0,15,False
2005-02-01,32,5,5,0,12,False
2005-03-01,25,16,5,0,9,False
2005-04-01,61,4,9,0,12,False
2005-05-01,100,4,5,0,13,False
2005-06-01,75,10,4,0,15,False
2005-07-01,44,10,7,0,12,False
2005-08-01,40,5,4,0,10,False
2005-09-01,44,4,0,0,14,False
2005-10-01,44,10,9,0,13,False
2005-11-01,38,4,5,0,13,False
2005-12-01,35,5,3,0,11,False
2006-01-01,44,5,9,0,9,False
2006-02-01,47,9,6,0,11,False
2006-03-01,48,4,4,0,19,False
2006-04-01,34,4,4,0,12,False
2006-05-01,43,2,5,0,12,False
2006-06-01,32,0,4,0,13,False
2006-07-01,42,4,5,0,16,False
2006-08-01,47,2,9,0,10,False
2006-09-01,76,7,5,0,9,False
2006-10-01,30,3,11,0,13,False
2006-11-01,38,3,7,0,12,False
2006-12-01,30,3,6,0,11,False
2007-01-01,30,4,7,0,14,False
2007-02-01,31,4,6,0,12,False
2007-03-01,43,2,5,0,19,False
2007-04-01,33,5,6,0,12,False
2007-05-01,34,5,5,0,12,False
2007-06-01,31,3,4,0,13,False
2007-07-01,43,5,8,0,11,False
2007-08-01,30,1,6,0,8,False
2007-09-01,40,4,5,0,16,False
2007-10-01,32,4,8,0,12,False
2007-11-01,37,2,3,0,10,False
2007-12-01,32,4,5,0,14,False
2008-01-01,32,2,7,0,9,False
2008-02-01,31,3,6,0,14,False
2008-03-01,30,2,4,0,13,False
2008-04-01,34,2,6,0,13,False
2008-05-01,27,1,7,0,13,False
2008-06-01,26,3,5,0,12,False
2008-07-01,34,3,6,0,7,False
2008-08-01,30,5,10,0,16,False
2008-09-01,41,5,7,0,17,False
2008-10-01,29,2,5,0,15,False
2008-11-01,28,2,7,0,15,False
2008-12-01,25,4,4,0,12,False
2009-01-01,24,3,8,0,15,False
2009-02-01,24,2,9,0,17,False
2009-03-01,25,3,4,0,12,False
2009-04-01,29,4,5,0,16,False
2009-05-01,27,4,5,0,19,False
2009-06-01,36,3,7,0,13,False
2009-07-01,30,3,6,0,13,False
2009-08-01,27,3,6,0,16,False
2009-09-01,32,4,7,0,19,False
2009-10-01,29,3,5,0,14,False
2009-11-01,22,3,6,0,18,False
2009-12-01,21,4,5,0,13,False
2010-01-01,29,4,5,0,17,False
2010-02-01,26,5,6,0,9,False
2010-03-01,22,3,6,0,13,False
2010-04-01,28,4,7,0,14,False
2010-05-01,29,3,5,0,12,False
2010-06-01,24,2,5,0,14,False
2010-07-01,25,3,6,0,10,False
2010-08-01,24,2,2,0,13,False
2010-09-01,24,3,5,0,16,False
2010-10-01,25,3,6,0,17,False
2010-11-01,24,4,4,0,21,False
2010-12-01,21,2,4,0,17,False
2011-01-01,22,4,7,0,14,False
2011-02-01,22,5,4,0,19,False
2011-03-01,22,7,4,0,22,False
2011-04-01,18,5,5,0,17,False
2011-05-01,29,4,6,0,15,False
2011-06-01,19,4,6,0,16,False
2011-07-01,20,4,6,0,14,False
2011-08-01,19,4,5,0,21,False
2011-09-01,25,3,3,0,17,False
2011-10-01,19,3,5,0,16,False
2011-11-01,17,3,5,0,14,False
2011-12-01,23,3,5,0,13,False
2012-01-01,24,2,4,0,13,False
2012-02-01,19,3,4,0,15,False
2012-03-01,19,2,5,0,27,False
2012-04-01,18,3,6,0,17,False
2012-05-01,21,2,4,0,20,False
2012-06-01,17,1,3,0,16,False
2012-07-01,19,2,5,0,11,False
2012-08-01,20,4,4,0,12,False
2012-09-01,18,3,6,0,13,False
2012-10-01,18,3,5,0,12,False
2012-11-01,19,2,4,0,13,False
2012-12-01,18,2,3,0,11,False
2013-01-01,23,2,5,0,12,False
2013-02-01,21,9,4,0,12,False
2013-03-01,14,3,5,0,11,False
2013-04-01,15,2,5,0,12,False
2013-05-01,19,2,3,0,10,False
2013-06-01,15,2,6,0,11,False
2013-07-01,16,2,4,0,12,False
2013-08-01,15,3,4,0,12,False
2013-09-01,16,2,5,0,15,False
2013-10-01,18,2,4,0,13,False
2013-11-01,21,2,4,0,12,False
2013-12-01,16,2,3,0,12,False
2014-01-01,18,6,4,0,11,False
2014-02-01,16,2,5,0,12,False
2014-03-01,15,3,5,0,14,False
2014-04-01,17,2,5,0,11,False
2014-05-01,21,2,5,0,12,False
2014-06-01,17,2,5,0,10,False
2014-07-01,22,3,5,0,13,False
2014-08-01,17,2,5,0,17,False
2014-09-01,17,1,7,0,17,False
2014-10-01,16,2,4,0,14,False
2014-11-01,13,2,4,0,13,False
2014-12-01,14,2,3,0,11,False
2015-01-01,18,1,4,0,11,False
2015-02-01,16,2,3,0,13,False
2015-03-01,16,7,4,0,18,False
2015-04-01,16,6,5,0,18,False
2015-05-01,17,3,4,0,49,False
2015-06-01,15,2,6,0,22,False
2015-07-01,14,2,4,0,25,False
2015-08-01,12,1,4,0,17,False
2015-09-01,13,1,3,0,15,False
2015-10-01,14,2,3,0,12,False
2015-11-01,14,1,3,0,11,False
2015-12-01,12,1,4,0,10,False
2016-01-01,29,1,4,0,12,False
2016-02-01,14,2,4,0,12,False
2016-03-01,13,2,4,0,13,False
2016-04-01,14,1,3,0,9,False
2016-05-01,14,2,4,0,16,False
2016-06-01,15,1,2,0,13,False
2016-07-01,14,1,5,0,14,False
2016-08-01,11,2,3,0,9,False
2016-09-01,13,1,3,0,13,False
2016-10-01,14,1,3,0,12,False
2016-11-01,11,1,2,0,16,False
2016-12-01,12,1,2,0,9,False
2017-01-01,19,1,3,0,9,False
2017-02-01,14,2,3,0,10,False
2017-03-01,13,1,3,0,9,False
2017-04-01,20,1,3,0,9,False
2017-05-01,19,2,3,0,12,False
2017-06-01,82,3,2,0,9,False
2017-07-01,30,2,3,0,10,False
2017-08-01,21,2,2,0,9,False
2017-09-01,14,1,3,0,9,False
2017-10-01,18,2,3,0,8,False
2017-11-01,17,1,3,0,7,False
2017-12-01,15,1,3,0,7,False
2018-01-01,19,1,2,0,9,False
2018-02-01,20,1,2,0,8,False
2018-03-01,15,1,2,0,7,False
2018-04-01,18,1,3,0,8,False
2018-05-01,24,1,2,0,8,False
2018-06-01,28,1,4,0,8,False
2018-07-01,17,1,2,0,8,False
2018-08-01,17,2,3,0,9,False
2018-09-01,15,2,3,0,9,False
2018-10-01,14,2,2,0,10,False
2018-11-01,13,2,3,0,8,False
2018-12-01,14,1,2,0,8,False
2019-01-01,15,1,2,0,8,False
2019-02-01,17,2,4,0,9,False
2019-03-01,14,2,2,0,8,False
2019-04-01,39,1,2,0,9,False
2019-05-01,34,2,2,0,8,False
2019-06-01,28,2,2,0,8,False
2019-07-01,19,2,3,0,12,False
2019-08-01,44,1,2,0,10,False
2019-09-01,14,1,2,0,9,False
2019-10-01,13,1,2,0,8,False
2019-11-01,13,1,2,0,8,False
2019-12-01,11,1,2,0,9,False
2020-01-01,14,1,2,0,14,False
2020-02-01,13,1,2,0,26,False
2020-03-01,12,1,2,0,11,False
2020-04-01,12,1,3,0,8,False
2020-05-01,12,1,3,0,7,False
2020-06-01,13,1,4,0,8,False
2020-07-01,11,1,3,0,17,False
2020-08-01,13,1,3,0,13,False
2020-09-01,12,1,2,0,10,False
2020-10-01,14,1,2,0,10,False
