date,Marvin Minsky,Philip Zimbardo,Laura Trice,Caleb Chung,Iraola,isPartial
2004-01-01,35,15,0,0,23,False
2004-02-01,50,30,0,0,60,False
2004-03-01,28,19,19,0,18,False
2004-04-01,43,29,0,0,19,False
2004-05-01,25,63,0,0,17,False
2004-06-01,50,12,0,0,19,False
2004-07-01,30,26,0,0,17,False
2004-08-01,20,28,0,0,20,False
2004-09-01,33,17,0,0,28,False
2004-10-01,27,23,0,11,26,False
2004-11-01,38,19,0,0,34,False
2004-12-01,21,21,0,0,21,False
2005-01-01,43,28,0,0,31,False
2005-02-01,33,20,0,0,24,False
2005-03-01,33,16,8,16,19,False
2005-04-01,34,21,0,0,24,False
2005-05-01,29,19,0,0,27,False
2005-06-01,20,8,16,0,29,False
2005-07-01,33,12,0,8,25,False
2005-08-01,16,20,0,0,21,False
2005-09-01,22,10,0,0,29,False
2005-10-01,14,18,0,7,27,False
2005-11-01,18,20,0,0,27,False
2005-12-01,7,11,7,7,22,False
2006-01-01,23,19,0,0,17,False
2006-02-01,28,12,0,9,22,False
2006-03-01,27,14,0,0,38,False
2006-04-01,22,24,0,6,24,False
2006-05-01,24,17,0,0,24,False
2006-06-01,23,16,0,0,27,False
2006-07-01,11,11,0,0,32,False
2006-08-01,8,12,0,0,20,False
2006-09-01,17,11,0,0,17,False
2006-10-01,10,16,0,0,27,False
2006-11-01,22,17,0,0,25,False
2006-12-01,14,9,0,4,22,False
2007-01-01,21,19,0,4,27,False
2007-02-01,25,18,0,12,24,False
2007-03-01,34,30,3,0,39,False
2007-04-01,22,36,0,0,25,False
2007-05-01,23,26,0,3,25,False
2007-06-01,12,14,3,3,27,False
2007-07-01,6,5,3,3,22,False
2007-08-01,14,11,0,0,17,False
2007-09-01,10,19,3,3,32,False
2007-10-01,14,20,3,0,24,False
2007-11-01,12,19,0,0,21,False
2007-12-01,15,12,0,6,28,False
2008-01-01,12,14,0,2,18,False
2008-02-01,7,27,0,2,29,False
2008-03-01,12,22,2,2,25,False
2008-04-01,7,21,2,0,27,False
2008-05-01,8,21,0,2,27,False
2008-06-01,8,8,0,2,24,False
2008-07-01,13,10,0,2,15,False
2008-08-01,11,13,0,0,32,False
2008-09-01,10,31,3,4,35,False
2008-10-01,11,28,2,0,30,False
2008-11-01,10,29,0,2,31,False
2008-12-01,9,26,2,0,25,False
2009-01-01,10,17,0,0,30,False
2009-02-01,9,16,4,4,35,False
2009-03-01,14,16,0,2,24,False
2009-04-01,11,20,0,2,32,False
2009-05-01,7,23,0,0,39,False
2009-06-01,10,16,0,0,27,False
2009-07-01,6,13,2,3,26,False
2009-08-01,8,15,0,2,32,False
2009-09-01,7,21,2,2,38,False
2009-10-01,12,23,1,1,28,False
2009-11-01,11,27,1,0,36,False
2009-12-01,7,20,1,0,27,False
2010-01-01,9,17,1,1,35,False
2010-02-01,8,22,1,0,18,False
2010-03-01,11,24,1,1,26,False
2010-04-01,11,30,1,0,27,False
2010-05-01,9,21,1,2,24,False
2010-06-01,8,23,1,1,29,False
2010-07-01,8,18,2,1,20,False
2010-08-01,6,21,1,1,27,False
2010-09-01,9,35,1,1,32,False
2010-10-01,11,26,0,1,34,False
2010-11-01,8,26,1,0,42,False
2010-12-01,8,27,0,2,34,False
2011-01-01,9,23,1,1,28,False
2011-02-01,11,27,1,2,38,False
2011-03-01,6,19,0,1,46,False
2011-04-01,6,27,1,1,34,False
2011-05-01,7,30,0,1,31,False
2011-06-01,7,16,1,3,33,False
2011-07-01,4,17,1,2,28,False
2011-08-01,7,32,1,1,42,False
2011-09-01,6,28,1,1,34,False
2011-10-01,8,27,0,0,32,False
2011-11-01,8,28,1,0,28,False
2011-12-01,7,24,1,2,27,False
2012-01-01,6,20,1,2,25,False
2012-02-01,5,16,0,1,30,False
2012-03-01,4,21,1,1,54,False
2012-04-01,5,20,0,1,34,False
2012-05-01,7,25,1,1,41,False
2012-06-01,5,22,1,2,32,False
2012-07-01,4,16,1,1,23,False
2012-08-01,5,17,1,1,24,False
2012-09-01,6,28,0,1,26,False
2012-10-01,5,22,1,1,25,False
2012-11-01,9,22,1,1,27,False
2012-12-01,6,23,1,1,23,False
2013-01-01,5,20,1,2,24,False
2013-02-01,5,29,1,1,25,False
2013-03-01,7,25,0,1,23,False
2013-04-01,5,26,1,1,25,False
2013-05-01,6,20,1,1,21,False
2013-06-01,4,20,0,1,23,False
2013-07-01,5,13,1,1,23,False
2013-08-01,4,17,0,0,24,False
2013-09-01,6,30,1,1,30,False
